degree,count
3,4341
4,1674
5,928
6,592
7,380
8,285
9,222
10,185
11,152
12,116
13,89
14,88
15,82
16,62
17,56
18,47
19,52
20,38
21,35
22,26
23,34
24,24
25,23
26,26
27,21
28,25
29,18
30,18
31,14
32,11
33,12
34,13
35,10
36,18
37,9
38,9
39,7
40,12
41,6
42,5
43,9
44,9
45,2
46,10
47,4
48,6
49,5
50,7
51,3
52,8
53,7
54,2
55,5
56,2
57,3
58,4
59,4
60,2
61,3
62,4
63,1
64,2
65,2
66,3
67,1
68,2
69,2
70,4
71,1
72,1
73,3
74,3
75,6
76,2
77,2
78,1
79,1
80,2
81,1
82,3
83,2
85,3
86,1
87,3
88,2
89,1
90,2
91,2
92,2
93,1
95,1
96,1
97,1
99,4
100,1
101,4
102,1
106,2
107,1
109,2
110,2
111,1
112,2
113,1
115,2
117,1
119,3
120,1
121,1
122,1
123,1
124,1
126,1
128,2
129,1
133,1
134,1
135,2
137,1
143,1
145,1
146,1
148,1
149,1
155,1
156,1
157,1
160,1
169,1
176,2
179,2
181,1
183,1
185,1
191,1
194,1
198,1
201,1
203,1
214,1
229,1
232,1
266,1
275,1
279,1
287,1
288,1
308,1
314,1
320,1
329,1
387,1
393,1
399,1
447,1
479,1
481,2
