step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,59,-1,0,59,0,106,0,115,0,120,0,12,20,118,0,0,569,0
400,409,126,-1,0,72,0,176,0,213,0,217,0,17,45,214,0,0,1111,0
600,609,196,-1,0,82,0,225,0,298,0,318,0,20,60,301,0,0,1644,0
800,809,245,-1,0,81,0,255,0,365,0,401,0,18,57,361,0,0,2213,0
1000,1009,308,-1,0,89,0,293,0,449,0,507,0,20,86,452,0,0,2761,0
1200,1209,359,-1,0,89,0,308,0,526,0,602,0,20,108,522,0,0,3342,0
1400,1409,411,-1,0,88,0,337,0,567,0,681,0,20,112,580,1,2,3918,0
1600,1609,480,-1,0,90,0,356,0,640,0,777,0,20,123,645,1,2,4497,0
1800,1809,551,-1,0,89,0,369,0,696,0,859,0,20,146,700,1,2,5078,0
2000,2009,611,-1,0,91,0,381,0,739,0,923,0,20,173,737,3,6,5669,0
2200,2209,674,-1,0,92,0,384,0,777,0,1012,0,20,165,784,3,6,6240,0
2400,2409,733,-1,0,91,0,414,0,810,0,1101,0,20,168,825,3,6,6829,0
2600,2609,793,-1,0,89,0,426,0,886,0,1220,0,20,179,904,3,6,7411,0
2800,2809,857,-1,0,93,0,423,0,928,0,1286,0,20,184,936,5,10,8007,0
3000,3009,915,3,0,94,2,430,9,965,14,1362,0,20,221,986,4,8,8606,0
3200,3209,970,3,1,96,2,444,6,1015,12,1465,0,20,182,1016,4,8,9208,0
3400,3409,1024,3,1,96,3,455,7,1041,10,1576,0,20,196,1045,5,10,9806,0
3600,3609,1087,3,0,98,3,461,7,1084,12,1647,0.0129,20,193,1101,5,10,10395,0
3800,3809,1158,3,1,96,0,463,4,1147,11,1708,0.01,20,226,1140,2,4,10984,0
4000,4009,1215,3,0,96,3,476,2,1184,12,1799,0.0078,20,241,1205,2,4,11556,0
4200,4209,1274,3,0,96,0,485,2,1212,12,1877,0.0317,20,236,1214,3,6,12145,0
4400,4409,1323,3,0,96,0,488,7,1262,10,1949,0.0374,20,247,1234,2,4,12742,0
4600,4609,1388,3,0,96,1,483,5,1266,8,2040,0.029,20,257,1263,3,6,13331,0
4800,4809,1447,3,0,96,4,510,3,1348,10,2146,0.0672,20,274,1364,4,8,13902,0
5000,5009,1510,5,0,100,4,512,13,1392,13,2250,0.0657,20,279,1398,5,10,14483,1
5200,5209,1574,7,0,95,1,513,7,1405,17,2321,0.0641,20,302,1403,4,8,15076,1
5400,5409,1636,9,2,97,6,548,13,1467,17,2440,0.0597,20,271,1459,3,6,15641,1
5600,5609,1697,11,0,99,3,551,12,1520,16,2494,0.0457,20,322,1504,4,8,16237,1
5800,5809,1760,13,0,99,5,534,15,1544,18,2592,0.058,20,297,1491,5,10,16842,1
6000,6009,1824,15,0,99,6,538,16,1531,18,2630,0.0674,20,303,1498,6,12,17443,1
6200,6209,1881,17,2,102,5,545,16,1571,19,2706,0.0936,20,342,1532,6,12,18039,1
6400,6409,1942,19,0,98,6,554,13,1566,20,2760,0.0978,20,329,1544,5,10,18633,1
6600,6609,2006,21,2,97,11,554,16,1559,20,2826,0.1262,20,328,1574,5,10,19226,1
6800,6809,2074,23,0,98,4,562,15,1660,20,2947,0.1569,20,352,1658,5,10,19803,1
7000,7009,2141,25,3,97,7,577,15,1626,20,3012,0.1692,20,346,1650,4,8,20397,1
7200,7209,2198,27,1,99,8,565,19,1678,20,3072,0.1722,20,318,1714,3,6,20991,1
7400,7409,2275,30,2,101,13,568,18,1721,20,3132,0.1789,20,329,1741,3,6,21578,1
7600,7609,2335,31,2,100,7,578,18,1743,20,3240,0.1855,20,344,1718,1,2,22164,1
7800,7809,2386,33,2,101,5,576,16,1741,20,3288,0.2075,20,362,1790,2,4,22752,1
8000,8009,2443,35,3,95,14,577,16,1781,20,3361,0.1806,20,366,1773,2,4,23347,1
8200,8209,2503,37,2,100,12,580,18,1823,20,3397,0.1979,20,360,1819,2,4,23935,1
8400,8409,2562,39,2,104,6,588,17,1811,20,3456,0.1879,20,392,1814,3,6,24530,1
