degree,count
3,4401
4,1627
5,906
6,559
7,408
8,292
9,241
10,168
11,136
12,130
13,91
14,97
15,80
16,56
17,59
18,52
19,43
20,41
21,34
22,47
23,23
24,29
25,25
26,22
27,16
28,15
29,16
30,18
31,17
32,15
33,12
34,16
35,15
36,11
37,6
38,10
39,9
40,9
41,9
42,12
43,10
44,5
45,5
46,3
47,5
48,5
49,5
50,5
51,7
52,5
53,4
54,4
55,3
56,6
57,5
58,6
59,6
61,1
63,4
64,2
65,3
66,4
67,2
68,5
69,3
70,2
71,1
72,1
73,1
75,1
76,2
77,1
78,3
79,3
80,3
81,1
82,3
83,2
84,2
85,3
86,4
87,2
88,2
89,3
90,1
93,1
94,2
95,4
96,1
101,1
102,1
103,1
104,2
105,2
106,1
107,1
108,1
112,1
113,1
114,2
117,2
118,2
122,1
124,2
125,2
126,2
129,1
132,1
136,1
137,2
141,1
142,1
144,2
147,1
148,1
149,1
151,2
159,1
160,1
162,1
164,1
166,1
168,1
176,2
179,1
182,1
183,1
184,1
188,1
189,1
191,1
196,1
198,2
203,1
204,1
207,1
213,1
214,1
218,1
220,1
243,1
266,1
274,1
275,1
284,1
305,1
313,1
318,1
505,1
511,1
517,1
588,1
