step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,59,-1,0,59,0,106,0,115,0,120,0,12,20,118,0,0,569,0
400,409,126,-1,0,72,0,176,0,213,0,217,0,17,45,214,0,0,1111,0
600,609,196,-1,0,82,0,225,0,298,0,318,0,20,60,301,0,0,1644,0
800,809,245,-1,0,81,0,255,0,365,0,401,0,18,57,361,0,0,2213,0
1000,1009,308,-1,0,89,0,293,0,449,0,507,0,20,86,452,0,0,2761,0
1200,1209,359,-1,0,89,0,308,0,526,0,602,0,20,108,522,0,0,3342,0
1400,1409,411,-1,0,89,0,341,0,593,0,688,0,20,111,580,0,0,3916,0
1600,1609,474,-1,0,91,0,346,0,630,0,778,0,20,119,639,0,0,4490,0
1800,1809,529,-1,0,91,0,368,0,690,0,856,0,20,152,691,0,0,5071,0
2000,2009,585,-1,0,88,0,385,0,748,0,955,0,20,161,745,0,0,5660,0
2200,2209,650,-1,0,89,0,406,0,783,0,1024,0,20,162,785,0,0,6241,0
2400,2409,716,-1,0,92,0,404,0,831,0,1110,0,20,153,830,0,0,6823,0
2600,2609,784,-1,0,91,0,424,0,890,0,1211,0,20,161,880,0,0,7395,0
2800,2809,834,-1,0,92,0,435,0,948,0,1319,0,20,184,945,0,0,7981,0
3000,3009,892,3,0,92,3,449,9,1014,14,1422,0,20,216,1028,0,0,8549,0
3200,3209,960,3,1,98,4,455,7,1046,6,1508,0.0277,20,227,1056,0,0,9122,0
3400,3409,1024,3,1,94,2,469,4,1099,8,1600,0.0216,20,209,1091,0,0,9711,0
3600,3609,1098,3,0,97,2,464,4,1115,12,1658,0.0167,20,219,1126,0,0,10289,0
3800,3809,1148,3,0,96,4,482,6,1164,9,1726,0.0309,20,210,1156,0,0,10879,0
4000,4009,1208,3,0,97,0,468,6,1210,9,1825,0.0238,20,221,1190,0,0,11463,0
4200,4209,1279,3,1,97,1,483,7,1216,10,1909,0.0182,20,239,1214,0,0,12042,0
4400,4409,1340,3,1,98,3,503,5,1243,6,1980,0.0137,20,259,1265,0,0,12622,0
4600,4609,1407,3,0,101,2,504,7,1299,11,2069,0.0429,20,224,1299,0,0,13184,0
4800,4809,1478,3,0,97,2,511,3,1339,9,2156,0.0778,20,294,1324,0,0,13768,0
5000,5009,1553,3,0,99,1,519,3,1345,11,2267,0.0926,20,287,1402,0,0,14336,1
5200,5209,1604,3,1,97,1,521,5,1436,9,2353,0.0742,20,304,1442,0,0,14921,1
5400,5409,1677,3,0,97,3,529,4,1474,10,2408,0.0568,20,299,1465,0,0,15509,1
5600,5609,1744,4,0,100,2,546,6,1487,16,2504,0.0428,20,308,1481,0,0,16086,1
5800,5809,1804,4,0,99,1,551,6,1534,11,2577,0.0602,20,268,1541,0,0,16665,1
6000,6009,1858,4,2,98,0,564,4,1536,12,2647,0.0574,20,301,1540,0,0,17247,1
6200,6209,1915,4,1,100,1,551,7,1541,18,2731,0.0749,20,328,1548,0,0,17836,1
6400,6409,1970,4,0,101,2,549,7,1549,14,2779,0.084,20,332,1572,0,0,18429,1
6600,6609,2031,4,1,96,0,546,3,1587,13,2825,0.1234,20,333,1561,0,0,19019,1
6800,6809,2090,4,0,98,1,555,4,1592,12,2872,0.1361,20,337,1577,0,0,19609,1
7000,7009,2144,4,0,98,0,565,6,1611,8,2975,0.1524,20,333,1627,0,0,20189,1
7200,7209,2198,4,0,98,2,554,3,1690,8,3073,0.1594,20,327,1657,0,0,20767,1
7400,7409,2251,4,1,100,2,552,4,1657,7,3155,0.1582,20,316,1691,0,0,21358,1
7600,7609,2308,4,0,99,0,538,7,1693,8,3207,0.149,20,316,1676,0,0,21948,1
7800,7809,2371,4,0,101,3,557,3,1716,7,3327,0.1416,20,333,1735,0,0,22522,1
8000,8009,2425,4,0,103,0,577,3,1751,6,3398,0.1107,20,360,1766,0,0,23103,1
8200,8209,2481,4,1,98,1,563,1,1792,8,3504,0.1609,20,361,1781,0,0,23684,1
