step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,65,-1,0,56,0,100,0,114,0,116,0,16,25,115,0,0,562,0
400,409,132,-1,0,71,0,170,0,206,0,218,0,18,54,210,0,0,1115,0
600,609,193,-1,0,77,0,218,0,287,0,308,0,19,52,286,0,0,1684,0
800,809,261,-1,0,81,0,246,0,350,0,388,0,18,47,350,0,0,2258,0
1000,1009,318,-1,0,81,0,259,0,404,0,451,0,19,60,403,0,0,2840,0
1200,1209,381,-1,0,84,0,288,0,475,0,561,0,20,74,475,0,0,3410,0
1400,1409,434,-1,0,86,0,310,0,534,0,652,0,20,124,531,1,2,3999,0
1600,1609,494,-1,0,85,0,323,0,587,0,730,0,20,118,583,0,0,4578,0
1800,1809,556,-1,0,86,0,341,0,641,0,808,0,20,131,647,0,0,5162,0
2000,2009,611,-1,0,92,0,362,0,670,0,903,0,19,104,682,0,0,5748,0
2200,2209,671,-1,0,91,0,366,0,726,0,971,0,20,141,724,0,0,6338,0
2400,2409,740,-1,0,93,0,380,0,788,0,1069,0,20,158,788,0,0,6907,0
2600,2609,797,-1,0,93,0,396,0,845,0,1180,0,20,174,843,0,0,7491,0
2800,2809,857,-1,0,94,0,412,0,896,0,1292,0,20,193,893,0,0,8077,0
3000,3009,905,3,1,91,5,424,11,949,10,1365,0,20,160,933,0,0,8671,0
3200,3209,965,3,0,95,3,420,5,961,11,1440,0,20,166,953,0,0,9258,0
3400,3409,1024,3,0,93,2,434,7,1015,9,1517,0.0138,20,218,1002,0,0,9850,0
3600,3609,1086,3,0,95,1,438,8,1073,10,1611,0.0108,20,221,1049,1,2,10421,0
3800,3809,1145,3,0,92,0,454,4,1115,7,1727,0.0084,20,225,1126,1,2,10991,0
4000,4009,1205,3,0,95,1,460,4,1152,10,1803,0.0064,20,228,1133,3,6,11583,0
4200,4209,1263,3,0,98,0,464,6,1194,12,1895,0.0049,20,242,1195,2,4,12167,0
4400,4409,1331,3,0,96,1,458,5,1238,5,1944,0.0237,20,230,1221,3,6,12762,0
4600,4609,1385,3,0,95,2,487,5,1256,8,2031,0.0183,20,239,1230,4,8,13347,0
4800,4809,1451,3,0,98,0,482,2,1312,9,2150,0.104,20,279,1311,4,8,13909,0
5000,5009,1512,3,0,95,2,508,4,1318,6,2206,0.0808,20,283,1325,3,6,14507,0
5200,5209,1569,3,2,97,0,515,3,1354,10,2284,0.0622,20,271,1347,2,4,15094,0
5400,5409,1621,3,0,97,2,513,4,1389,6,2371,0.0925,20,287,1398,1,2,15681,0
5600,5609,1681,3,1,98,1,518,2,1459,8,2505,0.0708,20,310,1466,2,4,16256,0
5800,5809,1745,3,0,96,1,519,2,1479,3,2548,0.0535,20,280,1447,2,4,16854,0
6000,6009,1809,3,1,97,1,532,3,1462,7,2623,0.1073,20,273,1483,2,4,17445,0
6200,6209,1859,3,0,100,0,540,6,1531,7,2702,0.0815,20,297,1544,1,2,18021,0
6400,6409,1926,3,0,97,0,546,1,1549,1,2782,0.0609,20,306,1551,1,2,18612,0
6600,6609,1988,3,0,97,1,536,1,1565,5,2838,0.0446,20,310,1549,1,2,19203,0
6800,6809,2046,3,1,98,1,540,5,1581,5,2929,0.0676,20,312,1592,1,2,19793,0
7000,7009,2102,3,0,101,1,557,2,1612,6,3015,0.0493,20,314,1602,1,2,20369,0
