degree,count
3,4446
4,1630
5,856
6,587
7,352
8,275
9,217
10,169
11,149
12,149
13,103
14,93
15,75
16,74
17,64
18,55
19,46
20,44
21,28
22,32
23,35
24,26
25,22
26,20
27,27
28,15
29,15
30,23
31,17
32,17
33,16
34,10
35,6
36,11
37,13
38,6
39,8
40,6
41,7
42,7
43,8
44,8
45,3
46,5
47,6
48,8
49,4
50,10
51,4
52,5
53,7
54,6
55,6
56,2
57,10
58,3
59,2
60,4
61,5
62,4
63,4
64,5
65,2
66,4
67,4
68,3
69,2
70,3
71,2
72,2
73,3
74,4
75,1
76,2
77,3
78,2
79,3
80,1
81,5
83,2
84,1
85,1
86,3
87,1
88,4
89,1
90,2
91,4
92,1
93,1
94,1
96,2
98,2
100,2
101,1
103,1
104,1
105,1
106,1
107,1
108,1
111,4
112,1
113,1
115,1
116,1
118,2
119,1
120,1
123,1
124,1
127,3
128,2
130,1
132,1
133,1
136,2
145,1
147,2
148,1
151,1
154,1
155,2
158,1
159,1
160,1
161,1
163,1
165,1
166,1
168,1
177,2
196,1
207,1
210,1
213,1
218,1
239,1
249,1
253,1
289,1
298,1
308,1
331,1
362,1
402,1
405,1
408,1
419,1
439,1
