degree,count
3,4430
4,1672
5,902
6,579
7,406
8,285
9,203
10,178
11,126
12,103
13,87
14,88
15,81
16,66
17,62
18,52
19,51
20,39
21,39
22,33
23,22
24,24
25,26
26,20
27,18
28,20
29,22
30,14
31,13
32,13
33,10
34,8
35,9
36,6
37,7
38,13
39,5
40,7
41,7
42,11
43,13
44,4
45,3
46,4
47,6
48,5
49,5
50,8
51,2
52,5
53,2
54,4
55,1
56,4
57,4
58,5
59,6
60,4
61,5
62,3
63,2
64,3
65,1
66,3
67,3
68,2
69,3
70,5
71,2
72,2
73,3
74,7
75,2
76,1
78,2
79,3
80,2
81,1
82,1
83,1
84,2
85,3
86,1
87,3
88,3
89,4
90,3
91,1
92,3
94,1
95,1
96,1
97,2
98,2
99,1
100,1
101,2
102,2
103,1
105,1
107,1
108,3
109,1
110,1
111,1
112,1
113,1
116,3
117,1
118,2
120,1
124,4
126,1
127,1
128,1
129,2
130,1
131,1
132,1
133,1
134,1
136,1
137,1
140,1
141,1
145,2
147,1
148,2
153,1
157,1
158,1
159,1
163,1
165,2
166,1
178,1
182,1
187,1
188,1
190,1
198,1
200,1
206,1
207,1
211,1
232,1
250,1
251,1
253,1
258,1
260,1
299,1
303,1
306,1
315,1
341,1
356,1
361,1
401,1
409,1
420,1
488,1
