step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,44,-1,0,62,0,117,0,132,0,136,0,15,25,130,0,0,585,0
400,409,104,-1,0,69,0,168,0,216,0,224,0,19,51,213,0,0,1153,0
600,609,162,-1,0,77,0,217,0,304,0,338,0,19,57,305,0,0,1724,0
800,809,218,-1,0,80,0,249,0,377,0,440,0,20,71,392,0,0,2300,0
1000,1009,268,-1,0,85,0,272,0,452,0,519,0,20,87,449,0,0,2879,0
1200,1209,332,-1,0,87,0,309,0,528,0,629,0,20,91,527,1,2,3434,0
1400,1409,379,-1,0,87,0,335,0,613,0,746,0,20,123,611,1,2,4008,0
1600,1609,444,-1,0,87,0,347,0,674,0,817,0,20,134,658,1,2,4589,0
1800,1809,495,-1,0,92,0,387,0,753,0,932,0,20,142,745,0,0,5158,0
2000,2009,553,-1,0,90,0,388,0,795,0,1029,0,20,148,806,0,0,5737,0
2200,2209,610,-1,0,92,0,414,0,853,0,1125,0,20,185,860,0,0,6297,0
2400,2409,668,-1,0,93,0,428,0,917,0,1213,0,20,177,919,3,6,6881,0
2600,2609,731,-1,0,93,0,433,0,959,0,1298,0,20,171,953,6,12,7474,0
2800,2809,779,5,0,96,3,446,8,980,17,1409,0,20,170,992,6,12,8075,1
3000,3009,840,7,1,95,3,461,12,1062,14,1511,0,20,226,1072,5,10,8653,1
3200,3209,897,9,3,95,5,462,14,1088,18,1590,0.0069,20,212,1111,5,10,9251,1
3400,3409,952,11,1,95,8,481,14,1167,19,1683,0.0054,20,228,1177,6,12,9839,1
3600,3609,1003,13,1,94,8,498,18,1217,19,1778,0.0154,20,246,1211,3,6,10431,1
3800,3809,1070,15,1,93,9,500,15,1220,20,1850,0.012,20,241,1206,4,8,11021,1
4000,4009,1128,18,1,96,11,497,20,1287,20,1945,0.022,20,256,1255,4,8,11606,1
4200,4209,1193,20,1,97,12,518,19,1308,20,1997,0.0297,20,258,1294,5,10,12194,1
4400,4409,1257,22,0,98,8,499,18,1346,20,2087,0.0355,20,264,1343,5,10,12778,1
4600,4609,1318,24,2,98,8,511,17,1398,20,2171,0.0405,20,252,1379,5,10,13363,1
4800,4809,1373,26,3,97,9,516,19,1407,20,2209,0.0667,20,301,1413,4,8,13955,1
5000,5009,1434,28,3,96,9,509,18,1418,20,2309,0.0534,20,313,1452,1,2,14538,1
5200,5209,1486,30,0,98,12,526,19,1458,20,2386,0.0739,20,295,1482,1,2,15132,1
5400,5409,1536,32,1,97,10,524,19,1464,20,2465,0.0842,20,309,1479,3,6,15731,1
5600,5609,1587,34,4,94,11,527,19,1523,20,2533,0.1023,20,324,1508,3,6,16331,1
5800,5809,1638,36,2,96,8,531,18,1506,20,2601,0.1134,20,309,1507,4,8,16927,1
6000,6009,1707,38,5,98,11,533,19,1508,20,2666,0.1022,20,328,1500,5,10,17525,1
6200,6209,1767,40,2,98,11,540,20,1569,20,2755,0.1238,20,339,1591,7,14,18122,1
6400,6409,1824,42,2,95,11,536,19,1562,20,2820,0.1105,20,319,1595,6,12,18726,1
6600,6609,1888,44,0,99,16,537,20,1642,20,2887,0.1147,20,338,1627,5,10,19312,1
6800,6809,1940,46,3,95,12,553,19,1656,20,2991,0.1234,20,349,1633,4,8,19905,1
7000,7009,1996,48,3,99,13,550,19,1664,20,3044,0.1295,20,342,1658,3,6,20499,1
7200,7209,2048,50,2,99,10,564,19,1705,20,3151,0.1386,20,351,1705,3,6,21094,1
7400,7409,2095,52,2,100,12,566,20,1713,20,3227,0.1409,20,341,1732,4,8,21693,1
7600,7609,2147,54,1,98,15,584,20,1742,20,3363,0.164,20,368,1768,4,8,22276,1
7800,7809,2204,56,0,100,10,586,20,1827,20,3479,0.1812,20,358,1784,4,8,22872,1
8000,8009,2258,58,5,101,14,571,20,1821,20,3546,0.1949,20,376,1798,3,6,23465,1
8200,8209,2323,60,1,101,15,581,20,1832,20,3604,0.2009,20,373,1798,4,8,24064,1
8400,8409,2384,62,2,100,12,584,20,1866,20,3668,0.2008,20,407,1884,4,8,24659,1
8600,8609,2447,63,1,99,14,593,19,1863,20,3738,0.1806,20,405,1881,5,10,25247,1
8800,8809,2502,65,3,100,15,593,19,1849,20,3797,0.1795,20,397,1888,4,8,25845,1
9000,9009,2566,67,3,100,8,578,19,1898,20,3874,0.1949,20,402,1921,4,8,26435,1
9200,9209,2622,69,4,101,12,592,20,1898,20,3928,0.1859,20,384,1938,3,6,27032,1
9400,9409,2682,71,0,96,10,601,19,1941,20,3996,0.1937,20,372,1919,3,6,27627,1
9600,9609,2741,73,1,100,12,589,20,1903,20,4044,0.18,20,379,1979,1,2,28217,1
