step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,66,-1,0,58,0,100,0,113,0,116,0,17,31,113,3,6,559,0
400,409,117,-1,0,68,0,157,0,201,0,206,0,17,38,197,3,6,1123,0
600,609,172,-1,0,80,0,220,0,301,0,329,0,17,59,305,3,6,1680,0
800,809,254,-1,0,82,0,247,0,373,0,412,0,20,90,366,3,6,2226,0
1000,1009,318,-1,0,84,0,284,0,442,0,505,0,19,83,445,3,6,2789,0
1200,1209,378,-1,0,89,0,302,0,499,0,586,0,19,87,503,3,6,3356,0
1400,1409,437,-1,0,88,0,328,0,566,0,666,0,19,100,552,3,6,3941,0
1600,1609,499,-1,0,93,0,345,0,633,0,778,0,20,130,626,3,6,4515,0
1800,1809,560,-1,0,91,0,372,0,708,0,865,0,20,144,699,3,6,5082,0
2000,2009,607,-1,0,90,0,373,0,746,0,937,0,20,158,745,3,6,5674,0
2200,2209,669,-1,0,95,0,399,0,814,0,1044,0,20,166,812,3,6,6230,0
2400,2409,727,-1,0,93,0,419,0,865,0,1127,0,20,150,859,3,6,6815,0
2600,2609,792,-1,0,93,0,427,0,887,0,1200,0,20,167,895,3,6,7404,0
2800,2809,855,-1,0,94,0,439,0,951,0,1279,0,20,190,950,3,6,7982,0
3000,3009,916,3,0,96,5,456,8,1007,5,1386,0,20,197,989,3,6,8551,0
3200,3209,976,3,0,94,2,446,2,1044,3,1468,0,20,226,1034,3,6,9145,0
3400,3409,1030,3,0,94,0,460,2,1091,5,1558,0,20,208,1089,3,6,9735,0
3600,3609,1089,3,0,97,2,469,6,1110,9,1651,0,20,232,1134,3,6,10319,0
3800,3809,1151,3,2,94,1,487,7,1188,8,1739,0.0614,20,219,1166,3,6,10884,1
4000,4009,1209,3,0,98,0,476,1,1195,11,1843,0.0531,20,210,1189,3,6,11472,1
4200,4209,1268,3,0,95,1,501,8,1216,10,1893,0.1015,20,243,1231,3,6,12061,1
4400,4409,1322,3,0,98,1,497,5,1281,12,1983,0.1052,20,250,1269,3,6,12651,1
4600,4609,1380,3,1,96,1,503,9,1295,7,2051,0.0682,20,233,1273,3,6,13243,1
4800,4809,1445,3,0,99,3,508,6,1325,5,2125,0.0957,20,246,1301,3,6,13832,1
5000,5009,1495,3,0,97,3,510,3,1342,11,2209,0.0605,20,255,1341,3,6,14433,1
5200,5209,1559,3,0,96,1,508,1,1376,2,2268,0.0724,20,272,1353,3,6,15023,1
5400,5409,1620,3,0,99,1,517,4,1403,4,2368,0.0419,20,312,1421,3,6,15617,1
5600,5609,1691,3,0,95,2,532,1,1404,12,2414,0.0176,20,306,1431,3,6,16204,1
5800,5809,1754,3,0,97,2,533,7,1460,8,2495,0,20,274,1447,3,6,16796,0
6000,6009,1805,3,0,97,1,542,9,1474,9,2595,0,20,282,1496,3,6,17376,0
6200,6209,1865,3,0,95,1,524,4,1514,8,2657,0,20,306,1504,3,6,17967,0
6400,6409,1926,3,0,99,2,529,0,1536,9,2758,0,20,318,1544,3,6,18546,0
