degree,count
3,4493
4,1636
5,872
6,595
7,376
8,283
9,233
10,158
11,141
12,134
13,84
14,60
15,74
16,50
17,63
18,44
19,47
20,29
21,30
22,27
23,33
24,22
25,30
26,18
27,21
28,23
29,15
30,21
31,18
32,20
33,17
34,10
35,9
36,12
37,10
38,10
39,4
40,11
41,7
42,12
43,4
44,9
45,5
46,8
47,11
48,7
49,5
50,11
51,5
52,4
53,3
54,5
55,3
56,2
57,5
58,5
59,3
60,3
61,1
62,5
63,5
64,2
65,2
66,4
67,4
68,4
69,4
70,2
71,6
72,1
73,2
74,1
75,3
76,2
77,4
78,1
79,1
80,3
81,1
82,2
83,2
84,3
86,4
87,2
88,2
89,1
90,3
91,1
92,2
93,3
94,1
95,3
96,3
97,1
99,1
100,1
101,1
103,3
108,1
109,1
110,1
112,1
113,1
115,1
117,1
118,1
119,2
120,1
124,3
125,1
126,1
130,1
132,1
136,1
139,1
140,1
141,1
145,1
146,1
147,1
151,1
152,2
157,1
164,1
169,1
178,1
185,1
187,1
190,1
191,1
200,1
202,1
203,1
207,1
208,1
210,1
216,1
221,1
240,1
245,1
252,1
256,1
258,1
267,1
278,2
282,1
284,1
309,1
313,1
314,1
324,1
341,1
350,1
354,1
514,1
619,1
628,1
