step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,61,-1,0,57,0,103,0,114,0,118,0,13,22,116,0,0,576,0
400,409,122,-1,0,70,0,164,0,203,0,212,0,15,29,204,0,0,1124,0
600,609,185,-1,0,76,0,203,0,280,0,299,0,18,54,274,0,0,1698,0
800,809,256,-1,0,81,0,244,0,353,0,395,0,20,67,351,0,0,2259,0
1000,1009,305,-1,0,85,0,288,0,455,0,518,0,20,92,454,0,0,2820,0
1200,1209,365,-1,0,86,0,315,0,534,0,625,0,20,121,534,1,2,3392,0
1400,1409,423,-1,0,90,0,334,0,594,0,704,0,20,126,595,1,2,3962,0
1600,1609,482,-1,0,86,0,342,0,630,0,783,0,20,113,643,1,2,4554,0
1800,1809,546,-1,0,86,0,362,0,686,0,871,0,20,140,692,0,0,5125,0
2000,2009,617,-1,0,90,0,377,0,754,0,939,0,20,158,739,0,0,5704,0
2200,2209,683,-1,0,92,0,398,0,796,0,1030,0,20,144,794,0,0,6278,0
2400,2409,744,-1,0,94,0,419,0,846,0,1127,0,20,147,854,4,8,6854,0
2600,2609,811,-1,0,91,0,427,0,890,0,1199,0,20,177,878,4,8,7451,0
2800,2809,866,-1,0,92,0,426,0,946,0,1286,0,20,197,929,2,4,8040,0
3000,3009,934,3,0,93,1,436,7,978,9,1362,0,20,208,975,2,4,8619,0
3200,3209,990,3,0,93,1,448,5,991,9,1407,0,20,203,988,3,6,9218,0
3400,3409,1048,3,0,98,2,453,5,1052,7,1516,0,20,194,1038,5,10,9808,0
3600,3609,1124,3,1,97,3,464,5,1085,7,1603,0,20,213,1083,4,8,10394,0
3800,3809,1185,3,1,97,2,461,7,1131,10,1670,0,20,241,1110,6,12,10988,0
4000,4009,1244,3,0,98,2,483,4,1200,7,1781,0,20,228,1179,6,12,11566,0
4200,4209,1316,3,0,98,0,500,5,1221,7,1840,0,20,252,1242,5,10,12157,0
4400,4409,1379,3,1,98,2,504,0,1263,12,1953,0,20,249,1267,1,2,12729,0
4600,4609,1433,3,0,98,2,501,6,1295,7,2017,0,20,263,1287,1,2,13323,0
4800,4809,1497,5,0,98,1,519,6,1328,13,2092,0.0344,20,270,1334,1,2,13907,1
5000,5009,1550,7,2,98,2,523,9,1374,15,2175,0.0431,20,262,1372,1,2,14495,1
5200,5209,1602,9,1,101,3,536,12,1389,17,2261,0.0185,20,287,1391,2,4,15086,1
5400,5409,1665,11,1,97,3,524,11,1423,18,2342,0.0223,20,298,1410,2,4,15681,1
5600,5609,1728,13,3,97,4,515,12,1444,18,2396,0.0708,20,255,1456,3,6,16269,1
5800,5809,1781,15,2,96,7,545,17,1469,20,2472,0.0823,20,309,1483,5,10,16866,1
6000,6009,1832,17,2,99,9,539,14,1491,19,2566,0.0027,20,294,1485,7,14,17465,1
6200,6209,1885,19,0,99,6,524,15,1554,20,2647,0.1105,20,265,1533,7,14,18064,1
6400,6409,1947,21,1,99,9,525,17,1570,19,2770,0.1191,20,328,1560,4,8,18658,1
6600,6609,2008,24,1,97,5,546,16,1565,19,2818,0.1078,20,302,1581,4,8,19244,1
6800,6809,2070,26,0,99,9,562,19,1612,20,2870,0.1203,20,315,1608,5,10,19839,1
7000,7009,2136,28,4,98,7,540,17,1632,20,2977,0.1145,20,318,1633,2,4,20429,1
7200,7209,2191,31,1,102,11,562,19,1637,20,3001,0.1034,20,357,1662,2,4,21019,1
7400,7409,2250,33,6,99,12,558,18,1651,20,3071,0.1124,20,328,1637,1,2,21610,1
7600,7609,2313,35,4,99,8,556,19,1687,20,3153,0.1003,20,346,1663,1,2,22200,1
7800,7809,2366,37,0,97,6,555,19,1737,20,3267,0.1042,20,341,1712,1,2,22783,1
8000,8009,2425,39,2,98,12,558,19,1736,20,3332,0.0896,20,364,1746,1,2,23379,1
8200,8209,2484,41,0,97,14,588,17,1735,20,3407,0.1163,20,348,1752,1,2,23961,1
8400,8409,2552,43,3,95,10,570,18,1757,20,3481,0.1078,20,393,1758,2,4,24557,1
8600,8609,2602,45,3,99,10,569,16,1781,20,3510,0.1123,20,385,1817,3,6,25153,1
8800,8809,2667,48,0,99,10,571,19,1832,20,3629,0.1002,20,332,1834,3,6,25736,1
9000,9009,2735,-1,0,101,0,569,0,1845,0,3709,0,20,382,1824,3,6,26321,0
9200,9209,2791,3,0,99,1,591,1,1852,13,3750,0,20,384,1861,5,10,26921,0
9400,9409,2850,3,0,100,1,575,7,1857,13,3831,0,20,326,1840,3,6,27512,0
9600,9609,2903,3,0,102,0,581,3,1868,9,3898,0.0546,20,361,1880,4,8,28108,0
9800,9809,2956,5,0,98,3,571,5,1886,12,3982,0.168,20,389,1899,7,14,28711,1
10000,10009,3020,7,0,99,4,603,5,1935,14,4076,0.1384,20,407,1961,7,14,29308,1
10200,10209,3075,9,0,102,2,595,9,1926,19,4135,0.1447,20,412,1937,7,14,29905,1
10400,10409,3133,11,0,101,3,596,10,1983,18,4215,0.1331,20,417,1950,6,12,30503,1
10600,10609,3184,13,0,99,1,583,7,1933,19,4289,0.0905,20,421,1981,6,12,31103,1
10800,10809,3233,15,1,101,3,603,12,2005,20,4346,0.1147,20,391,1964,7,14,31709,1
11000,11009,3302,17,0,103,2,591,15,2002,18,4406,0.1158,20,389,2025,8,16,32316,1
11200,11209,3351,19,0,101,6,593,11,2047,20,4480,0.1151,20,403,2017,6,12,32923,1
11400,11409,3400,21,1,100,5,602,9,2033,20,4547,0.1174,20,415,1998,5,10,33524,1
11600,11609,3457,23,0,101,5,602,14,2039,20,4603,0.0928,20,418,2052,5,10,34122,1
11800,11809,3515,25,1,103,3,603,13,2076,20,4719,0.0756,20,447,2091,6,12,34713,1
12000,12009,3583,27,0,100,7,601,15,2052,20,4755,0.0778,20,414,2080,6,12,35316,1
12200,12209,3642,29,1,99,6,614,15,2126,20,4839,0.0738,20,411,2136,5,10,35902,1
12400,12409,3697,31,0,98,4,608,13,2053,20,4890,0.0564,20,426,2152,4,8,36501,1
12600,12609,3747,33,2,99,7,619,17,2154,20,5029,0.0567,20,444,2199,4,8,37088,1
12800,12809,3804,35,1,102,6,633,18,2190,20,5122,0.0939,20,455,2173,3,6,37683,1
13000,13009,3851,38,2,98,8,620,15,2224,20,5271,0.0191,20,461,2242,4,8,38273,1
13200,13209,3915,40,1,103,4,613,16,2175,20,5307,0.0263,20,463,2221,3,6,38867,1
13400,13409,3967,43,1,102,9,620,18,2271,20,5429,0.0312,20,457,2244,4,8,39460,1
13600,13609,4022,46,1,98,7,636,18,2292,20,5487,0.0392,20,489,2280,5,10,40060,1
13800,13809,4078,48,4,101,8,630,20,2244,20,5544,0.0314,20,506,2264,3,6,40654,1
14000,14009,4140,50,0,101,9,631,16,2236,20,5619,0.0297,20,467,2301,2,4,41246,1
14200,14209,4214,52,3,102,8,643,18,2291,20,5695,0.0273,20,466,2318,2,4,41821,1
