degree,count
3,4443
4,1693
5,870
6,535
7,376
8,264
9,238
10,160
11,144
12,114
13,116
14,76
15,75
16,62
17,58
18,53
19,47
20,41
21,39
22,26
23,33
24,23
25,29
26,25
27,15
28,17
29,23
30,21
31,22
32,15
33,14
34,12
35,9
36,8
37,13
38,9
39,7
40,10
41,7
42,8
43,8
44,7
45,4
46,9
47,7
48,9
49,9
50,7
51,6
52,1
53,7
54,3
55,1
56,2
57,5
58,6
59,1
60,3
61,8
62,6
63,8
64,5
65,2
66,6
67,3
68,2
69,1
70,5
71,1
72,2
73,1
74,2
75,4
76,2
77,1
78,3
79,2
80,3
81,3
82,2
83,1
84,1
85,4
86,2
87,2
88,1
89,2
90,2
91,2
92,1
93,1
94,1
95,4
96,1
97,1
99,2
102,1
103,1
106,1
107,2
108,1
109,2
110,1
112,1
114,3
116,1
117,1
118,1
121,3
129,2
130,1
137,1
138,1
139,3
142,1
143,1
147,1
148,1
151,2
153,2
155,1
158,1
161,1
168,1
177,1
188,1
192,1
198,1
203,1
218,1
225,1
228,1
229,2
272,1
277,1
281,1
298,2
305,1
337,1
345,1
349,1
359,1
384,1
388,1
390,1
417,1
429,1
484,1
