step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,62,-1,0,50,0,98,0,110,0,113,0,13,24,113,0,0,519,0
400,409,123,-1,0,59,0,133,0,169,0,189,0,15,40,174,0,0,1101,0
600,609,175,-1,0,66,0,152,0,218,0,253,0,15,51,218,0,0,1681,0
800,809,230,-1,0,68,0,172,0,261,0,306,0,17,38,253,0,0,2258,0
1000,1009,294,-1,0,64,0,189,0,287,0,371,0,19,53,293,0,0,2815,0
1200,1209,354,-1,0,69,0,199,0,323,0,403,0,18,51,319,0,0,3387,0
1400,1409,406,-1,0,73,0,234,0,397,0,539,0,17,58,408,0,0,3850,0
1600,1609,473,-1,0,74,0,243,0,427,0,591,0,19,68,429,0,0,4406,0
1800,1809,536,-1,0,71,0,243,0,449,0,616,0,20,83,453,0,0,4989,0
2000,2009,585,-1,0,75,0,250,0,453,0,680,0,20,99,450,0,0,5559,0
2200,2209,645,-1,0,76,0,255,0,480,0,729,0,20,86,469,0,0,6136,0
2400,2409,701,-1,0,76,0,259,0,484,0,748,0,19,91,488,0,0,6721,0
2600,2609,769,-1,0,76,0,249,0,479,0,748,0,19,100,483,0,0,7319,0
2800,2809,836,-1,0,76,0,268,0,534,0,848,0,20,104,530,0,0,7828,0
3000,3009,900,3,0,75,0,267,4,547,4,877,0,20,119,548,0,0,8401,0
3200,3209,967,3,2,76,1,263,2,554,8,898,0.0164,20,127,537,0,0,8981,0
3400,3409,1034,3,0,75,1,263,3,567,2,926,0.0128,20,108,574,0,0,9556,0
3600,3609,1098,3,0,75,1,277,4,549,6,940,0.0099,20,106,556,0,0,10149,0
3800,3809,1154,3,0,76,4,273,2,590,6,1023,0.0076,20,144,577,0,0,10697,0
4000,4009,1212,3,0,77,1,263,5,593,2,988,0.0058,20,125,577,0,0,11285,0
4200,4209,1291,4,0,74,0,279,5,589,10,1018,0.0493,20,128,577,0,0,11867,0
4400,4409,1350,4,2,73,1,269,7,604,8,1067,0.0546,20,105,603,0,0,12448,0
4600,4609,1415,5,0,76,3,270,4,588,12,1085,0.0602,20,113,594,0,0,13038,0
4800,4809,1485,5,0,75,1,282,4,606,13,1150,0.0463,20,112,632,0,0,13581,0
5000,5009,1552,5,0,78,1,306,8,730,16,1417,0.0353,20,159,725,0,0,14007,0
5200,5209,1609,5,0,80,1,298,4,721,12,1438,0.0522,20,146,737,0,0,14597,0
5400,5409,1674,6,1,85,3,393,9,987,16,1903,0.0501,20,207,979,0,0,14763,0
5600,5609,1736,6,0,86,1,363,4,943,10,1881,0.0777,20,179,945,0,0,15334,0
5800,5809,1790,6,0,85,3,375,7,960,8,1902,0.059,20,180,968,0,0,15902,0
6000,6009,1853,6,1,85,1,372,6,1002,9,2024,0.0995,20,177,999,0,0,16421,1
6200,6209,1904,6,0,83,1,375,7,985,13,1991,0.1208,20,196,980,0,0,17009,1
6400,6409,1962,6,0,84,3,367,5,978,7,1982,0.0932,20,169,919,0,0,17578,1
6600,6609,2017,7,0,84,3,366,5,950,8,2000,0.1211,20,170,973,0,0,18162,1
6800,6809,2070,7,2,80,1,353,6,937,12,1974,0.1601,20,178,958,0,0,18749,1
7000,7009,2137,8,0,81,0,360,5,943,7,2016,0.1691,20,212,962,0,0,19302,1
7200,7209,2202,9,0,81,4,353,10,939,5,2014,0.189,20,151,955,0,0,19893,1
7400,7409,2256,9,0,80,5,341,3,928,10,2006,0.1678,20,166,939,0,0,20470,1
7600,7609,2314,9,0,84,3,344,6,914,12,1983,0.2108,19,163,903,0,0,21053,1
7800,7809,2373,9,0,83,2,348,5,909,11,2030,0.2319,20,179,929,0,0,21640,1
8000,8009,2418,9,0,81,0,343,6,897,6,1999,0.2002,20,165,908,0,0,22225,1
8200,8209,2474,9,0,85,2,343,2,894,9,2045,0.2425,20,201,924,0,0,22813,1
8400,8409,2523,9,0,83,0,355,4,907,12,2045,0.1905,20,173,893,0,0,23404,1
8600,8609,2576,9,0,80,1,338,7,908,12,2046,0.149,20,173,895,0,0,23992,1
8800,8809,2631,9,0,88,0,415,5,1197,15,2789,0.1602,20,249,1273,0,0,23929,1
9000,9009,2700,9,0,89,3,426,5,1279,12,2849,0.1914,20,239,1255,0,0,24441,1
9200,9209,2759,9,0,88,1,414,7,1221,15,2826,0.2163,20,282,1223,0,0,25037,1
9400,9409,2814,9,2,92,2,411,1,1192,13,2822,0.2268,20,220,1156,0,0,25628,1
9600,9609,2884,9,0,88,2,406,5,1167,11,2770,0.1947,20,221,1173,0,0,26217,1
9800,9809,2945,9,0,90,1,400,5,1161,12,2734,0.219,20,243,1150,0,0,26796,1
10000,10009,3012,9,0,88,0,396,2,1153,9,2672,0.2051,20,216,1103,0,0,27388,1
10200,10209,3088,10,1,83,4,403,5,1106,13,2642,0.2152,20,220,1075,0,0,27967,1
