degree,count
3,5396
4,1753
5,870
6,475
7,316
8,228
9,139
10,113
11,89
12,54
13,55
14,57
15,31
16,27
17,31
18,25
19,16
20,16
21,17
22,12
23,14
24,13
25,8
26,8
27,8
28,11
29,7
30,6
31,7
32,5
33,6
34,5
35,9
36,6
37,8
38,5
39,4
40,3
41,1
42,2
43,3
44,1
45,2
46,4
47,1
48,2
49,3
50,1
51,3
52,1
53,2
54,3
56,2
58,4
59,3
61,3
63,1
64,2
65,2
66,4
67,1
68,1
69,3
70,1
71,2
72,1
73,3
74,2
76,1
77,2
79,3
80,3
81,2
83,1
84,1
85,2
86,2
87,1
88,2
91,1
93,1
96,4
99,2
102,1
106,1
107,1
108,1
109,1
112,1
113,1
117,2
120,1
121,1
124,1
125,1
130,1
131,1
140,1
142,1
146,1
152,1
154,1
156,1
159,1
160,1
161,1
162,1
164,2
168,1
183,1
185,1
186,1
192,1
197,1
204,2
217,1
229,1
234,1
237,1
246,1
248,1
262,1
268,1
275,1
287,1
292,1
296,1
298,1
306,1
322,1
362,1
397,1
405,1
478,2
529,1
563,1
567,1
673,1
854,1
974,1
1017,1
1239,1
1914,1
2545,1
4674,1
