step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,58,-1,0,62,0,115,0,129,0,129,0,12,26,128,0,0,546,0
400,409,128,-1,0,68,0,169,0,209,0,217,0,20,36,208,0,0,1103,0
600,609,195,-1,0,74,0,206,0,275,0,292,0,20,56,272,0,0,1682,0
800,809,253,-1,0,82,0,257,0,366,0,400,0,18,61,365,0,0,2234,0
1000,1009,314,-1,0,84,0,281,0,435,0,490,0,20,93,429,0,0,2811,0
1200,1209,378,-1,0,84,0,301,0,484,0,565,0,20,107,490,0,0,3389,0
1400,1409,449,-1,0,89,0,326,0,563,0,674,0,19,105,560,0,0,3956,0
1600,1609,516,-1,0,89,0,339,0,603,0,747,0,19,103,604,0,0,4530,0
1800,1809,580,-1,0,86,0,349,0,658,0,818,0,20,106,662,0,0,5103,0
2000,2009,639,-1,0,95,0,383,0,758,0,933,0,20,144,774,0,0,5664,0
2200,2209,695,-1,0,94,0,404,0,788,0,1018,0,20,166,791,0,0,6255,0
2400,2409,742,-1,0,89,0,431,0,867,0,1151,0,20,173,873,0,0,6829,0
2600,2609,805,-1,0,95,0,437,0,933,0,1249,0,20,167,946,0,0,7398,0
2800,2809,860,-1,0,96,0,443,0,952,0,1316,0,20,191,962,0,0,7989,0
3000,3009,922,3,1,94,1,435,7,995,8,1385,0,20,206,989,0,0,8570,0
3200,3209,983,3,0,95,0,445,3,1026,11,1454,0,20,216,1036,0,0,9148,0
3400,3409,1046,3,1,99,2,462,7,1109,11,1585,0,20,208,1086,0,0,9721,0
3600,3609,1103,3,0,98,2,462,3,1150,10,1670,0,20,215,1140,0,0,10292,0
3800,3809,1172,3,0,97,4,481,7,1176,6,1738,0,20,261,1176,0,0,10871,0
4000,4009,1232,3,1,93,0,489,7,1201,6,1826,0,20,224,1220,0,0,11453,0
4200,4209,1289,3,0,93,1,503,3,1272,9,1935,0.0465,20,272,1283,0,0,12027,1
4400,4409,1349,3,1,96,2,499,5,1283,6,1990,0.0962,20,253,1281,0,0,12609,1
4600,4609,1413,3,1,97,1,503,3,1281,6,2077,0.0609,20,251,1310,0,0,13194,1
4800,4809,1474,3,0,92,1,500,4,1343,3,2136,0.0328,20,296,1328,0,0,13773,1
5000,5009,1535,3,1,97,0,507,5,1341,6,2191,0.0702,20,268,1349,0,0,14365,1
5200,5209,1595,3,0,96,2,517,4,1373,6,2255,0.0402,20,255,1368,0,0,14949,1
5400,5409,1650,3,0,97,0,531,5,1409,6,2316,0.0495,20,288,1407,0,0,15538,1
5600,5609,1707,3,0,95,0,518,3,1428,2,2398,0.0436,20,286,1412,0,0,16125,1
5800,5809,1770,3,0,99,1,520,4,1457,4,2482,0.0189,20,300,1459,0,0,16705,1
6000,6009,1821,3,0,100,2,525,4,1473,5,2585,0,20,302,1498,0,0,17285,0
6200,6209,1872,3,0,97,1,522,1,1512,3,2646,0,20,303,1524,0,0,17873,0
6400,6409,1932,3,0,98,1,540,5,1534,4,2721,0.0306,20,302,1531,0,0,18455,1
6600,6609,1993,3,1,98,2,537,3,1564,6,2825,0.0485,20,314,1602,0,0,19034,1
6800,6809,2055,3,0,97,0,555,3,1614,5,2926,0.0228,20,334,1628,0,0,19622,1
7000,7009,2121,3,0,98,1,552,3,1612,4,2970,0.0422,20,341,1615,0,0,20209,1
7200,7209,2186,3,0,101,1,556,2,1653,4,3030,0.0178,20,376,1615,0,0,20790,1
7400,7409,2246,3,0,100,0,564,2,1655,11,3113,0.0554,20,294,1647,0,0,21379,1
7600,7609,2301,3,0,98,1,553,0,1693,7,3164,0.0683,20,335,1701,0,0,21964,1
7800,7809,2374,3,0,98,2,559,2,1707,4,3219,0.0386,20,339,1692,0,0,22543,1
8000,8009,2434,3,0,97,0,565,4,1749,4,3320,0.0149,20,390,1747,0,0,23126,1
8200,8209,2498,3,0,98,0,554,2,1748,6,3365,0.0293,20,380,1763,0,0,23715,1
8400,8409,2560,3,0,99,0,569,2,1770,8,3458,0.0574,20,366,1765,0,0,24305,1
8600,8609,2614,3,1,100,0,560,1,1804,5,3514,0.0699,20,335,1783,0,0,24891,1
8800,8809,2672,3,1,95,1,568,5,1769,6,3550,0.1399,20,397,1811,0,0,25480,1
9000,9009,2734,3,0,103,0,570,1,1794,5,3641,0.136,20,374,1805,0,0,26068,1
9200,9209,2794,3,0,100,2,583,1,1846,8,3738,0.1499,20,380,1848,0,0,26647,1
9400,9409,2863,3,0,98,1,580,4,1865,9,3791,0.1039,20,391,1845,0,0,27238,1
9600,9609,2937,3,0,101,0,592,3,1870,4,3875,0.0671,20,373,1867,0,0,27824,1
9800,9809,2998,3,0,99,0,580,3,1902,6,3893,0.1377,20,406,1866,0,0,28419,1
10000,10009,3057,3,0,102,0,574,4,1858,6,3985,0.0942,20,405,1929,0,0,29012,1
10200,10209,3121,3,0,100,1,579,4,1921,5,4039,0.0593,20,399,1933,0,0,29602,1
10400,10409,3177,3,0,100,0,593,1,1900,6,4109,0.0315,20,418,1951,0,0,30192,1
10600,10609,3234,3,0,101,2,586,1,1997,2,4203,0.0092,20,399,1959,0,0,30777,1
10800,10809,3286,3,0,99,0,588,1,1988,7,4328,0.058,20,403,1996,0,0,31357,1
11000,11009,3346,3,0,102,0,596,2,1998,6,4392,0.2304,20,408,1998,0,0,31936,1
11200,11209,3408,3,0,99,0,604,0,2041,6,4475,0.2083,20,382,2011,0,0,32516,1
11400,11409,3467,3,0,100,0,616,4,2047,5,4513,0.2173,20,472,2058,0,0,33106,1
11600,11609,3536,3,1,99,0,597,2,2045,8,4622,0.2912,20,426,2118,0,0,33685,1
11800,11809,3593,3,0,102,1,626,5,2089,4,4700,0.2562,20,393,2079,0,0,34275,1
12000,12009,3648,3,0,97,0,602,3,2089,7,4723,0.2202,20,427,2082,0,0,34860,1
12200,12209,3713,3,0,99,0,609,3,2093,2,4804,0.1833,20,455,2080,0,0,35451,1
12400,12409,3774,3,0,98,1,601,4,2165,8,4877,0.1833,20,470,2088,0,0,36035,1
12600,12609,3831,3,0,100,0,609,3,2163,7,4947,0.2138,20,451,2127,0,0,36619,1
12800,12809,3883,3,0,98,0,619,4,2173,3,5047,0.1383,20,413,2137,0,0,37206,1
13000,13009,3954,3,0,97,1,616,3,2148,5,5091,0.1445,20,418,2167,0,0,37789,1
13200,13209,4008,3,0,100,0,631,2,2173,2,5217,0.0828,20,478,2217,0,0,38378,1
13400,13409,4067,3,0,101,0,613,2,2224,8,5277,0.1534,20,503,2215,0,0,38968,1
13600,13609,4125,3,0,99,0,634,2,2239,8,5422,0.0899,20,443,2241,0,0,39542,1
13800,13809,4177,3,1,100,1,635,4,2287,14,5520,0.0391,20,455,2250,0,0,40121,1
14000,14009,4237,3,1,101,1,632,3,2297,15,5579,0.0825,20,461,2311,0,0,40714,1
14200,14209,4296,3,0,101,0,625,1,2300,8,5645,0.1167,20,482,2310,0,0,41311,1
