degree,count
3,4553
4,1592
5,886
6,566
7,368
8,274
9,222
10,183
11,137
12,104
13,95
14,97
15,66
16,68
17,39
18,42
19,37
20,45
21,41
22,40
23,26
24,26
25,27
26,25
27,32
28,22
29,15
30,18
31,15
32,18
33,13
34,12
35,8
36,15
37,10
38,7
39,4
40,7
41,10
42,4
43,7
44,6
45,5
46,10
47,5
48,4
49,5
50,9
51,4
52,5
53,7
54,4
55,3
56,3
57,9
58,7
59,7
60,5
61,2
62,1
64,2
65,6
66,1
67,2
68,3
69,1
70,3
71,2
73,5
74,1
76,2
77,1
78,1
79,1
80,1
81,3
82,1
83,2
85,4
86,2
87,1
88,4
90,2
91,2
92,1
95,1
96,2
97,1
99,1
100,2
102,3
107,2
109,1
112,1
113,1
114,1
119,2
120,2
122,1
125,1
128,1
129,1
131,1
135,1
136,1
138,1
139,2
145,1
146,2
148,1
150,1
151,1
153,3
154,1
155,1
157,1
163,1
167,1
168,1
173,1
175,1
181,1
183,1
190,1
192,1
202,1
204,1
208,1
211,1
212,1
217,1
227,1
233,1
235,1
250,1
257,1
258,1
262,1
269,1
273,1
275,1
292,2
301,1
315,1
318,1
334,1
336,2
342,1
400,1
404,1
406,1
469,1
