step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,53,-1,0,58,0,108,0,120,0,122,0,13,23,121,0,0,572,0
400,409,108,-1,0,72,0,175,0,218,0,229,0,17,47,220,0,0,1126,0
600,609,173,-1,0,77,0,220,0,298,0,319,0,19,58,298,0,0,1695,0
800,809,239,-1,0,80,0,251,0,365,0,411,0,18,58,376,0,0,2250,0
1000,1009,298,-1,0,82,0,267,0,433,0,490,0,20,103,435,0,0,2831,0
1200,1209,370,-1,0,86,0,305,0,504,0,582,0,20,88,504,0,0,3380,0
1400,1409,432,-1,0,90,0,328,0,561,0,680,0,20,91,553,0,0,3959,0
1600,1609,495,-1,0,88,0,344,0,625,0,777,0,20,112,627,0,0,4538,0
1800,1809,544,-1,0,90,0,358,0,683,0,870,0,20,137,677,1,2,5124,0
2000,2009,608,-1,0,91,0,373,0,733,0,953,0,20,153,745,1,2,5709,0
2200,2209,671,-1,0,93,0,395,0,787,0,1048,0,20,176,802,0,0,6296,0
2400,2409,738,-1,0,91,0,404,0,808,0,1110,0,20,165,814,3,6,6892,0
2600,2609,800,-1,0,92,0,404,0,881,0,1226,0,20,174,886,4,8,7472,0
2800,2809,869,-1,0,95,0,437,0,932,0,1320,0,20,186,943,1,2,8055,0
3000,3009,927,3,0,97,3,440,10,1010,14,1405,0,20,202,991,1,2,8637,0
3200,3209,986,3,0,93,0,437,5,1015,13,1474,0.0106,20,211,1020,1,2,9231,0
3400,3409,1041,3,0,96,0,455,9,1049,12,1550,0.0083,20,181,1044,2,4,9825,0
3600,3609,1103,3,1,95,1,472,6,1102,13,1628,0.0184,20,185,1075,1,2,10412,0
3800,3809,1165,3,0,98,6,464,7,1116,12,1687,0.0343,20,258,1111,1,2,10999,0
4000,4009,1219,3,0,95,3,465,3,1180,9,1789,0.0491,20,239,1149,2,4,11588,0
4200,4209,1285,3,0,95,2,481,9,1192,8,1838,0.038,20,239,1198,3,6,12177,0
4400,4409,1348,3,0,96,0,501,9,1256,8,1927,0.0517,20,256,1238,4,8,12769,0
4600,4609,1414,5,0,96,1,498,10,1271,16,2022,0.0782,20,259,1278,5,10,13350,1
4800,4809,1474,7,1,94,2,506,11,1284,19,2081,0.064,20,267,1273,6,12,13949,1
5000,5009,1534,9,2,97,4,493,13,1325,17,2178,0.0716,20,273,1338,6,12,14543,1
5200,5209,1602,13,1,97,1,510,16,1371,20,2226,0.0697,20,288,1341,5,10,15139,1
5400,5409,1672,15,1,98,4,508,16,1429,20,2354,0.0721,20,275,1444,4,8,15726,1
5600,5609,1717,18,0,97,4,524,18,1463,20,2424,0.1058,20,300,1477,3,6,16323,1
5800,5809,1779,20,0,100,5,524,17,1464,20,2525,0.1106,20,279,1486,4,8,16910,1
6000,6009,1844,22,1,99,9,553,16,1539,20,2581,0.116,20,334,1526,4,8,17491,1
6200,6209,1910,24,1,97,10,550,17,1521,20,2666,0.1015,20,331,1529,4,8,18074,1
