degree,count
3,4382
4,1684
5,900
6,558
7,380
8,277
9,223
10,166
11,136
12,121
13,100
14,73
15,67
16,57
17,51
18,52
19,48
20,48
21,41
22,35
23,30
24,24
25,26
26,17
27,32
28,30
29,22
30,20
31,16
32,13
33,21
34,14
35,15
36,18
37,7
38,11
39,10
40,7
41,6
42,8
43,7
44,6
45,17
46,11
47,6
48,4
49,8
50,9
51,7
52,6
53,4
54,8
55,2
56,4
57,3
58,7
59,2
60,4
61,5
62,3
63,5
65,2
66,2
67,3
68,3
69,3
70,1
71,2
72,2
73,3
74,4
75,4
76,1
77,5
78,2
79,4
80,2
81,3
83,1
84,1
86,1
87,2
88,1
89,1
90,1
91,2
92,1
93,1
95,1
96,1
98,2
99,4
100,2
101,1
102,2
103,1
104,2
105,1
107,2
108,1
111,2
112,1
113,3
116,1
117,2
119,2
122,2
125,1
126,1
129,1
138,1
142,1
145,1
146,2
147,1
148,1
151,1
153,2
163,1
164,1
169,1
174,1
176,1
178,1
181,1
182,1
189,1
190,2
195,1
199,1
211,1
213,2
215,1
220,1
232,1
233,1
241,1
248,1
269,1
293,1
298,1
303,1
340,1
341,1
398,1
447,1
522,1
544,1
652,1
