degree,count
3,4376
4,1664
5,867
6,561
7,413
8,307
9,207
10,160
11,150
12,157
13,101
14,82
15,71
16,71
17,53
18,47
19,43
20,58
21,36
22,29
23,35
24,27
25,26
26,25
27,29
28,16
29,23
30,12
31,14
32,12
33,13
34,18
35,11
36,12
37,11
38,7
39,17
40,7
41,16
42,17
43,4
44,8
45,5
46,11
47,6
48,1
49,3
50,5
51,4
52,3
53,3
54,2
55,3
57,4
58,4
59,3
60,3
61,2
62,4
63,4
64,3
65,2
66,1
67,2
68,1
69,4
70,2
71,1
72,2
74,1
75,3
76,2
78,2
79,2
80,3
81,1
84,2
85,2
86,1
87,4
88,1
89,2
90,1
91,3
93,2
94,1
98,2
100,1
101,1
103,1
104,2
107,1
108,1
110,1
111,2
114,1
115,1
116,1
118,1
119,1
120,1
122,1
123,1
125,1
128,1
129,2
132,1
133,1
135,2
137,1
139,1
140,2
141,1
142,1
144,1
146,1
150,2
158,1
164,2
166,3
167,1
168,1
172,1
177,2
182,1
185,1
187,2
189,1
199,1
204,1
206,1
208,1
225,1
236,1
238,1
239,1
241,1
254,1
257,1
288,1
289,1
297,1
314,1
330,1
353,1
357,1
388,1
412,1
493,1
542,1
555,1
