step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,62,-1,0,58,0,100,0,115,0,116,0,13,21,114,0,0,563,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,118,-1,0,69,0,166,0,209,0,225,0,19,42,213,0,0,1131,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,183,-1,0,74,0,208,0,282,0,305,0,19,65,280,0,0,1704,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,255,-1,0,81,0,239,0,360,0,398,0,20,63,351,0,0,2276,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,310,-1,0,82,0,272,0,425,0,493,0,19,82,430,0,0,2854,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,374,-1,0,87,0,295,0,484,0,571,0,19,82,485,0,0,3428,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,434,-1,0,87,0,313,0,562,0,665,0,20,113,550,0,0,4007,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,486,-1,0,86,0,328,0,592,0,740,0,20,100,601,0,0,4592,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,539,-1,0,88,0,351,0,660,0,853,0,20,146,667,0,0,5164,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,598,-1,0,88,0,359,0,714,0,932,0,20,139,718,0,0,5747,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,655,-1,0,88,0,371,0,752,0,1008,0,20,166,754,0,0,6333,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,719,-1,0,90,0,400,0,816,0,1105,0,20,156,816,0,0,6910,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,785,-1,0,93,0,403,0,876,0,1205,0,20,150,867,0,0,7481,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,840,-1,0,96,0,421,0,881,0,1280,0,20,168,914,0,0,8064,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,899,3,0,94,2,422,3,961,6,1378,0,20,167,960,0,0,8636,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,962,3,0,94,1,433,3,987,6,1457,0,20,214,987,0,0,9228,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1018,3,0,96,4,448,1,1057,6,1576,0,20,212,1045,0,0,9801,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3600,3609,1068,3,0,92,2,470,4,1081,7,1635,0,20,195,1089,0,0,10390,0,3,7,0,-1,0,0,-1,0,0,-1,0,0
