degree,count
3,4272
4,1684
5,897
6,580
7,422
8,315
9,236
10,177
11,146
12,154
13,111
14,86
15,68
16,58
17,57
18,60
19,51
20,40
21,34
22,35
23,32
24,19
25,27
26,18
27,14
28,15
29,17
30,16
31,16
32,12
33,11
34,20
35,10
36,15
37,8
38,9
39,7
40,10
41,5
42,8
43,4
44,4
45,3
46,6
47,6
48,3
49,5
50,8
51,3
52,6
53,5
54,1
55,4
56,2
57,3
58,2
59,5
60,6
61,6
62,1
63,2
64,3
65,3
66,3
67,3
68,4
69,3
70,3
71,1
72,2
73,2
74,2
75,2
77,2
79,1
80,2
81,3
83,2
84,4
86,3
87,5
88,5
89,2
90,2
91,2
92,1
93,1
94,1
95,2
96,2
97,1
98,1
99,1
100,3
101,5
102,1
104,1
105,1
107,2
109,3
113,1
116,1
117,1
118,2
120,2
126,1
127,1
129,2
130,1
131,1
132,1
135,1
136,1
137,1
138,1
140,1
141,1
142,1
143,1
144,1
145,1
146,2
150,1
162,1
164,1
165,1
169,1
179,1
184,1
185,1
187,1
188,2
190,1
196,1
198,1
207,2
210,1
211,1
214,1
230,2
236,1
242,1
245,1
247,1
254,1
261,1
264,2
274,2
290,1
296,1
308,1
343,1
405,1
446,1
468,1
