step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,59,-1,0,59,0,106,0,115,0,120,0,12,20,118,0,0,569,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,125,-1,0,75,0,172,0,215,0,217,0,16,36,215,0,0,1090,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,177,-1,0,78,0,213,0,291,0,322,0,20,75,300,0,0,1668,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,227,-1,0,80,0,260,0,384,0,435,0,20,56,396,0,0,2243,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,281,-1,0,86,0,278,0,458,0,513,0,20,103,451,0,0,2819,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,351,-1,0,89,0,325,0,545,0,637,0,20,112,541,1,2,3361,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,418,-1,0,89,0,355,0,599,0,719,0,20,124,605,4,8,3936,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,469,-1,0,88,0,370,0,662,0,793,0,20,112,656,4,8,4528,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,516,-1,0,89,0,385,0,733,0,902,0,20,147,720,4,8,5117,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,565,-1,0,91,0,401,0,788,0,1002,0,20,185,819,4,8,5689,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,619,-1,0,92,0,405,0,858,0,1083,0,20,172,853,2,4,6280,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,682,-1,0,95,0,420,0,889,0,1184,0,20,204,900,4,8,6867,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,733,-1,0,91,0,445,0,928,0,1265,0,20,167,918,5,10,7467,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,796,3,0,91,2,445,6,950,17,1342,0,20,188,982,5,10,8060,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,859,3,1,94,4,464,5,991,17,1427,0,20,209,997,4,8,8640,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,915,3,1,97,4,467,6,1069,16,1523,0,20,229,1056,4,8,9226,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,990,3,1,97,2,455,3,1083,2,1586,0,20,185,1087,4,8,9811,0,3,6,0,-1,0,0,-1,0,0,-1,0,0
