step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,61,-1,0,57,0,103,0,114,0,118,0,13,22,116,0,0,576,0
400,409,122,-1,0,70,0,164,0,203,0,212,0,15,29,204,0,0,1124,0
600,609,185,-1,0,76,0,203,0,280,0,299,0,18,54,274,0,0,1698,0
800,809,256,-1,0,81,0,244,0,353,0,395,0,20,67,351,0,0,2259,0
1000,1009,305,-1,0,85,0,288,0,455,0,518,0,20,92,454,0,0,2820,0
1200,1209,365,-1,0,86,0,315,0,534,0,625,0,20,121,534,1,2,3392,0
1400,1409,423,-1,0,90,0,334,0,594,0,704,0,20,126,595,1,2,3962,0
1600,1609,482,-1,0,86,0,342,0,630,0,783,0,20,113,643,1,2,4554,0
1800,1809,546,-1,0,86,0,362,0,686,0,871,0,20,140,692,0,0,5125,0
2000,2009,617,-1,0,90,0,377,0,754,0,939,0,20,158,739,0,0,5704,0
2200,2209,683,-1,0,92,0,398,0,796,0,1030,0,20,144,794,0,0,6278,0
2400,2409,744,-1,0,94,0,419,0,846,0,1127,0,20,147,854,4,8,6854,0
2600,2609,811,-1,0,91,0,427,0,890,0,1199,0,20,177,878,4,8,7451,0
2800,2809,866,-1,0,92,0,426,0,946,0,1286,0,20,197,929,2,4,8040,0
3000,3009,934,3,0,93,1,436,7,978,9,1362,0,20,208,975,2,4,8619,0
3200,3209,990,3,0,93,0,446,6,993,8,1419,0,20,194,985,3,6,9218,0
3400,3409,1043,3,0,94,2,460,6,1049,8,1526,0,20,210,1071,3,6,9790,0
3600,3609,1102,3,0,93,3,456,6,1088,12,1612,0,20,205,1096,3,6,10383,0
3800,3809,1159,3,1,95,2,474,5,1139,14,1724,0,20,240,1152,4,8,10961,0
4000,4009,1219,3,0,99,1,498,5,1190,8,1823,0,20,239,1207,3,6,11542,0
4200,4209,1281,3,0,94,4,506,7,1218,11,1887,0,20,248,1226,2,4,12135,0
4400,4409,1344,3,0,96,2,486,6,1258,7,1986,0,20,244,1259,2,4,12711,0
4600,4609,1402,3,1,97,0,499,5,1288,11,2062,0.02,20,280,1315,2,4,13299,0
4800,4809,1457,3,0,94,3,516,4,1339,9,2159,0.0156,20,265,1340,1,2,13889,0
5000,5009,1522,3,1,95,1,518,9,1378,6,2205,0.0121,20,281,1353,1,2,14480,0
5200,5209,1582,3,0,100,5,540,7,1414,7,2326,0.0093,20,272,1440,1,2,15062,0
5400,5409,1629,3,0,100,1,531,4,1479,8,2449,0.0521,20,288,1494,2,4,15641,0
5600,5609,1690,3,0,98,1,528,9,1511,8,2503,0.0554,20,322,1488,3,6,16234,0
5800,5809,1755,3,0,100,1,516,5,1523,8,2570,0.0428,20,308,1500,4,8,16822,0
6000,6009,1815,3,0,99,1,550,2,1549,5,2634,0.0491,20,314,1503,4,8,17413,0
6200,6209,1883,3,0,100,1,553,5,1568,9,2717,0.0574,20,294,1556,3,6,18000,0
6400,6409,1946,3,0,98,1,548,4,1573,7,2799,0.0438,20,349,1592,3,6,18588,0
6600,6609,2004,3,1,99,0,542,2,1612,8,2905,0.0509,20,279,1644,2,4,19174,0
6800,6809,2065,3,0,103,2,564,2,1727,9,3012,0.064,20,349,1692,3,6,19733,0
7000,7009,2120,3,0,100,0,561,2,1721,7,3075,0.0483,20,333,1719,5,10,20328,0
7200,7209,2182,3,0,103,1,576,3,1722,10,3155,0.0358,20,359,1724,4,8,20917,0
7400,7409,2252,3,0,100,0,581,0,1774,5,3216,0.0708,20,335,1751,6,12,21508,0
7600,7609,2310,3,0,97,0,576,7,1769,11,3291,0.053,20,353,1806,8,16,22105,0
7800,7809,2370,5,0,100,4,595,6,1802,10,3369,0.0588,20,362,1743,8,16,22704,1
8000,8009,2435,7,1,99,2,586,10,1832,16,3429,0.0537,20,369,1804,8,16,23300,1
8200,8209,2507,9,0,100,2,580,6,1825,19,3474,0.0625,20,367,1825,9,18,23908,1
8400,8409,2568,11,1,102,4,581,12,1857,19,3592,0.046,20,390,1862,10,20,24507,1
8600,8609,2621,13,2,102,3,577,12,1921,20,3685,0.0329,20,435,1916,10,20,25112,1
8800,8809,2690,15,1,101,8,598,15,1964,20,3744,0.0318,20,378,1931,10,20,25718,1
9000,9009,2757,17,0,102,4,584,15,1949,20,3790,0.0289,20,412,1924,11,22,26326,1
9200,9209,2829,19,1,101,3,618,16,2028,20,3914,0.0256,20,406,2014,8,16,26918,1
9400,9409,2896,21,1,102,7,614,14,1961,20,3966,0.0242,20,401,2007,9,18,27526,1
9600,9609,2952,21,0,101,9,618,17,2033,20,4046,0.0114,20,403,2015,5,10,28121,0
9800,9809,3013,21,1,104,9,607,18,2002,20,4100,0.0212,20,456,2045,4,8,28719,0
10000,10009,3065,21,1,102,3,607,16,2034,20,4183,0.0191,20,391,2021,6,12,29321,0
10200,10209,3129,21,0,100,1,623,15,2036,20,4236,0.0207,20,398,2061,7,14,29925,0
10400,10409,3192,21,2,104,5,618,12,2059,20,4276,0.0293,20,387,2050,7,14,30519,0
10600,10609,3242,21,1,98,4,623,12,2040,20,4332,0.0185,20,424,2069,6,12,31124,0
10800,10809,3311,21,0,98,4,612,15,2126,20,4406,0.0209,20,415,2054,7,14,31725,0
11000,11009,3363,21,0,100,5,605,15,2097,20,4476,0.0118,20,436,2071,6,12,32322,0
11200,11209,3430,21,2,104,4,615,16,2057,20,4530,0.022,20,434,2112,5,10,32921,0
11400,11409,3494,21,0,101,6,599,15,2127,20,4584,0.0253,20,433,2109,3,6,33517,0
11600,11609,3548,21,3,98,7,637,14,2103,20,4677,0.0208,20,449,2145,1,2,34108,0
11800,11809,3610,21,0,100,8,626,12,2127,19,4738,0.0223,20,426,2203,2,4,34696,0
12000,12009,3673,21,0,99,3,612,15,2131,20,4849,0.0186,20,451,2180,3,6,35296,0
12200,12209,3729,21,0,102,4,637,14,2183,20,4903,0.0153,20,438,2192,6,12,35900,0
12400,12409,3798,21,1,101,3,617,13,2222,19,4937,0.0126,20,455,2190,5,10,36499,0
12600,12609,3844,21,1,99,2,624,18,2214,20,5032,0.0114,20,469,2190,6,12,37103,0
12800,12809,3899,21,1,104,7,617,12,2202,19,5106,0.0108,20,440,2268,5,10,37704,0
13000,13009,3952,21,0,101,9,630,10,2282,20,5138,0.0101,20,456,2199,6,12,38304,0
13200,13209,4008,21,1,99,5,631,17,2274,20,5218,0.0195,20,450,2219,6,12,38906,0
13400,13409,4063,21,0,97,5,626,9,2235,19,5263,0.0165,20,506,2283,7,14,39503,0
13600,13609,4119,21,0,102,3,627,16,2285,20,5388,0.0144,20,472,2295,9,18,40102,0
13800,13809,4183,21,1,102,1,619,12,2322,20,5423,0.0135,20,484,2278,7,14,40709,0
14000,14009,4237,21,0,100,3,625,17,2316,20,5537,0.0207,20,454,2302,8,16,41321,0
14200,14209,4300,21,1,101,2,640,11,2291,20,5572,0.0105,20,430,2288,8,16,41934,0
