degree,count
3,4410
4,1667
5,900
6,573
7,392
8,294
9,220
10,176
11,140
12,111
13,85
14,97
15,74
16,64
17,48
18,55
19,49
20,35
21,27
22,27
23,18
24,20
25,30
26,22
27,20
28,19
29,14
30,18
31,19
32,18
33,21
34,11
35,14
36,8
37,16
38,10
39,6
40,9
41,12
42,4
43,4
44,8
45,4
46,6
47,7
48,5
49,3
50,7
51,4
52,5
53,5
54,7
55,5
56,2
57,5
58,4
59,6
60,2
61,2
62,5
63,3
64,4
65,5
66,1
67,3
68,5
69,7
70,1
71,1
72,5
73,1
75,3
76,2
77,1
78,3
79,4
80,3
81,1
82,2
83,3
84,5
85,1
86,3
87,1
88,1
89,1
90,2
91,1
92,2
93,1
94,1
95,4
96,1
97,4
98,1
100,1
102,1
103,1
104,2
105,2
106,1
108,1
109,1
112,1
114,1
117,2
121,2
125,2
126,2
128,1
129,1
134,1
138,1
139,3
140,1
142,3
144,1
146,1
147,2
148,1
150,3
153,1
170,1
172,1
174,2
182,1
185,1
189,1
194,1
195,1
196,1
197,1
200,1
202,1
216,1
217,2
229,1
236,1
241,1
242,1
250,1
266,1
272,1
283,2
307,1
321,1
341,1
346,1
390,1
394,1
414,1
428,1
475,1
514,1
