step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,48,-1,0,57,0,106,0,124,0,128,0,11,16,123,12,300,518,0,0,0,0,0
400,409,104,-1,0,75,0,186,0,227,0,237,0,13,39,229,45,683,1098,0,0,0,0,0
600,609,162,-1,0,93,0,255,0,330,0,345,0,19,67,334,78,1168,1805,0,0,0,0,0
800,809,237,-1,0,91,0,304,0,422,0,450,0,20,80,424,75,1150,2351,0,0,0,0,0
1000,1009,305,-1,0,95,0,358,0,517,0,551,0,20,99,520,114,1260,2811,0,0,0,0,0
1200,1209,357,-1,0,100,0,414,0,631,0,661,0,20,104,634,158,1674,3674,0,0,0,0,0
1400,1409,420,-1,0,100,0,445,0,732,0,785,0,20,137,726,180,1480,4015,0,0,0,0,0
1600,1609,490,-1,0,103,0,498,0,839,0,909,0,20,171,843,253,2124,4945,0,0,0,0,0
1800,1809,563,-1,0,104,0,545,0,946,0,1024,0,20,180,957,259,2061,5591,0,0,0,0,0
2000,2009,624,-1,0,102,0,556,0,1041,0,1135,0,20,188,1037,265,1819,5906,0,0,0,0,0
2200,2209,683,-1,0,106,0,581,0,1159,0,1271,0,20,245,1154,331,2277,6717,0,0,0,0,0
2400,2409,761,-1,0,105,0,604,0,1228,0,1363,0,20,213,1231,361,2176,7129,0,0,0,0,0
2600,2609,810,-1,0,106,0,625,0,1345,0,1508,0,20,288,1343,408,2467,7950,0,0,0,0,0
2800,2809,860,-1,0,110,0,657,0,1456,0,1631,0,20,304,1455,477,3082,9207,0,0,0,0,0
3000,3009,919,3,2,110,3,687,9,1568,13,1772,0,20,335,1566,476,2462,9362,0,0,0,0,0
3200,3209,974,3,0,109,6,700,7,1662,12,1897,0,20,323,1661,541,2714,10195,0,0,0,0,0
3400,3409,1032,25,1,108,13,682,20,1731,20,1998,0,20,337,1736,489,2439,10685,0,0,0,0,0
3600,3609,1094,27,4,108,14,713,20,1838,20,2129,0,20,376,1831,552,2564,11024,0,0,0,0,0
3800,3809,1167,33,1,110,14,699,20,1904,20,2249,0,20,337,1918,623,2913,11740,0,0,0,0,0
4000,4009,1226,25,1,107,11,709,19,1969,20,2353,0,20,386,1985,564,2487,12025,0,0,0,0,0
4200,4209,1278,31,1,110,15,742,20,2111,20,2512,0,20,446,2115,759,3533,13277,0,0,0,0,0
4400,4409,1340,27,1,110,11,752,20,2195,20,2654,0,20,394,2186,679,2866,13480,0,0,0,0,0
4600,4609,1399,27,6,110,13,749,19,2299,20,2777,0,20,466,2271,768,3194,14279,0,0,0,0,0
4800,4809,1468,31,3,111,12,729,20,2364,20,2902,0,20,477,2343,764,2755,14398,0,0,0,0,0
5000,5009,1535,33,0,112,10,783,20,2415,20,3022,0,20,514,2468,905,3965,15893,0,0,0,0,0
5200,5209,1596,29,0,109,11,792,20,2501,20,3139,0,20,534,2510,835,3364,16137,0,0,0,0,0
5400,5409,1659,34,2,112,11,782,20,2589,20,3279,0,20,577,2594,923,3572,16801,0,0,0,0,0
5600,5609,1728,34,2,111,11,802,20,2686,20,3415,0,20,563,2681,947,3816,17543,0,0,0,0,0
5800,5809,1792,34,2,111,8,811,20,2728,20,3525,0,20,537,2775,962,3529,17826,0,0,0,0,0
6000,6009,1855,36,2,109,12,800,20,2781,20,3649,0,20,483,2789,956,2874,17655,0,0,0,0,0
6200,6209,1912,42,4,113,17,810,20,2858,20,3782,0,20,523,2876,1007,3289,18289,0,0,0,0,0
6400,6409,1970,41,2,109,15,812,20,2977,20,3920,0,20,617,2931,1024,3355,18622,0,0,0,0,0
6600,6609,2029,38,3,111,14,836,20,3046,20,4055,0,20,555,3032,1164,3591,19233,0,0,0,0,0
6800,6809,2086,43,1,111,11,826,20,3054,20,4160,0,20,614,3046,1041,3361,19817,0,0,0,0,0
7000,7009,2140,42,3,112,11,848,20,3098,20,4308,0,20,584,3170,1155,3812,20421,0,0,0,0,0
7200,7209,2202,43,1,113,13,823,20,3231,20,4420,0,20,527,3205,1245,4169,21346,0,0,0,0,0
7400,7409,2264,43,3,112,13,822,20,3242,20,4548,0,20,625,3229,1166,3387,21286,0,0,0,0,0
7600,7609,2323,43,2,112,11,847,20,3327,20,4681,0,20,620,3313,1385,4335,22346,0,0,0,0,0
7800,7809,2385,45,2,108,14,839,20,3306,20,4793,0,20,566,3353,1252,3768,22782,0,0,0,0,0
8000,8009,2445,44,3,112,11,844,20,3475,20,4953,0,20,589,3408,1483,4798,24006,0,0,0,0,0
8200,8209,2515,40,2,111,10,848,20,3486,20,5070,0,20,795,3511,1389,4128,24257,0,0,0,0,0
8400,8409,2582,43,2,115,8,859,20,3579,20,5192,0,20,701,3564,1485,4779,25338,0,0,0,0,0
8600,8609,2636,44,1,113,10,857,20,3629,20,5323,0,20,733,3654,1365,4065,25379,0,0,0,0,0
8800,8809,2705,45,1,112,11,872,20,3680,20,5450,0,20,758,3686,1593,4818,26272,0,0,0,0,0
9000,9009,2774,46,2,111,5,858,20,3695,20,5574,0,20,652,3701,1405,3743,26029,0,0,0,0,0
9200,9209,2832,42,1,111,12,842,20,3788,20,5692,0,20,904,3752,1530,4154,26652,0,0,0,0,0
9400,9409,2915,45,1,109,10,861,20,3789,20,5810,0,20,677,3748,1548,4653,27251,0,0,0,0,0
9600,9609,2979,44,0,111,11,859,20,3885,20,5933,0,20,715,3916,1679,4974,28052,0,0,0,0,0
9800,9809,3036,47,2,112,11,868,20,3851,20,6057,0,20,858,3935,1563,3928,27975,0,0,0,0,0
10000,10009,3109,45,0,112,11,871,20,3966,20,6180,0,20,716,3966,1742,5124,29258,0,0,0,0,0
10200,10209,3161,47,2,112,11,882,20,4044,20,6316,0,20,759,4006,1715,5156,30017,0,0,0,0,0
10400,10409,3225,47,1,113,9,886,20,4039,20,6411,0,20,856,4031,1740,5133,30465,0,0,0,0,0
10600,10609,3280,49,5,112,9,869,20,4096,20,6574,0,20,673,4055,1781,4542,30452,0,0,0,0,0
10800,10809,3338,48,2,111,10,865,20,4034,20,6696,0,20,788,4161,2032,5610,31968,0,0,0,0,0
11000,11009,3392,49,1,116,7,890,20,4173,20,6823,0,20,793,4148,1878,5149,32409,0,0,0,0,0
11200,11209,3451,48,1,116,9,879,20,4215,20,6984,0,20,844,4266,2024,5621,33402,0,0,0,0,0
11400,11409,3517,47,1,109,10,863,20,4281,20,7116,0,20,787,4244,1879,4622,33156,0,0,0,0,0
