step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,66,-1,0,55,0,93,0,101,0,105,0,16,29,103,13,311,510,0,0,0,0,0
400,409,117,-1,0,76,0,174,0,212,0,217,0,15,40,211,52,875,1236,0,0,0,0,0
600,609,178,-1,0,86,0,244,0,310,0,324,0,17,72,315,56,960,1764,0,0,0,0,0
800,809,245,-1,0,93,0,310,0,414,0,431,0,20,98,414,98,1443,2507,0,0,0,0,0
1000,1009,308,-1,0,98,0,353,0,509,0,536,0,20,84,512,114,1267,2963,0,0,0,0,0
1200,1209,360,-1,0,99,0,407,0,627,0,664,0,18,107,623,170,1902,3826,0,0,0,0,0
1400,1409,428,-1,0,100,0,449,0,731,0,777,0,20,149,727,169,1525,4167,0,0,0,0,0
1600,1609,479,-1,0,99,0,492,0,844,0,916,0,20,169,844,227,1707,4695,0,0,0,0,0
1800,1809,540,-1,0,107,0,542,0,956,0,1026,0,20,185,957,279,2342,5782,0,0,0,0,0
2000,2009,591,-1,0,104,0,555,0,1058,0,1145,0,20,197,1053,279,1989,6204,0,0,0,0,0
2200,2209,648,-1,0,104,0,572,0,1170,0,1285,0,20,256,1175,360,2178,6831,0,0,0,0,0
2400,2409,717,-1,0,105,0,593,0,1256,0,1394,0,20,242,1255,369,2388,7669,0,0,0,0,0
2600,2609,775,-1,0,106,0,641,0,1357,0,1531,0,20,264,1368,383,2345,8189,0,0,0,0,0
2800,2809,838,-1,0,108,0,651,0,1469,0,1655,0,20,306,1478,530,3129,9439,0,0,0,0,0
3000,3009,898,3,0,107,3,663,8,1575,14,1784,0,20,339,1575,440,2289,9538,0,0,0,0,0
3200,3209,969,20,4,111,10,687,19,1649,20,1886,0,20,334,1652,515,2749,10412,0,0,0,0,0
3400,3409,1027,27,2,107,15,694,19,1748,20,2017,0,20,321,1746,474,2204,10414,0,0,0,0,0
3600,3609,1084,24,1,108,11,707,20,1833,20,2144,0,20,408,1841,614,2852,11373,0,0,0,0,0
3800,3809,1137,28,2,109,15,729,20,1927,20,2266,0,20,321,1937,626,2852,12010,0,0,0,0,0
4000,4009,1198,32,1,109,16,743,20,2033,20,2418,0,20,355,2011,623,2512,12286,0,0,0,0,0
4200,4209,1256,40,4,107,16,745,20,2106,20,2534,0,20,444,2107,652,2666,12884,0,0,0,0,0
4400,4409,1315,38,0,111,18,760,20,2182,20,2679,0,20,399,2205,714,2815,13395,0,0,0,0,0
4600,4609,1372,35,2,110,16,740,20,2281,20,2802,0,20,407,2281,772,3292,14324,0,0,0,0,0
4800,4809,1435,38,2,112,10,774,20,2365,20,2941,0,20,493,2388,815,3229,14978,0,0,0,0,0
5000,5009,1494,39,2,110,13,779,20,2428,20,3077,0,20,509,2452,789,2757,15244,0,0,0,0,0
5200,5209,1539,39,3,109,10,807,20,2563,20,3210,0,20,558,2551,902,3469,16283,0,0,0,0,0
5400,5409,1584,39,3,109,9,794,20,2626,20,3356,0,20,583,2617,919,3309,16977,0,0,0,0,0
5600,5609,1641,38,2,111,16,798,20,2727,20,3477,0,20,595,2697,964,3400,17597,0,0,0,0,0
5800,5809,1692,38,2,113,10,808,20,2800,20,3618,0,20,559,2783,974,3498,18342,0,0,0,0,0
6000,6009,1760,38,2,112,13,829,20,2870,20,3748,0,20,453,2834,1025,3457,18761,0,0,0,0,0
6200,6209,1816,35,2,109,13,819,20,2921,20,3865,0,20,576,2926,1014,3277,19265,0,0,0,0,0
6400,6409,1865,39,1,112,12,814,20,2981,20,4007,0,20,614,2973,1074,3278,19713,0,0,0,0,0
6600,6609,1937,38,0,113,14,841,20,3043,20,4116,0,20,631,3087,1158,3682,20549,0,0,0,0,0
6800,6809,2000,40,4,109,11,817,20,3080,20,4237,0,20,575,3076,1093,3042,20425,0,0,0,0,0
7000,7009,2062,39,1,109,7,816,20,3145,20,4371,0,20,631,3136,1114,3058,20724,0,0,0,0,0
7200,7209,2131,43,4,109,15,812,19,3241,20,4502,0,20,564,3212,1170,3462,21447,0,0,0,0,0
7400,7409,2181,40,1,109,8,828,20,3274,20,4623,0,20,627,3285,1211,3555,22071,0,0,0,0,0
7600,7609,2246,43,1,113,12,843,19,3401,20,4770,0,20,632,3352,1314,4157,23178,0,0,0,0,0
7800,7809,2300,43,1,111,12,823,20,3356,20,4889,0,20,639,3392,1232,3312,23063,0,0,0,0,0
8000,8009,2350,43,4,112,15,844,20,3502,20,5032,0,20,626,3489,1473,4398,24401,0,0,0,0,0
8200,8209,2419,41,1,110,10,865,20,3537,20,5157,0,20,791,3542,1354,3720,24533,0,0,0,0,0
8400,8409,2481,42,4,114,11,847,20,3619,20,5290,0,20,702,3608,1457,4193,25486,0,0,0,0,0
8600,8609,2528,39,0,113,11,858,20,3639,20,5420,0,20,706,3660,1489,4206,26175,0,0,0,0,0
8800,8809,2590,43,1,110,11,886,20,3739,20,5569,0,20,769,3722,1482,4328,26798,0,0,0,0,0
9000,9009,2651,43,5,113,9,845,20,3771,20,5696,0,20,649,3780,1524,3776,26907,0,0,0,0,0
9200,9209,2711,41,1,109,7,863,20,3770,20,5796,0,20,925,3817,1575,3994,27565,0,0,0,0,0
9400,9409,2772,42,3,109,8,862,20,3845,20,5928,0,20,778,3867,1525,3868,27751,0,0,0,0,0
9600,9609,2836,42,0,113,13,879,19,3884,20,6068,0,20,708,3959,1671,4486,28817,0,0,0,0,0
9800,9809,2903,44,0,110,11,869,20,3945,20,6196,0,20,837,3929,1608,4171,29183,0,0,0,0,0
10000,10009,2955,44,2,111,14,865,20,4030,20,6318,0,20,756,3958,1707,4527,30087,0,0,0,0,0
10200,10209,3010,44,0,112,12,870,20,4024,20,6446,0,20,763,4037,1641,4082,30263,0,0,0,0,0
10400,10409,3076,44,5,111,10,866,20,4126,20,6570,0,20,901,4028,1731,4455,31072,0,0,0,0,0
10600,10609,3135,44,0,113,11,879,20,4164,20,6698,0,20,755,4137,1793,4714,31823,0,0,0,0,0
10800,10809,3183,46,0,112,13,877,20,4164,20,6838,0,20,762,4196,1858,4707,32492,0,0,0,0,0
11000,11009,3237,45,0,113,3,883,19,4256,20,6988,0,20,789,4248,1947,5092,33463,0,0,0,0,0
11200,11209,3294,44,1,112,9,871,20,4309,20,7132,0,20,859,4321,1937,4464,33773,0,0,0,0,0
11400,11409,3359,46,2,112,9,881,20,4332,20,7249,0,20,752,4285,1933,4225,34115,0,0,0,0,0
11600,11609,3425,43,2,108,10,889,20,4387,20,7381,0,20,791,4392,1900,4913,35046,0,0,0,0,0
11800,11809,3492,45,2,113,12,882,20,4331,20,7488,0,20,743,4404,1871,4072,34852,0,0,0,0,0
12000,12009,3548,46,2,114,7,887,20,4448,20,7605,0,20,897,4381,1959,4770,35820,0,0,0,0,0
12200,12209,3610,44,1,113,10,911,20,4410,20,7735,0,20,814,4479,1932,4588,36189,0,0,0,0,0
12400,12409,3675,43,2,112,8,882,19,4471,20,7857,0,20,884,4386,2035,4701,36734,0,0,0,0,0
12600,12609,3739,44,1,114,9,873,19,4553,20,8009,0,20,895,4599,2077,4776,37197,0,0,0,0,0
12800,12809,3798,44,0,115,8,891,20,4551,20,8129,0,20,959,4602,2128,4724,37513,0,0,0,0,0
13000,13009,3852,46,0,111,6,885,19,4693,20,8280,0,20,865,4645,2184,4927,38368,0,0,0,0,0
13200,13209,3897,47,0,112,11,878,20,4597,20,8393,0,20,893,4639,2106,4413,38634,0,0,0,0,0
13400,13409,3957,44,2,112,8,893,20,4622,20,8511,0,20,913,4705,2154,4630,39110,0,0,0,0,0
13600,13609,4008,43,2,112,7,892,20,4630,20,8666,0,20,886,4704,2171,4785,39564,0,0,0,0,0
13800,13809,4060,44,2,116,4,907,20,4744,20,8775,0,20,1152,4746,2297,5015,40452,0,0,0,0,0
14000,14009,4118,42,2,113,6,890,19,4800,20,8899,0,20,988,4774,2196,4955,40878,0,0,0,0,0
