degree,count
3,4327
4,1647
5,890
6,553
7,422
8,292
9,257
10,193
11,170
12,118
13,96
14,84
15,88
16,69
17,55
18,57
19,42
20,43
21,24
22,34
23,27
24,26
25,21
26,25
27,10
28,20
29,19
30,11
31,20
32,19
33,17
34,9
35,19
36,12
37,12
38,10
39,10
40,18
41,8
42,9
43,6
44,6
45,7
46,9
47,6
48,7
49,2
50,4
51,1
52,3
53,3
54,4
55,1
56,4
57,5
58,1
59,6
60,3
61,4
62,4
63,3
64,2
65,2
67,3
68,4
69,2
70,3
71,2
72,2
73,1
74,1
75,3
76,1
78,1
79,2
80,7
82,3
83,2
84,3
85,1
86,1
87,3
90,2
91,2
92,2
93,1
94,2
95,2
96,5
97,3
98,2
99,1
104,1
106,1
110,2
111,3
112,1
113,1
114,1
115,1
116,1
117,1
119,1
120,3
121,1
124,1
125,1
136,1
137,1
138,1
139,2
141,1
142,1
144,1
145,1
147,1
148,1
155,2
156,1
157,1
158,1
164,1
174,2
184,1
185,1
187,2
195,1
196,1
210,1
211,1
222,1
228,1
232,1
237,1
238,1
239,1
257,1
272,1
278,1
283,1
284,1
320,1
333,1
335,1
359,1
373,1
375,1
388,1
481,1
555,1
