step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,60,-1,0,57,0,103,0,115,0,114,0,12,20,113,0,0,560,0,0,0,0,0
400,409,122,-1,0,68,0,154,0,194,0,205,0,18,41,196,0,0,1128,0,0,0,0,0
600,609,178,-1,0,77,0,208,0,280,0,310,0,20,75,286,0,0,1708,0,0,0,0,0
800,809,231,-1,0,76,0,246,0,362,0,412,0,20,57,368,0,0,2281,0,0,0,0,0
1000,1009,292,-1,0,79,0,261,0,429,0,501,0,18,81,426,0,0,2867,0,0,0,0,0
1200,1209,347,-1,0,85,0,305,0,515,0,602,0,20,77,514,0,0,3435,0,0,0,0,0
1400,1409,398,-1,0,87,0,318,0,578,0,702,0,20,107,579,0,0,4013,0,0,0,0,0
1600,1609,459,-1,0,88,0,330,0,610,0,759,0,20,100,616,0,0,4595,0,0,0,0,0
1800,1809,523,-1,0,88,0,369,0,697,0,878,0,20,142,684,1,2,5169,0,1,0,0,0
2000,2009,591,-1,0,91,0,374,0,729,0,957,0,20,131,732,1,2,5749,0,0,0,0,0
2200,2209,655,-1,0,91,0,382,0,764,0,1033,0,20,170,770,1,2,6326,0,0,0,0,0
2400,2409,721,-1,0,90,0,396,0,822,0,1125,0,20,171,832,5,10,6916,0,4,0,0,0
2600,2609,779,-1,0,93,0,403,0,872,0,1200,0,20,192,875,1,2,7502,0,0,0,0,0
2800,2809,860,-1,0,92,0,407,0,887,0,1262,0,20,163,887,2,4,8084,0,1,0,0,0
3000,3009,917,3,0,93,2,424,10,938,10,1349,0,20,215,952,4,8,8671,0,2,0,0,0
3200,3209,969,3,0,94,1,453,8,1008,13,1445,0.01,20,211,1000,6,12,9260,0,2,0,0,0
3400,3409,1028,3,0,90,3,446,4,1047,7,1546,0.0078,20,235,1048,5,10,9865,0,0,0,0,0
3600,3609,1079,3,0,96,0,459,7,1085,14,1632,0.006,20,211,1098,5,10,10460,0,1,0,0,0
3800,3809,1146,3,1,97,1,469,10,1137,9,1726,0.0046,20,217,1107,5,10,11045,0,0,0,0,0
4000,4009,1206,3,2,98,2,476,6,1164,12,1814,0.0035,20,242,1187,6,12,11634,0,2,0,0,0
4200,4209,1267,3,0,95,2,481,5,1229,11,1892,0.0026,20,277,1217,5,10,12231,0,0,0,0,0
4400,4409,1320,3,0,94,2,485,5,1235,9,1949,0.0619,20,248,1233,2,4,12827,0,0,0,0,0
4600,4609,1379,5,0,96,1,491,7,1314,13,2058,0.0602,20,244,1279,3,6,13406,1,1,0,0,1
4800,4809,1426,7,0,97,2,512,8,1356,16,2137,0.0475,20,300,1315,4,8,14000,1,1,0,0,1
5000,5009,1481,9,0,98,1,504,12,1362,14,2214,0.0865,20,254,1377,4,8,14586,1,0,0,0,1
5200,5209,1536,11,1,98,4,518,11,1399,15,2302,0.0867,20,271,1377,5,10,15189,1,1,0,0,1
5400,5409,1600,13,2,96,3,531,10,1448,17,2386,0.086,20,310,1446,4,8,15781,1,1,0,0,1
5600,5609,1658,15,0,97,5,547,13,1505,20,2523,0.0904,20,279,1500,5,10,16327,1,2,0,0,1
5800,5809,1716,17,0,98,2,537,17,1559,20,2611,0.0915,20,301,1532,4,8,16925,1,0,0,0,1
6000,6009,1775,19,0,99,8,552,15,1552,19,2688,0.0898,20,326,1588,3,6,17519,1,0,0,0,1
6200,6209,1835,21,0,97,9,548,14,1562,20,2737,0.0837,20,306,1578,3,6,18116,1,0,0,0,1
6400,6409,1897,23,0,98,5,539,17,1614,20,2815,0.0912,20,315,1568,2,4,18705,1,1,0,0,1
6600,6609,1953,25,2,98,7,566,16,1620,20,2916,0.1185,20,369,1664,2,4,19289,1,0,0,0,1
6800,6809,2016,28,4,100,13,541,18,1683,20,2970,0.1333,20,365,1669,2,4,19876,1,0,0,0,1
7000,7009,2069,30,1,98,5,554,15,1671,20,3072,0.1682,20,315,1681,2,4,20466,1,0,0,0,1
7200,7209,2119,32,0,99,8,566,18,1720,20,3138,0.1709,20,331,1720,2,4,21057,1,0,0,0,1
7400,7409,2183,35,4,98,9,579,17,1741,20,3235,0.1852,20,332,1727,3,6,21652,1,1,0,0,1
7600,7609,2249,38,3,99,7,582,19,1756,20,3287,0.1866,20,339,1739,3,6,22240,1,0,0,0,1
7800,7809,2318,40,1,98,8,575,20,1774,20,3343,0.1856,20,351,1762,2,4,22827,1,0,0,0,1
8000,8009,2381,42,1,100,12,586,18,1752,20,3411,0.1747,20,350,1768,3,6,23425,1,1,0,0,1
8200,8209,2443,44,1,100,5,580,19,1817,20,3502,0.1583,20,365,1813,4,8,24011,1,1,0,0,1
8400,8409,2508,46,2,98,10,583,18,1843,20,3586,0.1724,20,368,1838,5,10,24608,1,2,0,0,1
8600,8609,2557,49,2,101,11,573,19,1859,20,3667,0.1891,20,378,1840,6,12,25209,1,1,0,0,1
8800,8809,2622,52,2,101,12,594,19,1811,20,3702,0.1805,20,393,1859,6,12,25812,1,0,0,0,1
9000,9009,2682,-1,0,96,0,586,0,1870,0,3755,0,20,411,1856,5,10,26413,0,0,0,0,0
9200,9209,2737,3,1,101,0,596,4,1954,9,3933,0,20,427,1968,3,6,26961,0,0,0,0,0
9400,9409,2806,3,0,101,0,608,3,2023,11,4029,0.009,20,404,1981,2,4,27541,0,0,0,0,0
9600,9609,2856,3,1,100,1,618,5,2010,8,4124,0.001,20,363,1997,2,4,28123,0,0,0,0,0
9800,9809,2907,3,0,102,0,615,5,2028,11,4185,0.0162,20,466,2080,2,4,28712,0,2,0,0,0
10000,10009,2976,3,0,100,1,617,5,2019,9,4256,0,20,389,2050,0,0,29300,0,0,0,0,0
10200,10209,3030,3,0,98,0,611,6,2098,10,4335,0,20,447,2091,0,0,29876,0,0,0,0,0
10400,10409,3094,3,0,100,0,609,1,2131,9,4433,0,20,433,2143,0,0,30460,0,0,0,0,0
10600,10609,3164,3,0,99,1,628,4,2117,8,4473,0,20,444,2105,0,0,31033,0,0,0,0,0
10800,10809,3226,3,0,102,1,599,5,2127,11,4545,0,20,424,2140,0,0,31621,0,0,0,0,0
11000,11009,3287,3,0,99,0,622,2,2146,10,4634,0,20,460,2130,1,2,32199,0,1,0,0,0
11200,11209,3353,3,0,99,1,635,3,2223,9,4731,0,20,423,2222,1,2,32756,0,0,0,0,0
11400,11409,3419,3,1,104,0,630,3,2245,10,4827,0,20,435,2193,1,2,33344,0,0,0,0,0
11600,11609,3480,3,1,101,0,647,3,2257,5,4908,0,20,431,2228,2,4,33929,0,1,0,0,0
11800,11809,3543,3,0,104,1,626,2,2257,5,4983,0,20,462,2258,3,6,34507,0,1,0,0,0
12000,12009,3608,3,0,102,2,657,0,2277,9,5098,0,20,475,2305,6,12,35088,0,3,0,0,0
12200,12209,3657,3,0,100,1,642,3,2333,10,5217,0,20,432,2327,5,10,35670,0,0,0,0,0
12400,12409,3718,3,0,99,0,645,1,2324,7,5295,0,20,462,2346,5,10,36255,0,0,0,0,0
12600,12609,3782,3,0,103,0,647,1,2346,6,5373,0,20,479,2350,5,10,36848,0,0,0,0,0
12800,12809,3842,3,0,101,1,656,4,2363,8,5396,0,20,456,2342,3,6,37445,0,0,0,0,0
13000,13009,3909,3,0,106,1,651,4,2384,7,5471,0,20,467,2386,3,6,38033,0,1,0,0,0
13200,13209,3960,3,0,101,1,641,4,2397,10,5498,0,20,467,2404,4,8,38629,0,1,0,0,0
13400,13409,4017,3,0,103,1,637,2,2425,7,5580,0.0462,20,501,2394,5,10,39226,0,1,0,0,0
13600,13609,4066,3,0,102,1,630,2,2380,9,5632,0.0932,20,538,2435,5,10,39826,0,1,0,0,0
13800,13809,4128,3,0,98,2,631,4,2340,12,5671,0.0757,20,545,2453,5,10,40424,0,0,0,0,0
14000,14009,4178,3,1,105,0,666,1,2491,9,5827,0.0617,20,523,2475,6,12,40997,0,2,0,0,0
14200,14209,4240,3,1,107,0,653,4,2482,7,5900,0.0145,20,492,2460,6,12,41596,0,0,0,0,0
