degree,count
3,4444
4,1611
5,914
6,593
7,346
8,303
9,232
10,174
11,157
12,116
13,96
14,74
15,81
16,78
17,72
18,43
19,45
20,41
21,29
22,25
23,23
24,30
25,23
26,22
27,20
28,20
29,20
30,13
31,12
32,19
33,12
34,12
35,13
36,9
37,8
38,7
39,11
40,13
41,8
42,3
43,7
44,6
45,6
46,3
47,7
48,2
49,6
50,2
51,4
52,4
53,3
54,2
55,5
56,8
57,5
58,4
59,2
60,3
61,5
62,7
63,5
64,3
65,5
66,3
67,2
68,1
69,4
70,1
71,3
72,1
73,3
74,1
75,2
76,2
77,1
78,2
79,1
80,3
81,2
82,1
83,4
84,2
85,2
86,2
88,2
89,2
90,2
91,1
92,1
93,1
94,2
95,1
96,1
97,1
98,1
100,1
101,2
102,1
103,1
104,2
105,1
106,1
109,2
110,2
112,1
115,1
117,3
119,1
120,1
121,1
124,2
127,2
128,1
130,1
132,1
134,2
135,1
137,1
138,1
141,2
142,2
145,1
147,1
148,1
150,1
151,1
152,1
154,1
155,1
156,3
159,1
165,1
171,2
172,1
180,1
188,1
192,1
195,2
204,1
209,1
243,1
244,1
276,1
281,1
283,1
284,1
290,1
297,1
300,1
310,1
321,1
328,1
345,1
358,1
398,1
420,1
425,1
