step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,65,-1,0,56,0,100,0,114,0,116,0,16,25,115,0,0,562,0,0,0,0,0
400,409,132,-1,0,71,0,170,0,206,0,218,0,18,54,210,0,0,1115,0,0,0,0,0
600,609,193,-1,0,77,0,218,0,287,0,308,0,19,52,286,0,0,1684,0,0,0,0,0
800,809,261,-1,0,81,0,246,0,350,0,388,0,18,47,350,0,0,2258,0,0,0,0,0
1000,1009,318,-1,0,81,0,259,0,404,0,451,0,19,60,403,0,0,2840,0,0,0,0,0
1200,1209,381,-1,0,84,0,288,0,475,0,561,0,20,74,475,0,0,3410,0,0,0,0,0
1400,1409,434,-1,0,86,0,297,0,534,0,657,0,20,115,533,0,0,3997,0,0,0,0,0
1600,1609,490,-1,0,88,0,337,0,603,0,739,0,20,118,612,0,0,4569,0,0,0,0,0
1800,1809,540,-1,0,90,0,356,0,675,0,844,0,20,135,661,0,0,5137,0,0,0,0,0
2000,2009,611,-1,0,91,0,374,0,716,0,923,0,20,136,728,0,0,5707,0,0,0,0,0
2200,2209,669,-1,0,93,0,394,0,802,0,1031,0,20,166,806,0,0,6275,0,0,0,0,0
2400,2409,735,-1,0,93,0,405,0,843,0,1123,0,20,155,827,0,0,6841,0,0,0,0,0
2600,2609,788,-1,0,96,0,418,0,881,0,1196,0,20,183,883,0,0,7427,0,0,0,0,0
2800,2809,850,-1,0,91,0,420,0,923,0,1284,0,20,203,939,0,0,7996,0,0,0,0,0
3000,3009,917,3,0,94,3,434,10,951,12,1338,0,20,183,958,0,0,8586,0,0,0,0,0
3200,3209,981,3,0,93,4,437,6,1014,13,1455,0,20,185,1013,0,0,9156,0,0,0,0,0
3400,3409,1029,3,0,95,4,444,4,1038,15,1538,0,20,218,1028,0,0,9741,0,0,0,0,0
3600,3609,1081,3,0,93,2,462,6,1071,14,1609,0,20,217,1064,0,0,10329,0,0,0,0,0
3800,3809,1132,3,0,92,1,455,5,1094,12,1662,0.0138,20,221,1097,0,0,10922,0,0,0,0,0
4000,4009,1194,3,0,94,1,470,5,1177,12,1795,0.0108,20,216,1152,0,0,11499,0,0,0,0,0
4200,4209,1268,3,0,97,2,469,4,1201,14,1857,0.0264,20,246,1167,0,0,12089,0,0,0,0,0
4400,4409,1341,3,1,95,3,482,1,1233,10,1932,0.0805,20,242,1225,0,0,12669,0,0,0,0,0
4600,4609,1402,3,0,95,0,478,3,1235,9,2025,0.0626,20,257,1249,0,0,13263,0,0,0,0,0
4800,4809,1452,3,0,96,2,485,4,1284,9,2083,0.1383,20,248,1255,0,0,13855,0,0,0,0,0
5000,5009,1502,3,0,97,0,484,0,1284,10,2143,0.1398,20,271,1272,0,0,14444,0,0,0,0,0
5200,5209,1567,3,1,101,1,503,5,1315,6,2213,0.1077,20,271,1317,0,0,15032,0,0,0,0,0
5400,5409,1626,3,0,97,1,500,3,1328,9,2275,0.1121,20,293,1346,0,0,15628,0,0,0,0,0
5600,5609,1688,3,0,93,0,491,4,1351,6,2313,0.0851,20,268,1334,0,0,16221,0,0,0,0,0
5800,5809,1737,3,0,96,1,517,5,1392,10,2423,0.0894,20,278,1386,0,0,16794,0,0,0,0,0
6000,6009,1803,3,0,100,1,516,4,1429,6,2520,0.1266,20,274,1418,0,0,17373,0,0,0,0,0
6200,6209,1863,3,1,97,1,536,4,1477,8,2603,0.1253,20,271,1470,0,0,17953,0,0,0,0,0
6400,6409,1921,3,0,99,1,529,5,1465,8,2693,0.1297,20,310,1493,0,0,18543,0,0,0,0,0
6600,6609,1991,3,0,98,1,538,1,1517,9,2778,0.1267,20,326,1526,0,0,19117,0,0,0,0,0
6800,6809,2058,3,0,97,1,525,5,1566,5,2841,0.0939,20,317,1525,0,0,19709,0,0,0,0,0
7000,7009,2121,3,1,99,0,512,2,1572,6,2934,0.1397,20,314,1558,0,0,20296,0,0,0,0,0
7200,7209,2183,3,1,99,0,551,2,1573,10,2978,0.1481,20,351,1565,0,0,20885,0,0,0,0,0
7400,7409,2241,3,0,97,1,542,2,1617,6,3045,0.1991,20,319,1586,0,0,21474,0,0,0,0,0
7600,7609,2318,5,0,98,2,545,4,1617,11,3100,0.2383,20,352,1625,1,2,22062,1,1,0,0,1
7800,7809,2372,7,0,98,0,561,8,1621,15,3195,0.214,20,319,1659,1,2,22655,1,0,0,0,1
8000,8009,2430,9,0,99,2,573,11,1689,17,3328,0.2589,20,378,1673,2,4,23233,1,1,0,0,1
8200,8209,2493,11,0,99,4,574,8,1683,19,3366,0.2616,20,362,1705,2,4,23822,1,0,0,0,1
8400,8409,2560,13,2,97,4,540,9,1750,19,3436,0.237,20,324,1723,2,4,24415,1,0,0,0,1
8600,8609,2624,15,0,101,5,555,12,1753,19,3541,0.1869,20,364,1787,2,4,24986,1,0,0,0,1
8800,8809,2673,17,1,98,1,568,16,1760,20,3649,0.179,20,392,1762,2,4,25580,1,0,0,0,1
9000,9009,2732,19,0,101,6,562,10,1773,17,3687,0.1576,20,358,1773,2,4,26173,1,0,0,0,1
9200,9209,2792,21,1,100,8,596,15,1865,19,3797,0.1213,20,380,1838,2,4,26758,1,0,0,0,1
9400,9409,2850,23,1,99,5,576,12,1835,19,3874,0.1168,20,399,1855,2,4,27349,1,0,0,0,1
9600,9609,2909,26,1,101,5,568,13,1890,20,3909,0.1372,20,338,1840,1,2,27936,1,0,0,0,1
9800,9809,2967,29,1,100,5,580,16,1885,20,4031,0.135,20,384,1905,1,2,28516,1,0,0,0,1
10000,10009,3036,31,0,99,9,602,17,1916,20,4129,0.1429,20,374,1900,1,2,29115,1,0,0,0,1
10200,10209,3093,33,1,99,8,591,18,1935,20,4166,0.1494,20,373,1929,1,2,29707,1,0,0,0,1
10400,10409,3151,35,1,98,10,591,16,1893,20,4248,0.1295,20,384,1887,1,2,30301,1,0,0,0,1
10600,10609,3219,38,1,97,9,583,16,1992,20,4310,0.1335,20,389,1945,1,2,30889,1,0,0,0,1
10800,10809,3290,40,3,100,7,593,19,1983,20,4325,0.1181,20,376,1994,1,2,31475,1,0,0,0,1
11000,11009,3341,42,2,104,6,589,17,1954,20,4407,0.128,20,405,1947,1,2,32074,1,0,0,0,1
11200,11209,3393,45,2,102,9,598,19,2014,20,4475,0.1226,20,384,2003,1,2,32673,1,0,0,0,1
11400,11409,3458,48,2,102,11,591,17,1961,20,4547,0.1069,20,418,2004,1,2,33261,1,0,0,0,1
11600,11609,3516,50,1,100,11,577,19,2019,20,4626,0.1133,20,423,1999,1,2,33850,1,0,0,0,1
11800,11809,3573,52,1,98,10,589,18,2015,20,4701,0.1108,20,369,2023,1,2,34440,1,0,0,0,1
12000,12009,3629,54,1,101,9,597,17,2039,20,4746,0.1305,20,470,2092,1,2,35038,1,0,0,0,1
