degree,count
3,4346
4,1624
5,862
6,576
7,421
8,299
9,248
10,174
11,167
12,123
13,106
14,91
15,81
16,69
17,55
18,47
19,46
20,46
21,28
22,31
23,28
24,24
25,23
26,32
27,17
28,23
29,27
30,13
31,11
32,12
33,14
34,9
35,14
36,9
37,5
38,13
39,11
40,11
41,8
42,10
43,5
44,6
45,9
46,6
47,7
48,10
49,8
50,7
51,5
52,5
53,4
54,2
55,6
56,4
57,9
58,2
59,6
60,4
61,5
62,3
63,6
64,3
65,5
67,2
68,4
69,3
70,3
71,1
72,3
73,3
74,3
75,2
76,1
77,2
78,7
79,3
80,2
81,1
83,1
84,4
86,2
87,3
88,2
89,2
91,2
92,1
93,1
95,1
96,2
97,1
100,3
103,1
106,1
109,1
110,1
111,1
112,2
117,1
118,1
121,1
125,1
127,1
128,2
133,1
136,1
138,1
139,1
140,3
141,1
143,2
147,2
152,1
156,2
161,1
162,2
167,2
168,1
169,1
170,1
174,1
179,1
190,1
198,2
206,2
220,1
226,1
230,1
238,1
239,1
242,1
250,2
269,1
274,1
281,1
287,1
303,1
321,1
324,1
338,1
354,1
443,1
468,1
470,1
521,1
