step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,59,-1,0,59,0,106,0,115,0,120,0,12,20,118,0,0,569,0,0,0,0,0
400,409,126,-1,0,72,0,176,0,213,0,217,0,17,45,214,0,0,1111,0,0,0,0,0
600,609,196,-1,0,82,0,225,0,298,0,318,0,20,60,301,0,0,1644,0,0,0,0,0
800,809,245,-1,0,81,0,255,0,365,0,401,0,18,57,361,0,0,2213,0,0,0,0,0
1000,1009,308,-1,0,89,0,293,0,449,0,507,0,20,86,452,0,0,2761,0,0,0,0,0
1200,1209,359,-1,0,89,0,308,0,526,0,602,0,20,108,522,0,0,3342,0,0,0,0,0
1400,1409,411,-1,0,88,0,337,0,567,0,681,0,20,112,580,1,2,3918,0,0,0,1,0
1600,1609,481,-1,0,89,0,356,0,656,0,774,0,20,134,644,1,2,4498,0,0,0,0,0
1800,1809,539,-1,0,92,0,361,0,689,0,856,0,20,143,683,1,2,5078,0,0,0,0,0
2000,2009,606,-1,0,90,0,379,0,731,0,941,0,20,139,722,2,4,5666,0,1,0,0,0
2200,2209,664,-1,0,96,0,376,0,766,0,1013,0,20,147,766,3,6,6251,0,1,0,0,0
2400,2409,709,-1,0,93,0,402,0,818,0,1104,0,20,171,847,4,8,6841,0,3,0,0,0
2600,2609,751,-1,0,93,0,391,0,883,0,1191,0,20,175,875,5,10,7437,0,2,0,1,0
2800,2809,805,-1,0,93,0,422,0,933,0,1288,0,20,176,920,4,8,8034,0,0,0,1,0
3000,3009,869,3,0,96,3,453,3,1017,8,1423,0,20,230,1022,4,8,8585,0,0,0,1,0
3200,3209,931,3,1,95,1,458,5,1081,13,1532,0,20,219,1073,4,8,9162,0,1,0,0,0
3400,3409,990,3,0,96,1,480,12,1108,16,1620,0,20,200,1100,4,8,9746,0,0,0,0,0
3600,3609,1056,3,0,97,0,476,6,1159,13,1722,0,20,218,1160,7,14,10338,0,2,0,1,0
3800,3809,1100,3,0,96,2,483,8,1224,11,1817,0,20,225,1200,5,10,10937,0,0,0,0,0
4000,4009,1170,3,0,98,0,504,7,1247,7,1913,0,20,263,1245,4,8,11522,0,0,0,0,0
4200,4209,1245,3,0,94,0,505,7,1280,8,1962,0,20,247,1270,4,8,12114,0,0,0,1,0
4400,4409,1309,3,0,97,2,500,6,1260,6,2011,0,20,268,1305,3,6,12707,0,0,0,1,0
4600,4609,1363,3,0,97,0,501,8,1283,6,2102,0,20,263,1285,4,8,13297,0,2,0,0,0
4800,4809,1419,3,0,99,4,507,7,1384,14,2203,0,20,259,1362,4,8,13881,0,1,0,0,0
5000,5009,1479,3,1,96,1,512,4,1403,13,2292,0,20,278,1380,4,8,14473,0,0,0,0,0
5200,5209,1534,3,0,97,1,530,6,1405,11,2362,0,20,281,1420,4,8,15071,0,0,0,0,0
5400,5409,1588,3,0,101,2,526,3,1448,9,2410,0,20,308,1423,3,6,15668,0,1,0,0,0
5600,5609,1642,3,0,97,0,527,7,1494,16,2489,0,20,285,1449,4,8,16258,0,2,0,0,0
5800,5809,1706,3,2,95,1,526,3,1456,11,2574,0,20,299,1494,5,10,16851,0,1,0,0,0
6000,6009,1773,3,0,98,0,538,5,1524,13,2626,0,20,288,1539,5,10,17441,0,1,0,0,0
6200,6209,1830,3,1,97,1,548,9,1559,13,2718,0,20,312,1583,8,16,18037,0,2,0,1,0
6400,6409,1903,3,0,101,2,543,5,1598,10,2772,0,20,331,1536,6,12,18633,0,0,0,0,0
6600,6609,1956,3,1,99,2,573,4,1645,14,2925,0,20,376,1653,3,6,19191,0,0,0,0,0
6800,6809,2014,3,1,100,0,560,4,1655,16,2999,0,20,332,1646,3,6,19776,0,0,0,0,0
7000,7009,2069,3,0,100,0,563,3,1716,14,3052,0,20,341,1666,4,8,20368,0,2,0,0,0
7200,7209,2134,3,0,99,2,551,4,1716,11,3133,0,20,346,1704,5,10,20958,0,0,0,2,0
7400,7409,2202,3,0,98,0,569,4,1741,10,3197,0,20,319,1716,7,14,21556,0,2,0,0,0
7600,7609,2262,3,0,99,1,576,5,1784,13,3273,0,20,327,1763,7,14,22157,0,0,1,1,0
7800,7809,2324,3,0,101,2,573,4,1753,13,3325,0,20,358,1725,10,20,22760,0,4,0,0,0
8000,8009,2378,3,0,101,1,585,3,1793,13,3401,0,20,359,1776,11,22,23371,0,1,0,2,0
8200,8209,2442,3,0,97,2,588,3,1839,15,3448,0,20,356,1812,11,22,23981,0,0,0,0,0
8400,8409,2495,3,0,99,1,570,3,1821,11,3522,0,20,367,1802,7,14,24585,0,0,0,0,0
8600,8609,2560,3,0,98,0,581,4,1856,12,3596,0,20,393,1833,7,14,25185,0,0,0,1,0
8800,8809,2618,3,0,100,0,584,5,1863,13,3650,0,20,416,1818,6,12,25787,0,1,0,0,0
9000,9009,2674,3,0,100,2,586,5,1867,10,3780,0,20,392,1882,5,10,26371,0,1,0,2,0
9200,9209,2731,3,0,101,3,600,3,1921,14,3852,0,20,392,1919,7,14,26977,0,1,0,1,0
9400,9409,2790,3,0,100,1,572,5,1916,8,3934,0,20,343,1897,9,18,27582,0,1,1,0,0
9600,9609,2862,3,0,97,2,595,3,1929,8,3983,0,20,390,1963,12,24,28197,0,2,0,2,0
9800,9809,2910,3,0,101,1,591,1,1957,11,4041,0,20,393,1972,13,26,28806,0,0,2,1,0
10000,10009,2962,3,0,101,1,571,6,1984,10,4106,0,20,397,1963,14,28,29428,0,0,1,1,0
10200,10209,3026,3,0,100,0,612,3,1989,11,4161,0,20,389,1975,17,34,30054,0,2,0,1,0
10400,10409,3077,3,0,100,0,615,4,2026,8,4304,0,20,419,2042,15,30,30664,0,1,0,1,0
10600,10609,3132,3,0,102,2,591,4,2075,8,4371,0,20,390,2016,10,20,31259,0,1,0,1,0
10800,10809,3196,3,0,97,0,611,4,2078,12,4432,0,20,420,2076,12,24,31869,0,1,1,0,0
11000,11009,3268,3,0,101,0,605,4,2075,12,4487,0,20,412,2051,10,20,32478,0,0,0,0,0
11200,11209,3327,3,1,100,3,615,2,2093,11,4528,0,20,453,2109,10,20,33089,0,2,0,2,0
11400,11409,3389,3,0,102,2,626,1,2109,10,4575,0,20,449,2114,8,16,33694,0,0,0,0,0
11600,11609,3454,3,0,101,1,610,3,2128,11,4634,0,20,431,2108,6,12,34296,0,1,0,0,0
11800,11809,3513,3,1,101,0,619,3,2187,13,4698,0,20,410,2115,8,16,34904,0,1,1,0,0
12000,12009,3569,3,0,100,1,619,1,2147,9,4776,0,20,457,2146,8,16,35510,0,0,0,0,0
12200,12209,3639,3,0,104,0,630,6,2160,11,4824,0,20,410,2159,9,18,36106,0,2,0,0,0
12400,12409,3700,3,0,102,2,624,3,2137,11,4856,0,20,447,2105,8,16,36712,0,0,2,0,0
12600,12609,3759,3,1,101,0,626,5,2195,10,4993,0,20,485,2151,6,12,37304,0,0,0,0,0
12800,12809,3815,3,0,103,1,616,6,2193,9,5025,0,20,404,2195,6,12,37903,0,0,0,1,0
13000,13009,3888,3,1,99,2,628,2,2224,11,5141,0,20,434,2254,7,14,38490,0,1,0,1,0
13200,13209,3963,3,0,103,1,642,3,2269,16,5231,0,20,518,2240,6,12,39081,0,1,0,0,0
13400,13409,4017,3,0,100,1,632,3,2286,10,5296,0,20,466,2243,6,12,39674,0,0,0,1,0
13600,13609,4078,3,0,102,0,621,3,2269,14,5374,0,20,445,2302,7,14,40279,0,2,0,0,0
13800,13809,4131,3,0,102,2,639,3,2301,15,5486,0,20,463,2319,5,10,40858,0,0,0,1,0
14000,14009,4174,3,0,102,0,648,5,2333,11,5580,0,20,524,2316,6,12,41464,0,0,0,1,0
14200,14209,4242,3,0,102,0,635,3,2368,13,5612,0,20,467,2383,7,14,42066,0,0,1,1,0
