degree,count
3,3475
4,1407
5,876
6,598
7,455
8,341
9,312
10,240
11,216
12,159
13,147
14,126
15,121
16,94
17,99
18,84
19,93
20,70
21,64
22,52
23,57
24,44
25,53
26,47
27,34
28,33
29,30
30,24
31,26
32,24
33,23
34,26
35,29
36,19
37,27
38,18
39,16
40,9
41,10
42,17
43,17
44,16
45,14
46,15
47,15
48,14
49,9
50,10
51,10
52,7
53,11
54,8
55,8
56,8
57,6
58,3
59,11
60,8
61,8
62,9
63,4
64,3
65,3
66,5
67,5
69,4
70,4
71,4
72,2
73,6
74,3
75,3
76,4
77,5
78,1
79,3
80,1
81,3
82,3
83,2
84,3
85,1
86,2
87,4
88,3
89,3
90,2
91,1
92,3
93,3
94,1
95,2
96,1
97,1
99,4
100,1
101,1
102,3
103,1
104,3
106,2
107,2
108,1
110,2
111,1
112,1
113,1
115,3
116,2
117,2
118,2
119,2
120,1
121,3
122,1
124,2
129,2
130,1
131,1
133,1
134,1
135,1
136,1
140,1
144,1
145,1
146,1
147,1
148,1
152,1
155,1
156,1
157,1
158,1
161,2
162,2
165,1
166,1
169,1
174,2
180,1
184,1
186,1
189,2
195,1
198,1
211,1
215,1
216,1
219,1
223,1
224,1
225,1
226,2
229,1
233,1
245,2
247,1
255,1
258,1
260,1
272,1
276,1
278,1
284,1
310,1
311,1
338,1
358,1
366,1
378,1
382,1
398,1
541,1
546,1
563,1
568,1
659,1
782,1
