step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,58,-1,0,55,0,103,0,113,0,111,0,10,16,113,0,0,581,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,115,-1,0,69,0,158,0,205,0,214,0,19,46,204,0,0,1138,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,176,-1,0,74,0,207,0,276,0,294,0,17,53,276,0,0,1711,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,230,-1,0,81,0,240,0,348,0,399,0,20,78,362,0,0,2286,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,293,-1,0,83,0,272,0,429,0,494,0,20,80,426,0,0,2852,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,364,-1,0,83,0,288,0,482,0,587,0,20,97,483,0,0,3417,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,419,-1,0,92,0,336,0,590,0,718,0,20,123,592,0,0,3972,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,475,-1,0,92,0,373,0,680,0,829,0,20,146,686,0,0,4533,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,524,-1,0,90,0,382,0,747,0,936,0,19,142,735,0,0,5103,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,580,-1,0,91,0,398,0,795,0,1027,0,20,147,802,0,0,5682,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,650,-1,0,92,0,402,0,856,0,1106,0,20,192,853,0,0,6256,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,717,-1,0,93,0,419,0,885,0,1163,0,20,178,893,0,0,6838,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,773,-1,0,96,0,429,0,939,0,1247,0,20,180,927,0,0,7414,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,831,-1,0,96,0,450,0,978,0,1336,0,20,216,983,0,0,7998,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,892,-1,0,95,0,448,0,1003,0,1396,0,20,226,1023,0,0,8583,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,953,-1,0,98,0,447,0,1048,0,1480,0,20,210,1033,0,0,9177,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1012,-1,0,97,0,467,0,1142,0,1624,0,20,228,1135,0,0,9733,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3600,3609,1065,-1,0,94,0,472,0,1179,0,1724,0,20,247,1196,0,0,10307,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3800,3809,1125,-1,0,103,0,483,0,1223,0,1825,0,20,228,1220,0,0,10880,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
4000,4009,1187,-1,0,96,0,498,0,1281,0,1902,0,20,255,1274,0,0,11450,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
4200,4209,1242,-1,0,95,0,517,0,1320,0,2002,0,20,258,1300,0,0,12040,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
4400,4409,1304,-1,0,97,0,532,0,1360,0,2074,0,20,280,1361,0,0,12597,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
4600,4609,1363,-1,0,99,0,535,0,1384,0,2174,0,20,261,1388,0,0,13175,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
4800,4809,1424,-1,0,96,0,543,0,1459,0,2258,0,20,292,1432,0,0,13755,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
5000,5009,1488,-1,0,97,0,547,0,1462,0,2310,0,20,263,1442,0,0,14348,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
5200,5209,1547,-1,0,95,0,543,0,1462,0,2386,0,20,295,1466,0,0,14932,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
5400,5409,1609,-1,0,100,0,543,0,1503,0,2490,0,20,315,1519,0,0,15511,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
5600,5609,1670,-1,0,99,0,564,0,1574,0,2593,0,20,297,1563,0,0,16091,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
5800,5809,1733,-1,0,101,0,561,0,1625,0,2703,0,20,311,1603,0,0,16647,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
6000,6009,1794,-1,0,100,0,565,0,1665,0,2769,0,20,334,1665,0,0,17233,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
6200,6209,1852,-1,0,98,0,578,0,1678,0,2847,0,20,339,1708,0,0,17811,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
6400,6409,1916,-1,0,98,0,583,0,1701,0,2912,0,20,341,1710,0,0,18399,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
6600,6609,1977,-1,0,95,0,575,0,1755,0,3001,0,20,352,1732,0,0,18977,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
6800,6809,2046,-1,0,98,0,573,0,1755,0,3052,0,20,378,1749,0,0,19557,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
7000,7009,2105,-1,0,100,0,582,0,1771,0,3139,0,20,349,1755,0,0,20133,0,1,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
7200,7209,2157,-1,0,100,0,587,0,1775,0,3239,0,20,368,1794,0,0,20715,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
7400,7409,2216,-1,0,102,0,590,0,1790,0,3318,0,20,376,1809,0,0,21292,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
7600,7609,2270,-1,0,100,0,592,0,1841,0,3361,0,20,384,1840,0,0,21885,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
7800,7809,2332,-1,0,97,0,597,0,1872,0,3493,0,20,417,1904,0,0,22438,0,0,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8000,8009,2376,-1,0,101,0,584,0,1915,0,3583,0,20,366,1853,0,0,23026,0,0,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8200,8209,2431,-1,0,100,0,601,0,1918,0,3619,0,20,392,1917,0,0,23616,0,1,2,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8400,8409,2496,-1,0,101,0,609,0,1951,0,3705,0,20,402,1946,0,0,24196,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8600,8609,2555,-1,0,100,0,599,0,1981,0,3809,0,20,365,1969,0,0,24774,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
8800,8809,2616,-1,0,99,0,596,0,1997,0,3898,0,20,428,1981,0,0,25347,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9000,9009,2677,-1,0,98,0,600,0,1958,0,3974,0,20,417,2047,0,0,25937,0,2,1,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9200,9209,2733,-1,0,99,0,617,0,2030,0,4034,0,20,402,2032,0,0,26518,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9400,9409,2792,-1,0,101,0,613,0,2098,0,4223,0,20,446,2061,0,0,27069,0,1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9600,9609,2845,-1,0,100,0,647,0,2178,0,4302,0,20,425,2178,0,0,27639,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
9800,9809,2911,-1,0,101,0,619,0,2180,0,4369,0,20,461,2146,0,0,28227,0,3,3,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10000,10009,2973,-1,0,101,0,636,0,2142,0,4429,0,20,439,2173,0,0,28810,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10200,10209,3022,-1,0,104,0,638,0,2192,0,4541,0,20,485,2217,0,0,29370,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10400,10409,3085,-1,0,102,0,629,0,2248,0,4598,0,20,412,2233,0,0,29953,0,3,1,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10600,10609,3141,-1,0,103,0,647,0,2224,0,4708,0,20,453,2290,0,0,30541,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
10800,10809,3207,-1,0,102,0,640,0,2265,0,4768,0,20,453,2255,0,0,31125,0,0,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11000,11009,3252,-1,0,105,0,648,0,2325,0,4807,0,20,468,2301,0,0,31714,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11200,11209,3315,-1,0,101,0,632,0,2295,0,4926,0,20,476,2313,0,0,32288,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11400,11409,3383,-1,0,104,0,648,0,2343,0,4978,0,20,441,2309,0,0,32880,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11600,11609,3444,-1,0,100,0,620,0,2269,0,5028,0,20,472,2301,0,0,33466,0,2,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
11800,11809,3501,-1,0,101,0,630,0,2368,0,5097,0,20,448,2300,0,0,34055,0,1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12000,12009,3558,-1,0,104,0,647,0,2305,0,5156,0,20,487,2334,0,0,34643,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12200,12209,3613,-1,0,104,0,655,0,2319,0,5214,0,20,498,2350,0,0,35235,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12400,12409,3689,-1,0,102,0,635,0,2364,0,5277,0,20,501,2360,0,0,35813,0,1,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12600,12609,3762,-1,0,101,0,661,0,2359,0,5419,0,20,486,2401,0,0,36381,0,0,0,3,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
12800,12809,3825,-1,0,101,0,670,0,2424,0,5481,0,20,492,2400,0,0,36966,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13000,13009,3881,-1,0,101,0,650,0,2382,0,5560,0,20,448,2369,0,0,37558,0,1,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13200,13209,3948,-1,0,100,0,662,0,2420,0,5651,0,20,513,2432,0,0,38137,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13400,13409,4008,-1,0,102,0,648,0,2472,0,5731,0,20,513,2452,0,0,38729,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13600,13609,4072,-1,0,103,0,665,0,2446,0,5760,0,20,499,2443,0,0,39314,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
13800,13809,4131,-1,0,103,0,642,0,2451,0,5868,0,20,531,2498,0,0,39905,0,1,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14000,14009,4194,-1,0,100,0,656,0,2448,0,5883,0,20,498,2461,0,0,40493,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14200,14209,4254,-1,0,102,0,662,0,2503,0,5899,0,20,509,2453,0,0,41081,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14400,14320,4310,-1,0,99,0,650,0,2463,0,5943,0,20,479,2458,0,0,41410,0,2,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14600,14374,4364,-1,0,99,0,652,0,2483,0,5921,0,20,519,2478,0,0,41569,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
14800,14433,4423,-1,0,101,0,638,0,2453,0,5921,0,20,476,2454,0,0,41738,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15000,14493,4483,-1,0,102,0,670,0,2464,0,5912,0,20,536,2428,0,0,41909,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15200,14552,4542,3,0,102,1,657,6,2473,11,5933,0,20,504,2459,0,0,42078,0,0,1,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15400,14616,4606,3,0,104,2,672,3,2476,12,5911,0,20,510,2520,0,0,42257,0,1,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15600,14675,4665,3,0,105,0,658,2,2513,15,5905,0,20,513,2443,0,0,42416,0,0,1,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
15800,14739,4729,3,1,101,1,675,4,2517,13,5951,0,20,528,2533,0,0,42585,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16000,14788,4778,3,0,104,1,663,4,2551,13,5971,0,20,525,2466,0,0,42714,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16200,14849,4839,3,0,107,1,681,2,2485,17,5981,0,20,517,2494,0,0,42884,0,1,1,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16400,14910,4900,3,0,102,1,690,3,2570,11,5979,0,20,497,2524,0,0,43041,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16600,14973,4963,3,0,104,0,657,2,2544,16,5976,0,20,489,2502,0,0,43224,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
16800,15030,5020,3,0,101,0,651,4,2545,12,5949,0,20,529,2514,0,0,43386,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17000,15100,5090,3,1,105,0,688,6,2516,13,5948,0,20,526,2562,0,0,43588,0,3,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17200,15162,5152,3,0,102,0,681,5,2479,11,5882,0,20,535,2519,0,0,43765,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17400,15221,5211,3,0,105,0,693,2,2482,13,5908,0.03,20,547,2545,0,0,43927,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17600,15276,5266,3,0,103,4,666,2,2490,11,5917,0.1034,20,508,2506,0,0,44072,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
17800,15329,5319,3,0,104,1,682,2,2548,11,5930,0.148,20,515,2556,0,0,44212,1,1,0,0,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
18000,15381,5371,3,0,106,1,668,3,2532,14,5925,0.1789,20,487,2539,0,0,44357,1,2,0,2,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
18200,15432,5422,3,0,105,0,671,3,2532,14,5925,0.1629,20,507,2504,0,0,44499,1,0,0,1,1,3,3,0,-1,0,0,-1,0,0,-1,0,0
18400,15504,5494,3,0,105,1,674,2,2501,12,5875,0.1779,20,492,2542,0,0,44697,1,0,0,0,1,3,3,0,-1,0,0,-1,0,0,-1,0,0
18600,15578,5568,3,1,102,0,669,3,2535,15,5860,0.1399,20,525,2518,0,0,44910,1,0,0,0,1,3,4,0,-1,0,0,-1,0,0,-1,0,0
18800,15638,5628,3,1,104,1,673,2,2548,13,5887,0.1095,20,546,2542,0,0,45075,1,0,0,0,1,3,8,0,-1,0,0,-1,0,0,-1,0,0
19000,15696,5686,3,0,107,1,682,5,2546,11,5849,0.0852,20,542,2468,0,0,45235,1,0,0,2,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
19200,15751,5741,3,0,103,0,679,4,2531,9,5870,0.0657,20,493,2510,0,0,45390,1,0,0,1,1,3,3,0,-1,0,0,-1,0,0,-1,0,0
19400,15821,5811,3,0,104,3,674,6,2518,15,5879,0.0501,20,508,2542,0,0,45591,1,0,0,0,1,3,3,0,-1,0,0,-1,0,0,-1,0,0
19600,15879,5869,3,0,106,0,677,6,2447,14,5819,0.0377,20,494,2500,0,0,45757,1,0,0,0,1,3,2,0,-1,0,0,-1,0,0,-1,0,0
19800,15943,5933,3,0,104,0,678,4,2571,8,5866,0.0277,20,527,2512,0,0,45925,1,0,0,0,1,3,3,0,-1,0,0,-1,0,0,-1,0,0
20000,15993,5983,3,0,102,0,681,5,2498,8,5824,0.0056,20,527,2512,0,0,46067,0,0,0,1,1,3,2,0,-1,0,0,-1,0,0,-1,0,0
20200,16040,6030,3,0,105,1,695,4,2539,11,5824,0,20,521,2537,0,0,46201,0,0,0,0,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
20400,16092,6082,3,0,103,1,680,4,2443,8,5813,0,20,528,2537,0,0,46341,0,0,0,0,1,3,3,0,-1,0,0,-1,0,0,-1,0,0
20600,16145,6135,3,0,105,1,675,2,2510,12,5818,0,20,542,2487,0,0,46478,0,0,0,0,1,3,4,0,-1,0,0,-1,0,0,-1,0,0
20800,16212,6202,3,0,102,0,675,3,2500,11,5789,0,20,515,2494,0,0,46668,0,0,0,0,1,3,2,0,-1,0,0,-1,0,0,-1,0,0
21000,16268,6258,3,0,106,0,685,1,2519,12,5818,0,20,532,2526,0,0,46805,0,0,0,0,1,3,2,0,-1,0,0,-1,0,0,-1,0,0
21200,16324,6314,3,0,104,0,660,3,2522,6,5815,0,20,490,2480,0,0,46960,0,0,0,0,1,3,1,0,3,6,0,-1,0,0,-1,0,0
21400,16390,6380,3,0,109,0,673,2,2519,12,5790,0,20,555,2491,0,0,47149,0,0,0,0,1,3,1,0,3,0,0,-1,0,0,-1,0,0
21600,16450,6440,3,0,107,2,673,3,2528,9,5794,0,20,511,2557,0,0,47319,0,1,0,0,1,3,1,0,3,4,0,-1,0,0,-1,0,0
21800,16507,6497,3,0,107,1,675,3,2584,10,5747,0,20,518,2493,0,0,47480,0,0,0,0,1,3,2,0,3,3,0,-1,0,0,-1,0,0
22000,16568,6558,3,0,106,1,677,2,2531,11,5742,0,20,509,2482,0,0,47648,0,0,0,0,1,3,2,0,3,3,0,-1,0,0,-1,0,0
22200,16629,6619,3,0,105,2,681,4,2489,10,5724,0,20,513,2534,0,0,47817,0,0,0,1,1,3,0,0,3,0,0,-1,0,0,-1,0,0
22400,16687,6677,3,0,105,1,689,2,2531,8,5722,0,20,519,2477,0,0,47983,0,0,0,0,1,3,1,0,3,1,0,-1,0,0,-1,0,0
22600,16734,6724,3,0,105,2,689,3,2512,5,5682,0,20,550,2503,0,0,48119,0,0,0,0,1,3,2,0,3,0,0,-1,0,0,-1,0,0
22800,16799,6789,3,0,107,0,698,2,2496,8,5711,0,20,512,2511,0,0,48293,0,0,0,1,1,3,3,0,3,1,0,-1,0,0,-1,0,0
23000,16855,6845,3,0,107,0,686,3,2509,14,5676,0,20,551,2522,0,0,48447,0,0,0,0,1,3,2,0,3,4,0,-1,0,0,-1,0,0
23200,16917,6907,3,0,104,0,696,2,2473,10,5666,0,20,545,2495,0,0,48613,0,0,0,2,1,3,2,0,3,0,0,-1,0,0,-1,0,0
23400,16973,6963,3,0,103,1,690,2,2478,11,5612,0,20,488,2511,0,0,48772,0,0,0,0,1,3,1,0,3,4,0,-1,0,0,-1,0,0
23600,17042,7032,3,0,107,1,691,0,2488,8,5624,0,20,513,2466,0,0,48973,0,0,0,1,1,3,2,0,3,2,1,-1,0,0,-1,0,0
23800,17098,7088,3,0,105,1,672,1,2475,8,5644,0,20,493,2485,0,0,49125,0,0,0,0,1,3,2,0,3,3,1,-1,0,0,-1,0,0
24000,17169,7159,3,0,105,2,712,1,2537,10,5629,0,20,601,2497,0,0,49325,0,0,0,1,1,3,2,0,3,3,1,-1,0,0,-1,0,0
24200,17240,7230,3,0,106,0,683,2,2473,9,5648,0,20,541,2490,0,0,49515,0,0,0,0,1,3,4,0,3,2,1,3,2,0,-1,0,0
24400,17311,7301,3,0,106,0,691,4,2508,5,5658,0,20,490,2497,0,0,49714,0,0,1,0,1,3,3,0,3,1,1,3,3,0,-1,0,0
24600,17372,7362,3,0,106,0,681,4,2488,7,5604,0,20,537,2472,0,0,49887,0,0,0,0,1,3,2,0,3,4,1,3,1,0,-1,0,0
