step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,66,-1,0,59,0,103,0,111,0,114,0,16,29,112,0,0,553,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,126,-1,0,67,0,164,0,201,0,211,0,16,37,199,0,0,1125,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,186,-1,0,78,0,200,0,289,0,310,0,19,55,285,0,0,1686,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,244,-1,0,80,0,255,0,383,0,419,0,20,84,379,0,0,2259,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,300,-1,0,84,0,284,0,458,0,502,0,20,80,443,0,0,2832,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,365,-1,0,84,0,289,0,494,0,575,0,18,82,487,0,0,3414,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,433,-1,0,87,0,317,0,542,0,639,0,20,119,553,0,0,3986,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,496,-1,0,86,0,338,0,595,0,735,0,20,122,594,0,0,4564,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,554,-1,0,88,0,339,0,655,0,817,0,20,132,652,0,0,5153,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,620,-1,0,90,0,364,0,707,0,897,0,20,152,705,0,0,5726,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,678,-1,0,89,0,364,0,746,0,980,0,20,135,738,0,0,6310,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,736,-1,0,89,0,370,0,777,0,1053,0,20,138,772,0,0,6894,0,4,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,807,-1,0,91,0,389,0,813,0,1099,0,20,164,806,0,0,7471,0,4,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,872,-1,0,93,0,395,0,857,0,1186,0,20,193,863,0,0,8039,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,931,-1,0,91,0,429,0,929,0,1298,0,20,183,924,0,0,8607,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,982,-1,0,93,0,448,0,976,0,1433,0,20,204,983,0,0,9178,0,2,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
