degree,count
3,4386
4,1660
5,936
6,560
7,390
8,296
9,211
10,193
11,139
12,110
13,103
14,86
15,79
16,60
17,48
18,42
19,51
20,38
21,40
22,30
23,27
24,20
25,29
26,18
27,21
28,26
29,13
30,14
31,17
32,15
33,7
34,10
35,9
36,10
37,12
38,8
39,11
40,9
41,9
42,7
43,10
44,4
45,5
46,5
47,9
48,7
49,8
50,3
51,9
52,5
53,7
54,4
55,5
56,4
57,7
58,5
59,4
60,5
61,2
62,4
63,4
64,2
65,1
66,3
67,3
69,2
70,2
71,2
72,4
73,3
74,6
75,5
76,1
77,2
78,3
79,1
80,2
81,3
83,2
84,2
85,3
86,1
87,5
88,1
89,3
90,2
91,3
93,2
96,4
98,2
100,1
101,1
103,2
104,3
106,1
109,1
110,1
111,1
115,1
116,1
119,4
120,1
121,2
122,1
123,2
124,3
125,2
127,2
128,1
133,1
138,1
140,3
141,1
142,1
149,1
152,1
160,1
162,1
163,2
165,2
176,1
180,1
196,1
199,1
201,2
202,1
211,2
213,1
234,1
238,1
241,1
243,1
249,1
273,1
311,1
330,1
335,1
374,1
378,1
399,1
460,1
522,1
