degree,count
3,4341
4,1626
5,909
6,583
7,388
8,298
9,233
10,192
11,139
12,131
13,102
14,76
15,80
16,68
17,53
18,58
19,48
20,32
21,42
22,36
23,23
24,31
25,23
26,26
27,28
28,15
29,29
30,23
31,12
32,12
33,14
34,13
35,12
36,15
37,12
38,14
39,10
40,5
41,10
42,5
43,8
44,9
45,10
46,6
47,1
48,4
49,5
50,11
51,2
52,2
53,7
54,3
55,1
56,4
57,2
58,3
59,6
60,5
61,3
62,8
63,3
64,6
65,4
66,4
67,2
68,3
70,3
71,2
72,4
74,1
75,1
76,1
77,4
78,1
79,1
80,2
82,3
83,2
84,1
85,5
87,4
88,3
89,2
91,4
92,2
93,3
95,3
96,2
97,1
98,1
99,2
100,2
101,1
102,1
103,1
106,1
107,1
110,1
111,1
116,1
118,1
119,1
121,1
123,1
128,1
131,1
134,1
135,1
137,1
141,2
148,1
152,1
158,1
167,3
168,1
169,1
174,1
175,1
182,1
184,1
189,1
193,1
194,1
202,1
203,1
208,1
212,1
214,1
215,1
217,1
220,1
232,1
234,3
243,1
251,1
252,1
257,1
265,1
270,1
279,1
282,1
296,1
298,2
337,1
356,1
365,1
418,1
659,1
