step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,62,-1,0,58,0,100,0,114,0,114,0,13,24,115,4,8,571,0,0,0,0,0
400,409,118,-1,0,71,0,168,0,204,0,215,0,17,31,205,4,8,1150,0,0,0,0,0
600,609,169,-1,0,79,0,215,0,301,0,318,0,18,55,297,4,8,1716,0,0,0,0,0
800,809,224,-1,0,81,0,250,0,377,0,425,0,19,61,381,4,8,2310,0,0,0,0,0
1000,1009,289,-1,0,83,0,275,0,450,0,520,0,19,70,456,4,8,2878,0,0,0,1,0
1200,1209,349,-1,0,84,0,297,0,518,0,600,0,19,81,517,4,8,3461,0,0,0,0,0
1400,1409,414,-1,0,88,0,322,0,571,0,684,0,20,125,575,4,8,4046,0,0,0,1,0
1600,1609,485,-1,0,92,0,350,0,636,0,763,0,20,112,634,4,8,4623,0,0,0,0,0
1800,1809,549,-1,0,94,0,365,0,673,0,840,0,20,128,672,4,8,5214,0,0,0,0,0
2000,2009,597,-1,0,90,0,377,0,740,0,944,0,20,143,725,4,8,5797,0,1,0,0,0
2200,2209,654,-1,0,91,0,379,0,771,0,1007,0,20,171,765,4,8,6388,0,0,0,0,0
2400,2409,707,-1,0,90,0,393,0,802,0,1099,0,20,159,801,4,8,6988,0,2,0,0,0
2600,2609,766,-1,0,93,0,404,0,856,0,1176,0,20,167,855,4,8,7571,0,1,0,1,0
2800,2809,825,-1,0,94,0,409,0,896,0,1260,0,20,178,896,4,8,8165,0,3,0,2,0
3000,3009,888,3,0,95,4,416,9,927,16,1328,0,20,183,953,4,8,8749,0,1,0,0,0
3200,3209,949,3,0,95,2,437,10,979,14,1419,0,20,206,981,4,8,9347,0,0,0,1,0
3400,3409,1011,3,0,95,3,433,10,984,14,1507,0,20,206,1006,4,8,9939,0,1,0,1,0
3600,3609,1066,3,0,96,4,460,10,1070,18,1607,0,20,204,1068,4,8,10514,0,0,0,1,0
3800,3809,1116,3,1,98,3,470,7,1121,15,1717,0.0129,20,215,1137,4,8,11098,0,0,0,0,0
4000,4009,1177,3,1,97,2,467,8,1171,12,1782,0.01,20,231,1182,4,8,11701,0,0,0,0,0
4200,4209,1224,3,0,94,2,479,11,1190,17,1882,0.0078,20,241,1208,4,8,12305,0,0,0,1,0
4400,4409,1284,3,0,97,1,475,5,1194,15,1946,0.0223,20,231,1214,4,8,12903,0,2,0,1,0
4600,4609,1349,3,0,95,1,486,9,1269,8,2044,0.0398,20,236,1277,4,8,13488,0,0,0,1,0
4800,4809,1423,3,0,99,0,480,10,1289,13,2120,0.0585,20,291,1308,4,8,14081,1,2,0,0,1
5000,5009,1478,3,0,97,2,497,7,1291,10,2221,0.0586,20,253,1334,4,8,14673,1,0,0,0,1
5200,5209,1536,3,2,98,4,495,5,1348,13,2269,0.1029,20,270,1344,4,8,15268,1,2,0,0,1
5400,5409,1591,3,0,98,3,526,5,1398,11,2387,0.093,20,273,1392,4,8,15860,1,1,0,0,1
5600,5609,1646,3,0,98,0,528,6,1485,12,2507,0.0733,20,320,1442,4,8,16429,1,0,0,0,1
5800,5809,1706,3,0,98,1,523,5,1519,8,2600,0.1108,20,305,1526,4,8,17013,1,1,0,0,1
6000,6009,1763,3,0,101,4,539,6,1557,14,2661,0.1209,20,286,1537,4,8,17602,1,0,0,0,1
6200,6209,1817,3,0,98,4,539,6,1571,11,2738,0.1384,20,325,1566,4,8,18200,1,0,0,1,1
6400,6409,1871,3,0,99,1,528,6,1587,11,2786,0.1471,20,314,1560,4,8,18801,1,0,0,0,1
6600,6609,1943,3,0,96,0,531,4,1581,6,2866,0.2023,20,336,1595,4,8,19386,1,0,0,0,1
6800,6809,2003,3,1,99,0,555,7,1648,9,2989,0.194,20,306,1653,4,8,19964,1,0,0,0,1
7000,7009,2056,3,0,103,2,575,7,1687,12,3075,0.1916,20,341,1675,4,8,20561,1,0,0,0,1
7200,7209,2122,3,0,102,2,548,3,1692,12,3166,0.1885,20,328,1726,4,8,21141,1,0,0,1,1
7400,7409,2177,3,1,98,1,561,4,1726,17,3234,0.1697,20,321,1748,4,8,21737,1,1,0,1,1
7600,7609,2246,3,0,99,0,583,3,1731,10,3303,0.1346,20,333,1736,4,8,22331,1,0,0,0,1
7800,7809,2305,3,0,103,0,564,4,1759,11,3340,0.143,20,348,1784,4,8,22921,1,2,0,0,1
8000,8009,2361,3,0,102,0,556,4,1766,8,3451,0.1133,20,347,1767,4,8,23514,1,1,0,0,1
8200,8209,2416,3,0,101,0,573,6,1817,5,3530,0.1295,20,370,1826,4,8,24114,1,2,0,0,1
8400,8409,2480,3,0,99,2,574,4,1798,13,3592,0.1525,20,384,1861,4,8,24705,1,0,0,0,1
8600,8609,2539,3,1,101,2,573,3,1833,7,3653,0.1409,20,341,1834,4,8,25300,1,0,0,1,1
8800,8809,2601,3,0,99,1,588,2,1864,11,3758,0.1782,20,394,1872,4,8,25880,1,0,0,0,1
9000,9009,2654,3,0,98,1,587,6,1901,9,3844,0.2081,20,411,1901,4,8,26481,1,0,0,0,1
9200,9209,2729,3,0,98,1,575,5,1896,12,3889,0.1654,20,392,1914,4,8,27073,1,0,0,1,1
9400,9409,2790,3,0,98,1,580,3,1925,12,3971,0.1312,20,408,1955,4,8,27674,1,1,0,0,1
9600,9609,2861,3,1,96,0,565,4,1925,11,3985,0.1927,20,353,1915,4,8,28272,1,0,0,0,1
9800,9809,2928,3,0,100,3,600,1,1925,7,4069,0.2031,20,370,1936,4,8,28864,1,0,0,1,1
10000,10009,2981,3,0,100,0,585,2,1946,9,4090,0.2113,20,435,1950,4,8,29462,1,0,0,0,1
10200,10209,3044,3,0,102,0,602,4,1994,10,4232,0.2079,20,410,1972,4,8,30047,1,0,0,0,1
10400,10409,3113,3,1,98,2,591,2,1972,11,4306,0.2319,20,405,2035,4,8,30642,1,1,1,0,1
10600,10609,3172,3,0,105,0,584,4,2027,7,4399,0.2044,20,404,1975,4,8,31235,1,0,0,2,1
10800,10809,3240,3,1,98,1,600,1,2058,11,4438,0.1624,20,441,2002,4,8,31830,1,1,0,0,1
11000,11009,3305,3,0,102,0,597,5,2048,15,4468,0.2145,20,394,2064,4,8,32427,1,0,0,0,1
11200,11209,3369,3,0,102,2,592,2,2088,7,4565,0.1705,20,436,2047,4,8,33027,1,0,0,0,1
11400,11409,3435,3,0,99,2,611,3,2068,12,4591,0.1353,20,422,2108,4,8,33618,1,0,0,0,1
11600,11609,3503,3,1,100,0,632,2,2109,8,4701,0.1071,20,444,2118,4,8,34187,1,1,0,0,1
11800,11809,3563,3,0,100,1,613,1,2136,10,4744,0.1068,20,393,2139,4,8,34790,1,1,0,2,1
12000,12009,3621,3,0,101,1,624,1,2148,5,4816,0.0843,20,441,2140,4,8,35388,1,0,0,0,1
12200,12209,3667,3,1,100,0,634,8,2150,12,4951,0.0663,20,445,2190,4,8,35959,1,0,1,0,1
12400,12409,3715,3,0,99,1,604,0,2162,8,5016,0.1186,20,444,2147,4,8,36560,1,0,0,1,1
12600,12609,3780,3,0,100,0,614,3,2237,8,5069,0.1738,20,478,2226,4,8,37158,1,0,0,0,1
12800,12809,3841,3,0,100,1,649,2,2268,10,5232,0.1665,20,456,2268,4,8,37731,1,1,0,1,1
13000,13009,3884,3,0,102,0,620,0,2262,11,5260,0.2121,20,458,2277,4,8,38332,1,0,0,1,1
13200,13209,3945,3,0,101,1,621,2,2292,9,5297,0.1685,20,462,2260,4,8,38936,1,0,0,0,1
13400,13409,4012,3,0,102,0,630,1,2279,12,5380,0.267,20,505,2319,4,8,39533,1,2,0,1,1
13600,13609,4071,3,0,102,1,639,3,2274,9,5432,0.2625,20,469,2304,4,8,40120,1,0,1,0,1
13800,13809,4128,3,0,99,1,642,3,2316,8,5507,0.2422,20,509,2340,4,8,40712,1,0,0,1,1
14000,14009,4188,3,0,104,0,653,4,2337,10,5613,0.2427,20,464,2318,4,8,41301,1,0,0,0,1
14200,14209,4240,3,1,102,1,637,3,2328,5,5684,0.2597,20,470,2360,4,8,41887,1,0,0,0,1
