degree,count
3,4324
4,1683
5,892
6,590
7,398
8,280
9,208
10,195
11,156
12,100
13,95
14,97
15,82
16,66
17,63
18,54
19,58
20,42
21,24
22,34
23,28
24,28
25,28
26,31
27,23
28,15
29,20
30,13
31,16
32,20
33,11
34,13
35,13
36,8
37,12
38,6
39,12
40,9
41,10
42,4
43,7
44,9
45,5
46,4
47,7
48,8
49,10
50,7
51,10
52,4
53,5
54,6
55,5
56,3
57,3
58,3
59,3
60,4
61,2
62,2
63,5
64,6
65,2
66,3
67,4
68,2
69,1
70,2
71,2
72,2
73,2
74,8
75,7
76,2
77,1
78,1
82,2
83,1
84,1
87,2
88,2
89,2
90,1
91,1
93,1
96,3
98,2
100,2
101,2
102,1
103,1
104,2
106,3
108,2
110,1
111,1
113,1
115,1
116,1
120,1
121,1
122,2
123,1
124,1
127,4
128,1
130,2
132,1
133,2
134,1
136,1
139,1
141,1
143,1
146,1
147,2
156,1
157,1
163,2
168,2
179,1
193,1
195,1
198,1
202,1
204,1
210,1
220,1
245,1
246,1
247,1
251,1
252,1
276,1
281,1
282,1
291,1
312,1
314,1
322,1
334,1
336,1
351,1
372,1
392,1
437,1
455,1
