step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,58,-1,0,55,0,103,0,113,0,111,0,10,16,113,0,0,581,0,0,0,0,0
400,409,126,-1,0,70,0,164,0,200,0,210,0,15,45,201,0,0,1132,0,0,0,0,0
600,609,184,-1,0,79,0,226,0,294,0,317,0,15,54,293,0,0,1695,0,0,0,0,0
800,809,243,-1,0,82,0,256,0,372,0,412,0,20,79,376,0,0,2262,0,0,0,0,0
1000,1009,294,-1,0,85,0,293,0,446,0,507,0,19,83,447,0,0,2838,0,0,0,2,0
1200,1209,360,-1,0,89,0,320,0,525,0,595,0,20,99,521,0,0,3392,0,0,0,0,0
1400,1409,419,-1,0,90,0,322,0,580,0,683,0,20,109,571,0,0,3967,0,0,0,0,0
1600,1609,482,-1,0,91,0,353,0,635,0,772,0,20,143,655,0,0,4539,0,0,0,0,0
1800,1809,540,-1,0,93,0,361,0,672,0,848,0,20,137,675,0,0,5113,0,0,0,2,0
2000,2009,608,-1,0,88,0,387,0,737,0,948,0,20,160,744,0,0,5682,0,0,0,0,0
2200,2209,672,-1,0,93,0,398,0,785,0,1038,0,20,152,782,0,0,6263,0,0,0,0,0
2400,2409,735,-1,0,94,0,396,0,834,0,1108,0,20,186,820,0,0,6844,0,5,0,1,0
2600,2609,789,-1,0,95,0,414,0,872,0,1199,0,20,181,878,0,0,7431,0,1,0,0,0
2800,2809,855,-1,0,96,0,427,0,926,0,1295,0,20,172,917,0,0,8011,0,2,0,0,0
3000,3009,910,3,0,93,2,418,5,940,4,1364,0,20,206,949,0,0,8592,0,0,0,1,0
3200,3209,981,4,1,95,0,452,4,1026,10,1458,0.015,20,198,1013,1,1,9152,0,0,0,0,0
3400,3409,1042,4,1,97,2,456,6,1060,6,1555,0.0117,20,208,1044,0,0,9737,0,0,0,1,0
3600,3609,1107,4,1,92,3,466,5,1112,8,1667,0.0091,20,210,1117,0,0,10315,0,1,0,1,0
3800,3809,1173,5,0,96,6,489,11,1186,15,1760,0.0198,20,235,1168,1,1,10890,0,0,0,0,0
4000,4009,1244,5,0,95,3,493,9,1211,14,1824,0.0243,20,223,1176,0,0,11472,0,1,0,0,0
4200,4209,1293,6,0,95,5,485,10,1215,14,1885,0.0316,20,244,1225,1,1,12065,0,0,0,0,0
4400,4409,1353,9,3,96,6,500,17,1263,18,1996,0.0423,20,242,1252,3,3,12634,0,0,0,2,0
4600,4609,1408,13,1,97,2,486,16,1304,20,2085,0.0574,20,249,1289,4,4,13211,1,0,1,0,2
4800,4809,1471,19,0,95,11,502,18,1319,20,2152,0.0853,20,266,1319,6,6,13802,1,1,0,1,2
5000,5009,1532,22,1,96,6,504,19,1367,20,2259,0.083,20,249,1342,3,3,14381,1,0,0,1,2
5200,5209,1589,26,2,98,9,525,19,1401,20,2343,0.0878,20,299,1412,4,4,14966,1,0,0,1,2
5400,5409,1653,35,5,99,10,520,20,1423,20,2412,0.1138,20,291,1399,9,9,15561,1,0,0,0,2
5600,5609,1716,42,5,94,14,522,20,1475,20,2516,0.1306,20,291,1456,7,7,16140,1,0,0,0,2
5800,5809,1775,49,4,99,12,525,20,1500,20,2594,0.1381,20,289,1506,7,7,16732,1,1,0,0,2
6000,6009,1825,53,5,98,15,540,20,1509,20,2683,0.129,20,302,1512,4,4,17321,1,0,0,2,2
6200,6209,1869,59,3,98,15,538,20,1512,20,2775,0.1318,20,298,1577,6,6,17908,1,1,0,0,2
