degree,count
3,4224
4,1742
5,954
6,583
7,388
8,321
9,228
10,169
11,152
12,145
13,100
14,89
15,75
16,48
17,60
18,48
19,43
20,36
21,36
22,26
23,33
24,26
25,19
26,16
27,13
28,16
29,24
30,17
31,14
32,10
33,12
34,10
35,10
36,11
37,9
38,20
39,7
40,7
41,10
42,11
43,7
44,5
45,8
46,6
47,5
48,7
49,5
50,3
51,3
52,10
53,1
54,4
55,2
56,4
57,4
58,3
59,2
60,6
61,6
62,1
63,2
64,6
66,2
67,3
68,4
71,4
72,2
73,3
74,1
75,1
76,4
77,3
78,1
79,3
80,1
81,5
82,3
83,3
84,2
85,2
86,3
88,2
89,2
90,2
92,1
93,2
94,2
95,2
96,2
97,3
98,1
101,1
102,1
104,3
105,1
106,2
108,1
109,1
110,3
113,1
115,1
116,2
117,1
118,2
120,1
121,1
122,1
123,1
125,2
126,1
127,1
128,1
132,1
133,1
134,1
136,2
140,1
141,1
144,1
146,1
150,1
151,1
152,2
153,1
155,1
156,2
157,1
161,1
162,1
166,2
176,1
178,1
181,1
185,2
190,1
192,1
194,3
210,1
212,1
214,1
220,1
226,1
235,1
246,1
261,1
270,1
275,1
279,1
291,1
294,1
352,1
359,1
497,1
513,1
517,1
540,1
