step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,62,-1,0,58,0,105,0,113,0,119,0,12,18,115,8,8,580,0,0,0,0,0
400,409,119,-1,0,67,0,165,0,207,0,216,0,19,50,208,8,8,1144,0,0,0,0,0
600,609,175,-1,0,76,0,213,0,294,0,321,0,19,74,292,6,6,1719,0,0,0,0,0
800,809,237,-1,0,81,0,242,0,366,0,412,0,20,72,374,8,8,2296,0,0,0,1,0
1000,1009,300,-1,0,83,0,272,0,458,0,524,0,18,80,459,8,8,2860,0,0,0,0,0
1200,1209,349,-1,0,84,0,308,0,517,0,614,0,20,90,514,8,8,3452,0,0,0,1,0
1400,1409,413,-1,0,93,0,346,0,601,0,715,0,20,117,604,8,8,4011,0,0,0,2,0
1600,1609,467,-1,0,89,0,359,0,648,0,802,0,20,113,653,7,7,4601,0,1,0,1,0
1800,1809,521,-1,0,86,0,374,0,707,0,885,0,20,132,702,8,8,5186,0,0,0,0,0
2000,2009,584,-1,0,94,0,387,0,772,0,987,0,20,144,771,7,7,5761,0,1,0,0,0
2200,2209,640,-1,0,92,0,402,0,808,0,1072,0,20,168,808,8,8,6343,0,0,0,0,0
2400,2409,703,-1,0,92,0,428,0,906,0,1210,0,20,200,915,7,7,6901,0,2,0,1,0
2600,2609,763,-1,0,95,0,428,0,943,0,1262,0,20,188,945,8,8,7491,0,0,0,0,0
2800,2809,826,-1,0,94,0,449,0,973,0,1348,0,20,189,964,8,8,8080,0,0,0,0,0
3000,3009,890,3,0,95,2,443,6,999,4,1414,0,20,222,1019,8,8,8658,0,2,0,0,0
3200,3209,957,3,2,97,5,455,4,1032,2,1468,0.02,20,217,1041,8,8,9246,0,1,0,0,0
3400,3409,1014,3,0,96,3,483,6,1128,5,1619,0.0156,20,219,1128,8,8,9810,0,0,0,0,0
3600,3609,1072,4,0,92,4,490,5,1172,10,1703,0.0241,20,237,1171,8,8,10398,0,0,0,0,0
