degree,count
3,4399
4,1535
5,915
6,590
7,395
8,309
9,236
10,196
11,157
12,132
13,116
14,78
15,93
16,65
17,52
18,44
19,41
20,42
21,33
22,43
23,29
24,15
25,19
26,22
27,26
28,13
29,17
30,9
31,21
32,16
33,12
34,9
35,12
36,9
37,7
38,4
39,12
40,10
41,12
42,13
43,6
44,9
45,11
46,8
47,6
48,4
49,2
50,10
51,10
52,10
53,1
54,4
55,4
56,6
57,5
58,2
59,3
60,6
61,4
62,3
64,2
65,3
66,3
67,3
69,3
70,2
71,4
72,1
73,2
74,3
76,4
77,3
79,2
80,3
81,1
82,1
83,2
84,1
85,1
86,1
87,2
89,2
90,2
91,1
92,2
93,3
94,1
95,1
96,3
97,2
99,2
101,1
102,2
104,1
106,1
107,1
108,2
109,2
110,2
111,2
113,2
115,1
116,2
117,2
118,2
123,3
124,1
125,3
131,2
133,1
141,1
145,1
148,1
152,1
153,1
158,1
160,2
161,1
162,1
163,1
164,1
167,1
181,2
186,1
190,1
191,1
202,1
207,1
213,1
226,1
229,1
230,2
238,1
250,1
257,1
259,1
270,1
272,1
294,1
296,1
315,1
336,1
346,1
361,1
367,1
448,1
460,1
