degree,count
3,4416
4,1666
5,898
6,561
7,422
8,297
9,206
10,182
11,136
12,105
13,85
14,77
15,59
16,61
17,64
18,51
19,39
20,42
21,40
22,28
23,35
24,17
25,19
26,30
27,31
28,14
29,18
30,22
31,13
32,22
33,11
34,7
35,11
36,5
37,8
38,9
39,9
40,3
41,8
42,10
43,11
44,10
45,7
46,7
47,8
48,6
49,5
50,7
51,11
52,7
53,3
54,3
55,9
56,2
57,5
58,7
59,5
60,1
61,3
62,2
63,4
64,5
65,4
66,3
67,2
68,3
69,3
70,2
71,1
72,5
73,3
74,2
75,2
76,5
77,2
80,2
81,4
82,2
83,1
84,1
85,1
86,1
87,1
88,4
89,2
90,1
92,3
93,1
94,3
96,3
98,1
99,2
100,2
101,1
102,1
103,1
105,1
110,3
111,1
112,3
116,1
117,1
118,2
119,2
120,2
123,1
125,1
126,4
129,1
131,1
138,1
139,2
141,1
143,1
145,2
149,1
150,1
152,1
156,2
158,1
163,1
165,1
171,1
172,1
173,1
175,1
185,1
189,1
196,1
197,1
199,1
208,2
210,1
220,1
231,1
236,1
237,1
240,1
243,1
248,2
252,1
268,1
276,1
319,1
325,1
327,1
328,1
340,1
353,1
385,1
387,1
474,1
