degree,count
3,4298
4,1678
5,899
6,579
7,409
8,314
9,222
10,181
11,168
12,132
13,92
14,83
15,83
16,67
17,45
18,48
19,37
20,37
21,38
22,38
23,32
24,26
25,22
26,24
27,20
28,25
29,12
30,10
31,16
32,9
33,16
34,12
35,15
36,8
37,10
38,8
39,12
40,7
41,14
42,7
43,9
44,10
45,5
46,6
47,5
48,7
49,8
50,5
51,3
52,8
53,3
54,3
55,4
56,6
57,2
58,2
59,6
60,3
61,7
62,5
63,4
64,3
65,2
66,4
67,4
68,2
69,2
70,4
71,2
72,3
73,4
74,2
75,1
76,2
77,1
78,2
79,3
80,2
81,4
82,2
83,4
84,2
85,2
88,1
89,1
90,1
91,1
92,2
93,2
94,2
95,1
96,1
97,2
100,3
102,2
103,1
104,1
106,2
107,3
108,1
109,1
112,1
113,1
115,1
116,1
120,1
121,1
125,2
126,3
127,1
128,1
129,1
131,1
132,2
136,1
139,1
142,1
146,1
148,1
150,1
153,1
154,1
155,2
158,1
161,1
163,1
164,1
169,2
170,1
173,1
178,2
182,1
192,1
193,1
205,1
214,1
216,1
219,1
232,1
244,1
248,1
275,1
283,1
291,1
312,1
315,1
319,1
323,1
328,1
330,1
351,1
373,1
472,1
474,1
475,1
510,1
