step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,48,-1,0,58,0,109,0,122,0,125,0,11,14,123,0,0,575,0,0,0,0,0
400,409,99,-1,0,70,0,176,0,219,0,233,0,14,32,222,0,0,1155,0,0,0,0,0
600,609,160,-1,0,75,0,231,0,311,0,338,0,19,61,316,0,0,1715,0,0,0,0,0
800,809,222,-1,0,86,0,251,0,392,0,426,0,20,62,391,0,0,2274,0,0,0,0,0
1000,1009,267,-1,0,84,0,292,0,458,0,529,0,20,95,457,1,2,2858,0,0,0,1,0
1200,1209,316,-1,0,86,0,313,0,521,0,610,0,20,90,517,2,4,3448,0,0,0,1,0
1400,1409,383,-1,0,87,0,331,0,577,0,701,0,20,102,577,2,4,4031,0,0,0,0,0
1600,1609,446,-1,0,89,0,344,0,628,0,782,0,20,146,633,0,0,4613,0,0,0,0,0
1800,1809,505,-1,0,92,0,387,0,739,0,939,0,20,154,741,0,0,5156,0,0,0,0,0
2000,2009,560,-1,0,96,0,385,0,788,0,1010,0,20,160,788,0,0,5739,0,0,0,0,0
2200,2209,629,-1,0,92,0,410,0,854,0,1118,0,20,158,844,0,0,6299,0,0,0,0,0
2400,2409,685,-1,0,94,0,423,0,898,0,1204,0,20,181,913,0,0,6869,0,0,0,0,0
2600,2609,742,-1,0,91,0,434,0,937,0,1278,0,20,195,933,0,0,7448,0,0,0,0,0
2800,2809,799,3,0,94,1,430,5,957,15,1353,0,20,190,949,0,0,8033,0,0,0,0,0
3000,3009,859,3,2,93,4,440,7,990,17,1408,0,20,205,990,0,0,8618,0,0,0,0,0
3200,3209,922,3,1,92,1,453,11,1041,16,1501,0,20,196,1034,0,0,9202,0,0,0,0,0
3400,3409,982,3,0,93,0,460,5,1064,14,1602,0,20,196,1087,0,0,9779,0,0,0,0,0
3600,3609,1040,3,0,95,2,465,5,1138,12,1684,0,20,243,1127,0,0,10363,0,0,0,0,0
3800,3809,1107,3,0,98,1,479,6,1152,12,1753,0,20,220,1150,0,0,10933,0,0,0,0,0
4000,4009,1163,3,1,95,3,465,5,1214,12,1836,0,20,246,1183,0,0,11514,0,0,0,0,0
4200,4209,1220,3,0,97,1,497,4,1249,16,1966,0,20,243,1294,1,2,12084,0,0,0,1,0
4400,4409,1279,3,0,96,1,491,12,1293,11,2056,0,20,255,1283,1,2,12669,0,0,0,0,0
4600,4609,1343,3,0,97,3,493,5,1333,14,2120,0,20,267,1312,2,4,13258,0,0,0,1,0
4800,4809,1418,3,0,95,3,494,7,1368,15,2189,0,20,250,1321,3,6,13840,0,0,0,1,0
5000,5009,1489,3,0,98,0,521,7,1370,7,2230,0,20,302,1352,2,4,14431,0,0,0,0,0
5200,5209,1550,3,0,92,1,519,3,1394,12,2312,0,20,306,1396,1,2,15018,0,0,0,0,0
5400,5409,1615,3,0,99,2,527,3,1459,12,2404,0,20,323,1427,0,0,15587,0,0,0,0,0
5600,5609,1669,3,1,98,3,526,7,1468,11,2484,0,20,290,1468,0,0,16181,0,0,0,0,0
5800,5809,1722,3,0,98,1,528,3,1484,9,2529,0,20,286,1468,0,0,16774,0,0,0,0,0
6000,6009,1788,3,0,96,1,527,2,1472,13,2620,0.0285,20,314,1516,0,0,17357,0,0,0,0,0
6200,6209,1842,3,0,100,0,551,2,1528,10,2702,0.0461,20,284,1548,0,0,17943,0,0,0,0,0
6400,6409,1900,5,1,98,4,534,7,1591,13,2789,0.045,20,359,1543,1,2,18534,1,0,0,1,3
6600,6609,1960,7,1,98,4,525,11,1592,14,2868,0.026,20,338,1588,1,2,19113,1,0,0,0,3
6800,6809,2025,9,1,101,1,556,9,1681,17,3036,0.041,20,366,1661,1,2,19661,1,0,0,0,3
