step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule
200,209,56,-1,0,57,0,105,0,119,0,119,0,10,13,116,0,0,571,0,0,0,0,0
400,409,112,-1,0,73,0,179,0,221,0,230,0,20,50,224,0,0,1122,0,0,0,0,0
600,609,161,-1,0,79,0,230,0,318,0,334,0,19,63,317,0,0,1690,0,0,0,0,0
800,809,215,-1,0,81,0,268,0,395,0,437,0,19,77,395,0,0,2249,0,0,0,0,0
1000,1009,279,-1,0,84,0,291,0,468,0,540,0,20,97,472,3,6,2834,0,0,0,3,0
1200,1209,342,-1,0,90,0,314,0,526,0,622,0,20,133,538,4,8,3422,0,0,0,1,0
1400,1409,404,-1,0,89,0,354,0,619,0,728,0,20,126,614,5,10,3975,0,0,0,1,0
1600,1609,457,-1,0,90,0,358,0,691,0,829,0,20,150,696,3,6,4562,0,0,0,0,0
1800,1809,520,-1,0,95,0,384,0,721,0,916,0,20,152,734,3,6,5147,0,0,0,1,0
2000,2009,576,-1,0,95,0,400,0,783,0,991,0,20,162,773,1,2,5723,0,0,0,0,0
2200,2209,633,-1,0,91,0,411,0,828,0,1094,0,20,169,845,1,2,6296,0,0,0,1,0
2400,2409,692,-1,0,93,0,415,0,886,0,1190,0,20,163,895,3,6,6879,0,0,0,2,0
2600,2609,748,-1,0,95,0,426,0,925,0,1258,0,20,205,931,2,4,7468,0,0,0,0,0
2800,2809,820,-1,0,94,0,447,0,980,0,1346,0,20,185,968,1,2,8041,0,0,0,0,0
3000,3009,886,3,0,95,3,443,3,1022,5,1420,0,20,182,1006,0,0,8623,0,0,0,0,0
3200,3209,957,3,0,95,2,468,4,1063,9,1515,0,20,197,1071,1,2,9199,0,0,0,1,0
3400,3409,1021,3,2,94,3,471,7,1116,11,1597,0,20,218,1102,1,2,9781,0,0,0,0,0
3600,3609,1074,3,0,99,3,460,5,1120,7,1671,0.03,20,239,1132,1,2,10371,0,0,0,1,0
3800,3809,1131,3,0,95,3,486,4,1179,8,1749,0.0234,20,245,1162,1,2,10953,0,0,0,0,0
4000,4009,1200,3,0,93,1,479,4,1187,5,1796,0.0181,20,219,1192,3,6,11542,0,0,0,2,0
4200,4209,1261,3,1,98,2,495,4,1217,7,1876,0.0739,20,228,1220,3,6,12132,0,0,0,0,0
4400,4409,1313,3,1,97,0,470,5,1242,8,1924,0.0574,20,271,1227,3,6,12723,0,0,0,0,0
4600,4609,1375,3,1,96,2,495,2,1244,6,2001,0.0642,20,219,1260,1,2,13319,0,0,0,0,0
4800,4809,1434,3,0,95,1,500,4,1298,7,2100,0.0672,20,261,1270,1,2,13903,0,0,0,1,0
5000,5009,1490,3,0,98,1,514,5,1358,6,2196,0.0514,20,267,1298,1,2,14485,0,0,0,0,0
5200,5209,1554,3,0,95,2,518,1,1390,6,2280,0.0645,20,297,1398,1,2,15057,0,0,0,0,0
5400,5409,1615,3,0,99,1,542,1,1454,7,2425,0.0847,20,309,1453,0,0,15626,0,0,0,0,0
5600,5609,1663,5,0,102,4,541,5,1456,6,2510,0.09,20,320,1473,1,2,16219,1,0,0,1,3
5800,5809,1722,7,2,97,0,545,11,1516,10,2569,0.1008,20,264,1496,1,2,16808,1,0,0,0,3
6000,6009,1782,9,0,99,1,528,6,1561,18,2689,0.1045,20,315,1533,1,2,17379,1,0,0,0,3
6200,6209,1837,11,0,99,6,548,13,1590,20,2761,0.1021,20,286,1609,1,2,17958,1,0,0,0,3
6400,6409,1892,13,2,99,7,557,11,1650,19,2874,0.0902,20,350,1618,2,4,18530,1,0,0,1,3
6600,6609,1954,15,1,99,1,556,14,1646,19,2920,0.0738,20,337,1650,2,4,19119,1,0,0,0,3
6800,6809,2008,17,1,102,3,548,15,1674,19,2976,0.0955,20,311,1645,2,4,19710,1,0,0,0,3
7000,7009,2067,19,0,97,3,554,15,1689,20,3092,0.1071,20,327,1700,3,6,20296,1,0,0,1,3
7200,7209,2136,21,1,101,7,568,13,1714,20,3175,0.0981,20,340,1731,3,6,20871,1,0,0,0,3
7400,7409,2189,24,0,100,6,565,17,1703,20,3225,0.0956,20,336,1737,2,4,21463,1,0,0,0,3
7600,7609,2240,27,1,99,8,563,20,1791,19,3315,0.1114,20,332,1733,1,2,22058,1,0,0,0,3
7800,7809,2296,29,0,101,7,563,18,1771,20,3375,0.1136,20,319,1774,1,2,22645,1,0,0,0,3
8000,8009,2361,31,3,99,6,577,18,1818,20,3463,0.1422,20,382,1788,1,2,23231,1,0,0,0,3
8200,8209,2424,33,2,98,9,587,20,1837,20,3519,0.1372,20,370,1830,2,4,23828,1,0,0,1,3
8400,8409,2482,36,0,101,9,572,20,1832,20,3586,0.1099,20,406,1863,3,6,24430,1,0,0,1,3
8600,8609,2547,38,1,100,9,588,19,1876,20,3634,0.1137,20,364,1871,2,4,25018,1,0,0,0,3
8800,8809,2604,40,1,101,10,587,20,1893,20,3710,0.1095,20,393,1899,2,4,25610,1,0,0,1,3
9000,9009,2658,42,2,102,9,588,20,1905,20,3808,0.1191,20,383,1865,2,4,26196,1,0,0,0,3
9200,9209,2713,44,0,102,9,578,18,1931,20,3857,0.1159,20,390,1854,2,4,26784,1,0,0,0,3
9400,9409,2767,46,2,99,12,591,20,1916,20,3922,0.109,20,353,1895,1,2,27378,1,0,0,0,3
9600,9609,2830,48,2,99,12,599,20,1981,20,4044,0.1063,20,386,1976,2,4,27947,1,0,0,1,3
9800,9809,2895,50,2,98,11,596,20,1965,20,4125,0.0947,20,388,1965,2,4,28537,1,0,0,0,3
10000,10009,2957,53,0,99,8,603,20,2015,20,4167,0.0912,20,391,2004,2,4,29130,1,0,0,0,3
10200,10209,3004,55,1,99,14,610,18,2029,20,4227,0.0786,20,444,2024,3,6,29721,1,0,0,1,3
10400,10409,3059,58,2,99,10,598,19,2026,20,4301,0.0873,20,374,2010,3,6,30314,1,0,0,0,3
10600,10609,3120,60,2,98,12,611,20,2040,20,4323,0.0938,20,433,2010,2,4,30913,1,0,0,0,3
10800,10809,3177,63,2,101,10,606,20,2044,20,4396,0.0749,20,393,2014,2,4,31509,1,0,0,0,3
11000,11009,3229,65,3,99,13,588,20,2070,20,4540,0.0989,20,467,2079,1,2,32096,1,0,0,0,3
11200,11209,3290,67,2,100,9,614,20,2102,20,4620,0.0847,20,424,2156,2,4,32680,1,0,0,1,3
11400,11409,3346,69,3,101,8,621,18,2120,20,4685,0.0868,20,424,2114,2,4,33279,1,0,0,0,3
11600,11609,3399,71,4,101,10,610,20,2077,20,4779,0.0945,20,415,2142,3,6,33873,1,0,0,1,3
11800,11809,3458,74,3,96,13,601,20,2166,20,4815,0.1246,20,422,2126,4,8,34465,1,0,0,2,3
12000,12009,3520,76,2,101,12,608,20,2186,20,4909,0.1137,20,447,2211,5,10,35058,1,0,0,1,3
12200,12209,3571,78,2,101,14,618,20,2161,20,5002,0.1211,20,461,2170,4,8,35658,1,0,0,0,3
12400,12409,3634,80,1,100,9,624,20,2216,20,5037,0.1072,20,442,2178,5,10,36257,1,0,0,1,3
12600,12609,3691,82,1,100,15,628,19,2200,20,5080,0.1197,20,475,2212,6,12,36859,1,0,0,1,3
12800,12809,3750,86,2,96,10,626,20,2224,20,5139,0.1061,20,439,2198,4,8,37458,1,0,0,0,3
13000,13009,3807,89,4,97,9,626,19,2187,20,5233,0.1289,20,452,2214,4,8,38059,1,0,0,0,3
13200,13209,3857,92,2,101,16,631,19,2210,20,5280,0.1121,20,466,2232,6,12,38659,1,0,0,2,3
13400,13409,3928,95,0,100,13,605,20,2257,20,5338,0.0937,20,478,2220,4,8,39259,1,0,0,0,3
13600,13609,3990,98,3,98,13,637,20,2211,20,5389,0.1063,20,438,2228,5,10,39862,1,0,0,1,3
13800,13809,4055,101,5,101,14,616,20,2207,20,5431,0.1152,20,478,2272,4,8,40456,1,0,0,0,3
14000,14009,4109,105,3,101,13,621,20,2276,20,5522,0.1326,20,483,2256,4,8,41049,1,0,0,1,3
