degree,count
3,4432
4,1663
5,934
6,571
7,381
8,290
9,243
10,140
11,116
12,112
13,97
14,91
15,71
16,49
17,52
18,47
19,45
20,37
21,36
22,33
23,28
24,20
25,24
26,31
27,19
28,19
29,19
30,12
31,15
32,15
33,17
34,16
35,14
36,10
37,10
38,11
39,7
40,10
41,11
42,7
43,9
44,7
45,5
46,9
47,3
48,10
49,9
50,5
51,8
52,8
53,6
54,5
55,1
56,8
57,6
58,1
59,2
60,6
61,3
62,2
63,3
64,4
65,1
66,1
67,1
68,4
69,4
70,2
73,2
74,3
76,1
77,4
78,1
79,1
80,1
81,3
82,2
83,3
84,2
85,1
86,3
87,5
89,2
90,2
91,2
92,3
94,3
95,1
98,1
99,1
100,2
102,1
103,2
104,1
105,1
106,3
107,1
109,2
110,2
111,2
113,1
115,1
116,1
120,1
125,2
126,1
127,1
132,1
133,1
134,1
136,1
138,1
139,1
141,1
142,1
143,1
144,1
145,1
146,1
151,1
153,1
167,1
176,1
185,1
187,2
189,1
190,1
194,1
202,1
203,1
209,1
211,1
212,1
213,1
215,1
224,1
231,1
235,1
248,1
253,1
262,1
272,1
276,1
286,1
291,1
300,1
324,1
327,1
345,1
352,1
353,1
359,1
381,1
442,1
467,1
552,1
565,1
