degree,count
3,4426
4,1668
5,886
6,546
7,395
8,266
9,234
10,181
11,146
12,110
13,94
14,107
15,77
16,54
17,55
18,65
19,42
20,37
21,31
22,29
23,26
24,30
25,28
26,17
27,15
28,18
29,13
30,17
31,15
32,12
33,19
34,4
35,14
36,8
37,13
38,15
39,8
40,8
41,11
42,10
43,11
44,4
45,10
46,14
47,4
48,5
49,3
50,7
51,7
52,3
53,4
54,3
55,8
56,6
57,5
58,5
59,6
60,6
61,3
62,1
63,5
64,6
66,3
67,3
68,5
69,2
70,3
71,3
73,4
74,1
75,2
76,1
77,1
78,1
79,1
80,3
82,2
83,4
84,2
85,1
86,3
87,2
90,2
91,1
93,3
94,1
95,1
96,1
97,1
98,1
99,1
100,2
101,1
102,2
105,2
108,1
111,1
112,2
113,1
114,5
116,1
117,1
120,2
123,1
124,3
127,1
128,1
129,1
130,1
132,2
134,1
136,1
137,1
141,1
142,1
144,1
150,1
153,2
154,1
156,1
157,1
161,1
163,2
164,1
167,2
181,1
190,3
195,2
197,1
209,1
211,1
212,1
216,1
231,2
252,1
261,1
263,1
269,1
272,1
326,1
380,1
400,1
409,1
414,1
421,1
425,1
438,1
445,1
