degree,count
3,8927
4,3228
5,1727
6,1100
7,785
8,566
9,480
10,392
11,308
12,248
13,195
14,168
15,141
16,132
17,104
18,103
19,84
20,72
21,71
22,69
23,61
24,62
25,65
26,46
27,35
28,33
29,37
30,32
31,26
32,30
33,27
34,28
35,17
36,21
37,27
38,16
39,20
40,13
41,14
42,12
43,21
44,16
45,9
46,13
47,9
48,13
49,4
50,8
51,12
52,10
53,15
54,7
55,8
56,6
57,5
58,7
59,7
60,11
61,7
62,6
63,10
64,8
65,2
66,5
67,3
68,1
69,2
70,3
71,4
72,9
73,4
74,6
76,4
77,3
78,3
79,3
80,3
81,4
82,1
83,5
84,2
86,5
87,7
89,3
90,8
91,1
92,1
93,6
94,3
95,4
96,2
97,3
98,1
99,4
100,3
101,3
102,3
103,3
104,2
106,1
107,3
108,3
109,1
110,2
112,1
113,2
114,2
115,3
116,2
118,1
119,2
120,1
121,1
122,2
123,2
124,2
125,2
126,1
127,1
128,1
130,3
132,2
133,1
134,2
135,2
137,2
138,2
140,1
141,2
142,2
143,2
144,1
146,3
147,2
150,1
151,1
153,1
154,3
156,1
157,1
158,2
159,1
163,2
167,1
170,1
172,1
173,3
175,1
176,1
177,1
182,2
185,1
186,1
188,1
189,4
193,2
194,2
198,1
205,1
206,1
216,1
221,1
222,1
230,1
231,2
233,1
237,1
244,1
245,1
248,1
250,1
253,1
264,1
265,1
266,1
269,1
274,1
284,1
285,1
292,1
295,1
299,1
304,1
316,1
331,1
338,1
356,1
370,1
396,1
404,1
414,1
417,1
437,1
447,1
481,1
491,1
501,1
503,1
533,1
534,1
557,1
579,1
599,1
827,1
876,1
943,1
