degree,count
3,3392
4,1420
5,869
6,631
7,458
8,342
9,299
10,231
11,205
12,164
13,156
14,139
15,102
16,119
17,103
18,59
19,94
20,80
21,68
22,48
23,54
24,45
25,44
26,33
27,40
28,37
29,33
30,42
31,36
32,36
33,26
34,24
35,23
36,16
37,20
38,23
39,17
40,20
41,19
42,17
43,15
44,12
45,17
46,12
47,8
48,12
49,13
50,5
51,8
52,7
53,9
54,6
55,9
56,8
57,7
58,9
59,6
60,5
61,1
62,5
63,2
64,6
65,6
66,6
67,5
68,2
69,3
70,7
71,3
72,4
73,2
74,4
75,3
76,5
77,3
78,2
79,1
80,2
81,3
82,4
83,6
84,1
85,3
86,2
87,4
88,4
90,3
91,2
92,3
93,4
94,3
95,2
96,5
98,7
99,4
100,1
101,4
102,3
103,2
104,2
105,2
107,2
108,1
109,1
110,1
111,1
113,1
114,3
115,2
116,4
117,3
118,2
119,1
121,1
122,2
123,3
124,1
125,3
126,1
127,1
129,1
132,1
133,1
134,1
135,1
136,3
140,1
141,4
143,1
144,2
145,2
148,2
149,1
154,1
155,1
158,1
165,1
166,1
167,1
169,2
170,2
175,1
177,2
178,1
179,1
181,1
183,1
188,2
189,3
190,2
191,2
195,1
198,1
208,2
213,1
216,2
220,1
233,1
235,1
236,1
247,1
252,1
254,1
258,1
272,1
283,1
287,1
288,2
313,1
373,1
386,1
400,1
427,1
450,1
479,1
556,1
585,1
656,1
684,1
759,1
