degree,count
3,4268
4,1600
5,930
6,539
7,398
8,294
9,227
10,178
11,155
12,136
13,105
14,98
15,79
16,67
17,60
18,71
19,55
20,48
21,44
22,40
23,41
24,28
25,25
26,30
27,26
28,20
29,17
30,17
31,14
32,14
33,13
34,9
35,11
36,16
37,10
38,13
39,13
40,11
41,6
42,7
43,8
44,14
45,7
46,7
47,3
48,7
49,5
50,4
51,7
52,6
53,6
54,9
55,2
56,4
57,8
58,4
59,4
60,2
61,6
62,6
63,5
64,4
65,4
66,1
67,2
68,2
69,5
70,6
71,2
72,2
73,1
74,1
75,1
76,2
77,2
78,3
79,1
80,3
81,1
82,1
83,2
84,1
85,2
86,2
87,4
89,1
90,2
91,4
92,1
93,2
94,1
95,2
96,1
97,3
101,2
102,5
105,2
106,1
107,4
108,2
109,1
110,3
111,1
112,1
113,1
114,1
117,1
120,2
121,2
123,3
124,1
125,1
128,1
129,2
131,1
132,1
133,3
137,3
139,2
141,1
142,2
146,1
158,1
160,1
161,1
167,1
169,1
176,1
179,1
180,1
185,1
195,1
197,1
198,1
200,1
205,1
213,1
215,1
217,1
247,1
254,1
259,1
274,1
275,1
281,1
309,1
319,1
320,1
458,1
491,1
505,1
513,1
705,1
