step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,entK,entC,entL,holderEntryRule,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,60,-1,0,57,0,103,0,115,0,114,0,12,20,113,0,0,560,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,114,-1,0,69,0,163,0,208,0,222,0,16,48,214,0,0,1131,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,178,-1,0,76,0,201,0,276,0,300,0,18,72,273,1,2,1710,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,245,-1,0,80,0,241,0,359,0,404,0,20,61,351,2,4,2280,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,316,-1,0,81,0,264,0,415,0,474,0,18,70,412,2,4,2855,0,0,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,381,-1,0,86,0,307,0,506,0,590,0,20,75,507,1,2,3399,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,438,-1,0,88,0,332,0,567,0,682,0,20,106,569,0,0,3972,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,505,-1,0,91,0,339,0,626,0,756,0,20,99,614,0,0,4529,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,569,-1,0,92,0,376,0,687,0,840,0,20,118,696,0,0,5090,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,634,-1,0,91,0,386,0,743,0,939,0,20,131,746,0,0,5659,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,692,-1,0,92,0,405,0,787,0,1017,0,20,178,808,0,0,6234,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,747,-1,0,93,0,408,0,855,0,1120,0,20,172,863,4,8,6816,0,3,0,1,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,803,-1,0,96,0,421,0,896,0,1194,0,20,169,913,7,14,7402,0,3,0,2,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,857,-1,0,92,0,443,0,953,0,1281,0,20,187,947,8,16,8002,0,1,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,919,-1,0,93,0,433,0,956,0,1366,0,20,224,993,6,12,8600,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,989,-1,0,95,0,453,0,1033,0,1434,0,20,220,1025,2,4,9171,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1056,-1,0,93,0,447,0,1042,0,1507,0,20,188,1064,1,2,9762,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3600,3609,1117,-1,0,94,0,453,0,1074,0,1587,0,20,201,1102,0,0,10350,0,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
