step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,61,-1,0,57,0,103,0,114,0,118,0,13,22,116,0,0,576,0
400,409,122,-1,0,70,0,164,0,203,0,212,0,15,29,204,0,0,1124,0
600,609,185,-1,0,76,0,203,0,280,0,299,0,18,54,274,0,0,1698,0
800,809,256,-1,0,81,0,244,0,353,0,395,0,20,67,351,0,0,2259,0
1000,1009,305,-1,0,85,0,288,0,455,0,518,0,20,92,454,0,0,2820,0
1200,1209,365,-1,0,88,0,314,0,531,0,625,0,20,120,526,0,0,3390,0
1400,1409,435,-1,0,89,0,331,0,583,0,691,0,20,110,569,0,0,3976,0
1600,1609,498,-1,0,92,0,361,0,633,0,777,0,20,110,622,0,0,4542,0
1800,1809,559,-1,0,90,0,386,0,720,0,889,0,20,162,721,0,0,5115,0
2000,2009,624,-1,0,90,0,389,0,752,0,962,0,20,162,749,0,0,5699,0
2200,2209,681,-1,0,94,0,402,0,802,0,1046,0,20,154,804,0,0,6289,0
2400,2409,739,-1,0,90,0,410,0,848,0,1123,0,20,172,842,0,0,6868,0
2600,2609,805,-1,0,95,0,415,0,886,0,1195,0,20,197,899,0,0,7449,0
2800,2809,866,-1,0,91,0,428,0,906,0,1272,0,20,187,911,0,0,8036,0
3000,3009,926,-1,0,94,0,439,0,993,0,1374,0,20,189,984,0,0,8610,0
3200,3209,986,-1,0,93,0,439,0,1021,0,1456,0,20,218,1017,0,0,9189,0
3400,3409,1045,-1,0,95,0,463,0,1089,0,1545,0,20,192,1074,0,0,9774,0
3600,3609,1110,-1,0,98,0,470,0,1121,0,1638,0,20,212,1110,0,0,10349,0
3800,3809,1168,-1,0,94,0,478,0,1171,0,1738,0,20,260,1146,0,0,10923,0
4000,4009,1228,-1,0,97,0,485,0,1201,0,1798,0,20,249,1183,0,0,11509,0
4200,4209,1280,-1,0,97,0,489,0,1244,0,1902,0,20,276,1245,0,0,12081,0
4400,4409,1336,3,0,99,1,508,4,1298,12,2010,0,20,230,1303,0,0,12655,0
4600,4609,1386,3,1,97,4,516,7,1349,13,2138,0.0138,20,276,1364,0,0,13229,0
4800,4809,1438,3,0,97,1,543,1,1420,10,2243,0.0365,20,267,1421,0,0,13788,0
5000,5009,1503,3,0,98,2,531,4,1464,11,2333,0.0413,20,298,1469,0,0,14361,0
5200,5209,1565,3,0,99,3,559,6,1510,14,2424,0.032,20,325,1508,0,0,14944,0
5400,5409,1632,3,0,100,4,562,8,1517,8,2486,0.0471,20,344,1543,0,0,15525,0
5600,5609,1705,3,0,99,3,545,5,1527,10,2546,0.0662,20,323,1528,0,0,16100,0
5800,5809,1765,3,1,100,1,568,7,1591,11,2613,0.071,20,294,1609,0,0,16683,1
6000,6009,1819,3,1,98,1,550,4,1632,7,2699,0.0562,20,322,1586,0,0,17267,1
6200,6209,1870,3,0,99,2,540,6,1643,11,2767,0.0427,20,316,1632,0,0,17851,1
6400,6409,1929,3,1,104,0,544,5,1632,8,2839,0.0319,20,343,1678,0,0,18440,1
6600,6609,1981,3,0,100,2,550,6,1658,9,2910,0.0455,20,291,1638,0,0,19026,1
6800,6809,2049,3,0,98,0,577,8,1681,9,2987,0.0742,20,370,1691,0,0,19612,1
7000,7009,2108,3,1,100,1,561,8,1724,7,3070,0.0821,20,329,1714,0,0,20203,1
7200,7209,2167,3,0,102,0,563,5,1740,8,3134,0.0635,20,358,1731,0,0,20791,1
7400,7409,2229,3,0,98,4,579,7,1760,11,3179,0.0985,20,326,1739,0,0,21378,1
7600,7609,2306,3,0,100,0,578,6,1755,10,3240,0.1166,20,337,1742,0,0,21961,1
7800,7809,2363,3,0,98,1,568,1,1788,7,3361,0.1218,20,345,1776,0,0,22536,1
8000,8009,2429,3,0,102,2,565,5,1801,12,3435,0.1134,20,377,1811,0,0,23123,1
8200,8209,2472,3,0,97,1,563,5,1819,7,3501,0.1285,20,380,1803,0,0,23711,1
8400,8409,2528,3,0,100,1,578,4,1831,12,3593,0.1006,20,379,1854,0,0,24298,1
8600,8609,2583,3,0,101,0,563,5,1878,12,3669,0.1032,20,387,1827,0,0,24890,1
8800,8809,2639,3,0,100,4,591,7,1915,10,3756,0.0985,20,387,1888,0,0,25470,1
9000,9009,2706,3,0,98,1,602,5,1949,9,3860,0.121,20,420,1905,0,0,26035,1
9200,9209,2763,3,0,99,0,577,6,1991,6,3947,0.1546,20,390,1982,0,0,26629,1
9400,9409,2826,3,0,99,0,604,4,2017,7,4019,0.1548,20,391,1993,0,0,27203,1
9600,9609,2879,3,0,98,0,576,5,2027,10,4102,0.166,20,422,2031,0,0,27779,1
9800,9809,2942,3,0,100,1,610,2,2025,9,4187,0.1528,20,413,2036,0,0,28365,1
10000,10009,3000,3,0,98,2,611,4,2042,6,4222,0.2089,20,396,2031,0,0,28956,1
10200,10209,3060,3,0,100,1,600,2,2051,14,4268,0.2049,20,421,2048,0,0,29550,1
10400,10409,3114,3,0,101,2,621,5,2125,5,4362,0.195,20,419,2068,0,0,30125,1
10600,10609,3181,3,0,100,0,603,6,2119,10,4453,0.1538,20,407,2069,0,0,30716,1
10800,10809,3241,3,0,99,0,629,4,2146,9,4466,0.1808,20,428,2086,0,0,31302,1
11000,11009,3304,3,0,98,2,614,3,2126,7,4580,0.2151,20,423,2129,0,0,31889,1
11200,11209,3363,3,0,101,0,632,2,2116,6,4626,0.1699,20,441,2140,0,0,32475,1
11400,11409,3411,3,0,102,1,613,4,2153,11,4683,0.1337,20,387,2139,0,0,33064,1
11600,11609,3474,3,1,99,0,615,6,2158,9,4754,0.1447,20,462,2128,0,0,33649,1
11800,11809,3528,3,0,102,0,607,2,2135,5,4812,0.1469,20,455,2194,0,0,34240,1
12000,12009,3579,3,0,103,1,605,7,2211,9,4870,0.1153,20,445,2146,0,0,34822,1
12200,12209,3642,3,0,101,0,608,0,2203,8,5008,0.13,20,457,2259,0,0,35398,1
12400,12409,3702,3,0,97,0,620,3,2226,9,5032,0.1018,20,501,2238,0,0,35984,1
12600,12609,3768,3,0,97,0,625,2,2256,9,5118,0.1125,20,490,2210,0,0,36566,1
12800,12809,3830,3,0,101,0,635,2,2206,9,5235,0.1449,20,462,2238,0,0,37157,1
13000,13009,3893,3,0,101,2,632,5,2238,11,5266,0.1737,20,448,2235,0,0,37742,1
13200,13209,3960,3,0,100,1,638,2,2294,6,5404,0.1867,20,530,2374,0,0,38294,1
13400,13409,4023,3,0,101,0,657,4,2341,11,5499,0.1694,20,494,2299,0,0,38886,1
13600,13609,4084,3,0,101,1,625,2,2332,5,5503,0.1333,20,476,2338,0,0,39471,1
13800,13809,4144,3,0,99,1,642,1,2327,12,5571,0.1444,20,504,2330,0,0,40060,1
14000,14009,4203,3,0,103,0,622,3,2367,11,5604,0.1133,20,460,2369,0,0,40650,1
14200,14209,4262,3,0,101,0,648,1,2319,10,5687,0.1284,20,467,2389,0,0,41242,1
14400,14409,4319,3,0,105,1,634,4,2374,11,5783,0.1338,20,480,2354,0,0,41830,1
14600,14609,4383,3,0,102,1,643,3,2387,8,5845,0.1048,20,487,2363,0,0,42420,1
14800,14809,4436,3,0,103,1,646,3,2414,9,5923,0.1102,20,474,2358,0,0,43008,1
