degree,count
3,2170
4,859
5,433
6,282
7,192
8,157
9,129
10,83
11,72
12,56
13,51
14,49
15,34
16,26
17,28
18,27
19,23
20,21
21,11
22,17
23,22
24,19
25,11
26,10
27,14
28,9
29,5
30,7
31,4
32,3
33,5
34,4
35,6
36,7
37,7
38,3
39,10
40,6
41,3
42,5
43,5
44,4
45,3
46,4
47,2
48,2
49,2
50,3
51,6
52,2
53,2
54,1
55,3
56,1
57,2
58,3
59,4
60,1
61,2
62,2
63,1
64,1
65,2
66,1
67,2
68,2
70,1
72,2
73,1
74,1
76,1
77,3
78,1
79,1
80,1
81,1
82,1
83,2
85,1
86,4
89,1
90,2
91,1
92,1
94,1
95,1
96,2
99,1
101,1
102,2
104,1
106,1
111,1
120,1
121,1
122,2
131,1
137,1
139,1
145,1
148,1
155,1
158,1
160,1
162,2
168,1
175,1
189,1
192,1
194,1
199,1
204,1
213,2
215,1
218,1
231,1
232,1
249,1
276,1
280,1
351,1
