degree,count
3,6631
4,2496
5,1361
6,813
7,569
8,434
9,308
10,274
11,213
12,193
13,145
14,122
15,113
16,86
17,86
18,77
19,71
20,61
21,55
22,57
23,42
24,30
25,41
26,38
27,25
28,32
29,32
30,25
31,25
32,24
33,14
34,21
35,16
36,21
37,9
38,11
39,18
40,15
41,10
42,8
43,13
44,9
45,9
46,12
47,4
48,10
49,4
50,11
51,10
52,4
53,11
54,10
55,8
56,8
57,12
58,9
59,8
60,7
61,7
62,6
63,3
64,2
65,2
66,5
67,7
68,4
69,2
70,4
71,3
72,2
73,6
74,5
75,4
76,1
77,1
78,3
79,2
80,3
81,3
82,2
83,2
84,2
85,4
86,3
87,1
88,3
89,1
90,4
91,2
92,3
93,2
94,1
95,1
96,4
97,3
98,2
99,2
101,2
102,1
103,2
104,1
105,2
106,1
107,2
108,3
109,1
110,3
111,1
114,2
115,2
117,1
119,2
120,1
125,3
126,2
129,2
132,1
133,1
137,1
138,2
141,2
142,1
143,1
147,1
149,1
150,2
153,1
157,1
161,1
164,1
166,2
167,1
169,1
170,2
173,1
175,1
176,1
177,1
178,2
185,2
186,1
188,3
190,2
192,2
199,1
205,2
206,2
207,1
216,1
223,1
225,2
227,2
238,1
246,1
255,1
259,1
262,1
264,1
277,1
279,1
283,1
298,2
299,1
309,1
317,1
338,1
366,1
387,1
410,1
431,1
441,1
445,1
447,1
524,1
554,1
560,1
634,1
713,1
767,1
