step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,65,-1,0,56,0,100,0,114,0,116,0,16,25,115,0,0,562,0
400,409,132,-1,0,71,0,170,0,206,0,218,0,18,54,210,0,0,1115,0
600,609,193,-1,0,77,0,218,0,287,0,308,0,19,52,286,0,0,1684,0
800,809,261,-1,0,81,0,246,0,350,0,388,0,18,47,350,0,0,2258,0
1000,1009,318,-1,0,81,0,259,0,404,0,451,0,19,60,403,0,0,2840,0
1200,1209,381,-1,0,84,0,288,0,475,0,561,0,20,74,475,0,0,3410,0
1400,1409,434,-1,0,86,0,310,0,534,0,652,0,20,124,531,1,2,3999,0
1600,1609,494,-1,0,85,0,323,0,587,0,730,0,20,118,583,0,0,4578,0
1800,1809,556,-1,0,86,0,341,0,641,0,808,0,20,131,647,0,0,5162,0
2000,2009,611,-1,0,87,0,354,0,685,0,889,0,20,118,692,1,2,5750,0
2200,2209,678,-1,0,92,0,391,0,783,0,1038,0,20,146,781,1,2,6289,0
2400,2409,741,-1,0,96,0,418,0,869,0,1141,0,20,151,863,2,4,6846,0
2600,2609,806,-1,0,94,0,434,0,910,0,1237,0,20,195,914,3,6,7423,0
2800,2809,864,-1,0,95,0,438,0,975,0,1331,0,20,186,971,3,6,8008,0
3000,3009,928,-1,0,96,0,442,0,1025,0,1426,0,20,193,1015,2,4,8587,0
3200,3209,992,-1,0,99,0,458,0,1075,0,1498,0,20,179,1054,2,4,9171,0
3400,3409,1056,-1,0,95,0,469,0,1111,0,1590,0,20,244,1102,3,6,9751,0
3600,3609,1120,-1,0,100,0,487,0,1158,0,1644,0,20,237,1165,3,6,10322,0
3800,3809,1174,-1,0,98,0,486,0,1199,0,1735,0,20,236,1183,2,4,10909,0
4000,4009,1235,-1,0,97,0,495,0,1208,0,1814,0,20,238,1225,0,0,11494,0
4200,4209,1301,-1,0,98,0,500,0,1253,0,1891,0,20,252,1239,1,2,12076,0
4400,4409,1361,3,0,98,2,506,4,1302,9,1973,0,20,245,1302,2,4,12662,0
4600,4609,1413,3,0,98,2,508,4,1312,9,2056,0,20,256,1318,1,2,13253,0
4800,4809,1472,3,0,94,2,512,4,1321,9,2103,0,20,260,1323,1,2,13842,0
5000,5009,1536,3,0,99,2,507,3,1366,7,2188,0,20,265,1365,5,10,14437,0
5200,5209,1596,3,0,98,2,528,4,1422,12,2297,0,20,293,1451,5,10,15011,0
5400,5409,1654,3,1,100,2,518,2,1478,6,2368,0,20,293,1446,5,10,15603,0
5600,5609,1712,3,0,98,1,529,3,1477,10,2435,0,20,273,1438,5,10,16205,0
5800,5809,1769,3,0,96,2,534,2,1488,9,2492,0,20,283,1506,4,8,16801,0
6000,6009,1822,3,0,97,4,534,2,1496,9,2586,0.02,20,299,1521,8,16,17400,0
6200,6209,1874,3,0,96,1,531,3,1535,15,2661,0.0456,20,285,1554,8,16,17998,0
6400,6409,1931,3,1,99,1,549,1,1559,14,2763,0.0805,20,310,1566,7,14,18601,0
6600,6609,1988,5,0,97,3,548,6,1608,13,2823,0.0952,20,331,1565,9,18,19209,1
6800,6809,2041,8,1,97,2,556,8,1637,18,2917,0.0902,20,344,1671,7,14,19811,1
7000,7009,2092,10,1,97,2,546,10,1633,16,2961,0.0967,20,324,1627,5,10,20408,1
7200,7209,2159,12,0,99,5,554,17,1662,19,3061,0.0993,20,353,1687,5,10,21001,1
