step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,61,-1,0,57,0,103,0,114,0,118,0,13,22,116,0,0,576,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,114,-1,0,68,0,167,0,212,0,224,0,15,36,212,0,0,1146,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,177,-1,0,77,0,210,0,282,0,308,0,19,52,288,0,0,1731,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,229,-1,0,79,0,250,0,377,0,416,0,20,73,375,0,0,2300,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,283,-1,0,84,0,288,0,460,0,541,0,20,84,464,0,0,2863,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,352,-1,0,86,0,301,0,516,0,600,0,20,100,513,0,0,3436,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,408,-1,0,88,0,337,0,579,0,698,0,20,114,586,0,0,3997,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,456,3,0,92,7,355,11,645,13,806,0,20,102,662,0,0,4575,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,523,3,1,91,8,375,9,702,16,886,0,20,138,696,0,0,5160,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,586,3,0,90,3,375,7,746,10,958,0,20,166,760,0,0,5741,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,646,3,2,94,4,402,8,806,14,1058,0,20,157,800,0,0,6305,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,709,3,0,92,4,407,11,868,12,1170,0.0245,20,171,864,0,0,6878,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,769,3,0,91,2,425,8,930,14,1260,0.0273,20,200,918,0,0,7452,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,830,3,0,92,4,417,9,956,12,1337,0.0302,20,179,956,0,0,8031,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,892,3,0,93,1,438,9,1021,11,1416,0.0397,20,195,987,0,0,8605,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,956,3,0,96,3,457,7,1049,11,1500,0.0307,20,238,1052,0,0,9183,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1017,3,0,96,3,461,7,1074,12,1591,0.0594,20,197,1076,0,0,9762,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3600,3609,1069,3,1,93,2,460,8,1126,13,1663,0.0715,20,210,1116,0,0,10348,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3800,3809,1126,3,0,96,2,489,10,1146,9,1718,0.1173,20,251,1128,0,0,10937,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
4000,4009,1179,3,2,94,3,477,10,1184,9,1797,0.0918,20,217,1167,0,0,11525,1,3,3,0,-1,0,0,-1,0,0,-1,0,0
4200,4209,1243,3,0,95,2,475,7,1211,8,1888,0.1048,20,232,1180,0,0,12112,1,3,5,0,-1,0,0,-1,0,0,-1,0,0
4400,4409,1303,3,0,97,1,474,4,1253,6,1960,0.0943,20,240,1254,0,0,12702,1,3,2,0,-1,0,0,-1,0,0,-1,0,0
4600,4609,1362,3,0,97,2,482,5,1318,6,2057,0.0735,20,260,1296,0,0,13284,1,3,6,0,-1,0,0,-1,0,0,-1,0,0
4800,4809,1417,3,0,99,0,488,4,1293,8,2147,0.0768,20,237,1308,0,0,13874,1,3,4,0,-1,0,0,-1,0,0,-1,0,0
5000,5009,1470,3,1,98,2,506,4,1364,5,2248,0.0594,20,269,1384,0,0,14457,1,3,2,0,-1,0,0,-1,0,0,-1,0,0
5200,5209,1519,3,0,98,3,520,5,1362,7,2307,0.0455,20,284,1380,0,0,15052,1,3,1,0,-1,0,0,-1,0,0,-1,0,0
5400,5409,1570,3,0,99,1,520,8,1409,6,2407,0.0344,20,284,1426,0,0,15641,1,3,10,0,-1,0,0,-1,0,0,-1,0,0
5600,5609,1632,3,0,95,1,513,5,1448,6,2476,0.0256,20,275,1413,0,0,16228,1,3,0,0,-1,0,0,-1,0,0,-1,0,0
5800,5809,1681,3,0,101,1,531,4,1474,5,2580,0.0077,20,282,1480,0,0,16820,0,3,3,0,-1,0,0,-1,0,0,-1,0,0
6000,6009,1742,3,0,95,0,521,4,1467,8,2653,0.0024,20,291,1518,0,0,17406,0,3,3,1,-1,0,0,-1,0,0,-1,0,0
