degree,count
3,4437
4,1641
5,865
6,587
7,384
8,276
9,231
10,150
11,132
12,126
13,100
14,88
15,75
16,80
17,65
18,53
19,41
20,37
21,49
22,24
23,23
24,35
25,27
26,24
27,25
28,20
29,13
30,18
31,11
32,14
33,18
34,13
35,12
36,13
37,6
38,8
39,5
40,8
41,12
42,9
43,13
44,7
45,4
46,4
47,6
48,6
49,9
50,9
51,6
52,6
53,5
54,4
55,2
56,1
57,3
58,6
59,5
61,5
62,1
63,5
64,3
65,4
68,3
69,3
70,2
71,2
72,3
73,4
74,2
75,3
76,1
77,1
78,3
80,1
81,3
83,2
84,1
85,4
86,3
87,3
88,1
89,2
91,1
92,2
93,3
94,2
95,2
96,3
99,1
101,3
102,2
103,2
104,3
105,1
106,3
107,1
109,1
112,2
114,1
115,2
116,2
117,1
119,3
120,1
122,2
125,2
129,1
132,1
133,3
134,1
136,3
138,1
139,3
140,2
144,2
145,1
147,1
151,1
153,1
157,2
158,1
167,2
175,1
181,1
185,1
197,1
216,1
218,1
227,1
249,1
258,1
260,1
262,1
267,2
287,1
289,1
291,1
292,1
293,1
304,1
333,1
349,1
467,1
474,1
