step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending,deg1,s8i1,trending1,deg2,s8i2,trending2,deg3,s8i3,trending3,deg4,s8i4,trending4
200,209,62,-1,0,58,0,100,0,115,0,116,0,13,21,114,0,0,563,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
400,409,118,-1,0,69,0,166,0,209,0,225,0,19,42,213,0,0,1131,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
600,609,183,-1,0,74,0,208,0,282,0,305,0,19,65,280,0,0,1704,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
800,809,255,-1,0,81,0,239,0,360,0,398,0,20,63,351,0,0,2276,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1000,1009,310,-1,0,81,0,271,0,418,0,493,0,20,80,421,1,2,2856,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1200,1209,372,-1,0,84,0,295,0,477,0,557,0,20,81,465,2,4,3443,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1400,1409,427,-1,0,83,0,302,0,531,0,647,0,20,110,533,2,4,4032,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1600,1609,485,-1,0,86,0,332,0,604,0,750,0,20,117,604,2,4,4623,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
1800,1809,545,3,0,87,0,354,9,663,9,855,0,20,152,678,2,4,5186,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2000,2009,606,3,0,89,0,357,12,738,12,945,0,20,158,727,1,2,5767,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2200,2209,670,3,0,89,5,388,10,760,9,1005,0,20,164,762,1,2,6357,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2400,2409,746,3,0,96,4,398,5,839,12,1111,0,20,172,834,2,4,6919,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2600,2609,811,3,1,92,4,417,11,875,6,1169,0.0225,20,152,866,2,4,7507,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
2800,2809,878,3,0,94,0,418,7,901,9,1235,0.0536,20,172,892,4,8,8106,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3000,3009,940,3,0,96,2,435,5,949,2,1329,0.0417,20,182,943,3,6,8686,0,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3200,3209,997,5,0,94,1,447,9,1009,10,1428,0.0622,20,195,989,5,10,9270,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3400,3409,1057,7,0,93,6,470,11,1095,13,1563,0.0701,20,184,1082,3,6,9824,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
3600,3609,1116,9,1,97,6,474,10,1138,20,1644,0.0715,20,202,1108,2,4,10406,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0
