degree,count
3,4209
4,1602
5,912
6,565
7,433
8,328
9,257
10,194
11,160
12,138
13,122
14,91
15,76
16,62
17,58
18,48
19,43
20,38
21,33
22,34
23,31
24,31
25,34
26,21
27,27
28,18
29,20
30,20
31,20
32,11
33,15
34,12
35,12
36,17
37,15
38,14
39,13
40,15
41,5
42,11
43,8
44,4
45,7
46,3
47,4
49,6
50,7
51,4
52,2
53,2
54,3
55,4
56,6
57,5
58,6
59,5
60,3
61,6
62,2
63,2
64,2
65,6
66,6
67,5
68,1
69,2
70,2
71,4
72,3
73,2
74,2
75,3
76,2
77,3
78,3
79,4
80,2
81,2
82,3
83,2
84,2
85,4
86,2
87,2
88,1
90,3
91,4
92,5
93,2
95,2
96,1
98,1
99,1
100,1
102,1
104,1
105,2
106,3
107,2
109,1
110,1
112,3
113,2
115,1
117,2
118,1
123,1
124,1
127,2
130,5
131,1
135,3
137,1
142,2
145,1
148,1
151,2
152,2
154,1
158,1
164,1
165,2
170,2
177,1
193,1
195,1
198,1
200,1
215,1
220,1
224,1
231,1
234,1
265,2
292,1
365,1
384,1
386,1
479,1
498,1
