step,maxId,removed,holderDegree,s4,v4,s6,v6,s8,v8,s12,v12,holderTrend,bgSucc,bgHits,bgVis,rewireNodes,rewireJoins,edges,holderTrending
200,209,66,-1,0,59,0,103,0,111,0,114,0,16,29,112,0,0,553,0
400,409,127,-1,0,67,0,159,0,195,0,203,0,16,42,196,0,0,1096,0
600,609,184,-1,0,77,0,201,0,275,0,305,0,18,59,275,1,2,1676,0
800,809,241,-1,0,75,0,232,0,359,0,397,0,20,78,351,1,2,2249,0
1000,1009,297,-1,0,84,0,262,0,413,0,470,0,19,78,411,1,2,2838,0
1200,1209,351,-1,0,85,0,286,0,483,0,574,0,19,80,488,2,4,3405,0
1400,1409,396,-1,0,83,0,310,0,535,0,658,0,20,118,546,1,2,3997,0
1600,1609,458,-1,0,87,0,335,0,608,0,765,0,20,142,597,1,2,4576,0
1800,1809,524,-1,0,90,0,351,0,671,0,838,0,20,133,663,1,2,5148,0
2000,2009,577,-1,0,91,0,368,0,704,0,929,0,20,152,708,1,2,5739,0
2200,2209,642,-1,0,90,0,384,0,793,0,1046,0,20,166,796,0,0,6315,0
2400,2409,709,-1,0,92,0,389,0,813,0,1101,0,20,158,827,3,6,6904,0
2600,2609,772,-1,0,94,0,411,0,889,0,1208,0,20,176,887,4,8,7479,0
2800,2809,840,-1,0,93,0,424,0,904,0,1288,0,20,192,917,2,4,8049,0
3000,3009,900,3,1,93,2,425,6,942,11,1356,0,20,188,953,1,2,8635,0
3200,3209,954,3,0,94,6,423,5,991,7,1425,0.0164,20,195,994,1,2,9227,0
3400,3409,1021,3,0,95,1,449,3,1016,5,1533,0.0528,20,207,1039,2,4,9810,0
3600,3609,1089,5,0,92,2,445,7,1067,13,1601,0.0738,20,211,1045,3,6,10394,1
3800,3809,1136,7,0,97,3,451,9,1113,15,1698,0.0806,20,190,1128,2,4,10980,1
4000,4009,1200,9,0,95,2,452,11,1142,17,1778,0.1159,20,245,1146,2,4,11566,1
4200,4209,1263,11,1,93,9,479,14,1200,20,1874,0.1515,20,257,1188,2,4,12140,1
4400,4409,1322,13,0,93,6,466,11,1233,18,1972,0.146,20,248,1233,1,2,12726,1
4600,4609,1383,15,1,95,8,490,15,1246,18,2037,0.1431,20,228,1220,1,2,13317,1
4800,4809,1446,17,1,96,7,501,17,1259,20,2099,0.1649,20,257,1275,2,4,13913,1
5000,5009,1508,20,1,95,9,493,16,1312,19,2187,0.1869,20,269,1328,2,4,14491,1
5200,5209,1567,22,3,94,7,516,17,1387,20,2291,0.1816,20,288,1393,4,8,15071,1
5400,5409,1615,25,0,96,8,496,18,1427,20,2390,0.1753,20,297,1388,3,6,15671,1
