degree,count
3,4430
4,1639
5,892
6,548
7,372
8,253
9,243
10,169
11,141
12,118
13,102
14,99
15,77
16,72
17,65
18,57
19,48
20,47
21,35
22,23
23,32
24,24
25,34
26,15
27,23
28,22
29,18
30,18
31,16
32,16
33,16
34,9
35,10
36,6
37,12
38,7
39,9
40,9
41,3
42,9
43,7
44,7
45,11
46,10
47,4
48,8
49,7
50,11
51,13
52,3
53,3
54,3
55,7
56,5
57,3
58,5
59,10
60,2
61,4
62,1
63,5
64,4
65,6
66,5
67,5
68,2
69,1
71,3
72,1
75,4
76,3
77,4
78,4
79,3
80,2
81,2
82,2
84,1
86,1
88,2
89,2
90,2
91,2
92,1
93,1
95,1
96,1
97,2
98,2
99,1
100,3
101,1
102,1
104,3
105,3
106,1
107,1
109,1
110,2
111,2
114,1
117,1
118,1
120,2
121,2
122,1
124,1
127,1
132,1
135,4
144,1
152,1
153,1
156,1
159,2
160,2
161,1
165,1
169,1
171,1
178,2
182,1
185,3
192,1
194,1
204,1
216,1
217,1
224,1
232,1
233,1
234,1
254,1
260,1
267,1
284,1
299,1
312,1
319,1
332,1
357,1
363,1
371,1
385,1
386,1
484,1
