degree,count
3,4337
4,1700
5,907
6,569
7,378
8,307
9,224
10,177
11,129
12,137
13,95
14,84
15,76
16,58
17,51
18,53
19,44
20,50
21,43
22,37
23,36
24,28
25,20
26,20
27,17
28,20
29,13
30,19
31,18
32,10
33,13
34,13
35,17
36,6
37,5
38,9
39,3
40,11
41,7
42,9
43,9
44,3
45,4
46,8
47,4
48,5
49,3
50,2
51,8
52,8
53,2
54,6
55,3
56,3
57,9
59,5
60,6
61,6
62,3
63,2
64,5
65,6
67,5
68,3
69,6
70,2
71,1
72,3
73,6
74,4
75,1
76,1
77,3
79,2
80,1
81,1
83,6
84,3
85,2
86,5
87,1
88,4
89,1
91,3
92,3
93,3
94,1
95,4
98,2
99,1
100,3
101,2
103,2
104,1
106,2
107,1
108,3
111,1
114,1
115,1
118,2
119,2
120,1
121,1
122,2
123,1
125,1
129,2
130,1
131,1
132,1
133,1
134,2
139,1
140,1
142,1
144,1
148,2
149,1
161,1
164,2
167,1
177,1
179,1
184,1
185,1
189,1
191,1
208,1
210,1
223,1
236,2
247,1
251,1
252,1
254,1
261,1
275,1
284,1
293,1
307,1
321,1
329,1
364,1
387,1
396,1
403,1
446,1
